year,treatment,n_observations,n_districts,n_sites,mean_yield_t_ha,median_yield_t_ha,sd_yield_t_ha,min_yield_t_ha,q1_yield_t_ha,q3_yield_t_ha,max_yield_t_ha
2017,N0-P0-K0,44,2,19,5.6661613636363635,5.86615,1.593634199399527,2.1433,4.445825,6.913425,7.76
2017,N120-P0-K40,54,2,19,8.59068148148148,8.5317,2.6392546342061993,3.264,6.61475,10.47915,15.0
2018,N0-P0-K0,75,5,28,5.8875866666666665,6.091,1.2473679000993245,3.18,5.0315,6.7285,8.305
2018,N120-P0-K40,74,5,28,7.434864864864864,7.6995000000000005,1.246368503790818,4.482,6.73325,8.3855,9.519
2019,N0-P0-K0,47,8,22,5.660382513212766,6.06,1.6906448224026056,1.620814,4.587,6.81584,8.285
2019,N120-P0-K40,52,8,24,8.837328394,8.914198863500001,1.9202396120034195,6.05596,7.17769575,10.0734545475,13.943
