year,study,district,site,N0-P0-K0,N120-P0-K40,latitude,longitude,zero_yield_t_ha,omission_yield_t_ha,n_k_yield_response_t_ha,n_k_yield_response_pct_zero
2017,2017 core trial,Dang,Dhikpur,5.216,6.375666666666667,28.048361388333333,82.39326777666668,5.216,6.375666666666667,1.1596666666666664,22.23287321063394
2017,2017 core trial,Dang,Dhuruwa,7.4126666666666665,6.045999999999999,28.027339443333336,82.32578861,7.4126666666666665,6.045999999999999,-1.3666666666666671,-18.436909794046233
2017,2017 core trial,Dang,Hapur,3.718,3.5595,28.09255375,82.4274366675,3.718,3.5595,-0.15850000000000009,-4.263044647660035
2017,2017 core trial,Dang,Laxmipur,5.128333333333333,7.274,27.979798611666666,82.49198805833333,5.128333333333333,7.274,2.145666666666667,41.83945401364967
2017,2017 core trial,Dang,Panchakule,6.879,7.7405,28.1333812525,82.109389585,6.879,7.7405,0.8615000000000004,12.523622619566803
2017,2017 core trial,Dang,Pawannagar,5.758,6.1370000000000005,28.163764723333333,82.25671472166667,5.758,6.1370000000000005,0.37900000000000045,6.582146578673159
2017,2017 core trial,Dang,Purandhara,7.0045,7.813,28.190016389999997,82.0975827775,7.0045,7.813,0.8084999999999996,11.542579770147755
2017,2017 core trial,Dang,Shantinagar,2.909,9.297666666666666,28.164465139166666,82.2287668075,2.909,9.297666666666666,6.3886666666666665,219.6172797066575
2017,2017 core trial,Dang,Shreegau,4.123666666666667,5.853333333333334,28.106343333333335,82.17910583166667,4.123666666666667,5.853333333333334,1.7296666666666676,41.94487106943661
2017,2017 core trial,Surkhet,Babiyachaur,7.4583,9.989966666666668,28.816848591666666,81.40495051666667,7.4583,9.989966666666668,2.531666666666667,33.944285784517476
2017,2017 core trial,Surkhet,Gadhi,4.58,10.825,28.646157905,81.6029059725,4.58,10.825,6.244999999999999,136.353711790393
2017,2017 core trial,Surkhet,Ghumkhare,7.76,10.535566666666668,28.440014666666666,81.89763991666666,7.76,10.535566666666668,2.775566666666668,35.76761168384881
2017,2017 core trial,Surkhet,Guthu,6.74995,11.611133333333333,28.845933891666665,81.30325344166667,6.74995,11.611133333333333,4.861183333333333,72.01806433134071
2017,2017 core trial,Surkhet,Kalyan,6.695533333333334,9.67,28.502924066666665,81.73765943333333,6.695533333333334,9.67,2.9744666666666664,44.42464130315732
2017,2017 core trial,Surkhet,Lekhpharsa,6.666666666666667,9.0489,28.473865816666667,81.80857005,6.666666666666667,9.0489,2.3822333333333328,35.73349999999999
2017,2017 core trial,Surkhet,Maintada-3,4.3917,7.746666666666667,28.443315851666668,81.80852473249999,4.3917,7.746666666666667,3.354966666666667,76.39334805807925
2017,2017 core trial,Surkhet,Maintada-4,6.1444333333333345,8.488866666666667,28.419814808333335,81.79544530166667,6.1444333333333345,8.488866666666667,2.344433333333332,38.1554035359919
2017,2017 core trial,Surkhet,Neta,6.24165,12.621133333333333,28.547586783333337,81.79274988333333,6.24165,12.621133333333333,6.379483333333333,102.20828360022323
2017,2017 core trial,Surkhet,Ramghat,3.565,11.373366666666668,28.488614591666668,81.74330675833332,3.565,11.373366666666668,7.808366666666668,219.02851799906503
2018,"2018 N source, timing and FYM trial",Dang,Dhikpur,6.764,8.039666666666667,28.033898253333334,82.37339033333333,6.764,8.039666666666667,1.275666666666667,18.85964912280702
2018,"2018 N source, timing and FYM trial",Dang,Dhuruwa,7.84,6.328,28.02141027,82.3247250875,7.84,6.328,-1.5119999999999996,-19.28571428571428
2018,"2018 N source, timing and FYM trial",Dang,Hapur,5.077,5.367333333333334,28.090476966666664,82.42108382166666,5.077,5.367333333333334,0.2903333333333338,5.7186002232289495
2018,"2018 N source, timing and FYM trial",Dang,Laxmipur,4.576,7.480666666666667,27.977842063333334,82.46364030833334,4.576,7.480666666666667,2.9046666666666674,63.47610722610725
2018,"2018 N source, timing and FYM trial",Dang,Panchakaule,5.73725,7.5035,28.11617259875,82.16633934625,5.73725,7.5035,1.7662499999999994,30.785655148372467
2018,"2018 N source, timing and FYM trial",Dang,Pawannagar,5.823666666666667,7.480333333333334,28.170476139999998,82.26028036333332,5.823666666666667,7.480333333333334,1.6566666666666672,28.447140976475307
2018,"2018 N source, timing and FYM trial",Dang,Purandhara,6.321000000000001,7.9655000000000005,28.185623399999997,82.0969023925,6.321000000000001,7.9655000000000005,1.6444999999999999,26.01645309286505
2018,"2018 N source, timing and FYM trial",Dang,Shantinagar,5.864999999999999,7.060666666666667,28.165590790000003,82.22547593499999,5.864999999999999,7.060666666666667,1.1956666666666678,20.38647342995171
2018,"2018 N source, timing and FYM trial",Doti,Chattiwan,5.692666666666667,7.152,29.082115504999997,80.59343867666666,5.692666666666667,7.152,1.4593333333333334,25.635320295116525
2018,"2018 N source, timing and FYM trial",Doti,Ghantesori,6.147333333333333,7.4576666666666656,29.14425420166667,80.60338293833334,6.147333333333333,7.4576666666666656,1.3103333333333325,21.315475544951727
2018,"2018 N source, timing and FYM trial",Kavre,Anekot,4.339666666666667,6.163,27.660346314166667,85.58862933749998,4.339666666666667,6.163,1.8233333333333333,42.015515784622465
2018,"2018 N source, timing and FYM trial",Kavre,Bhakundebesi,6.609999999999999,8.392999999999999,27.55799734833333,85.66626181666666,6.609999999999999,8.392999999999999,1.7829999999999995,26.974281391830555
2018,"2018 N source, timing and FYM trial",Kavre,Rabiopi,6.636,9.125666666666667,27.64759644,85.56456194333333,6.636,9.125666666666667,2.4896666666666674,37.51758087201126
2018,"2018 N source, timing and FYM trial",Palpa,Chidipani,4.1345,5.2445,,,4.1345,5.2445,1.1100000000000003,26.847260853791276
2018,"2018 N source, timing and FYM trial",Palpa,Devinagar,4.800333333333334,6.285333333333333,,,4.800333333333334,6.285333333333333,1.4849999999999994,30.935351711686675
2018,"2018 N source, timing and FYM trial",Palpa,Khasyauli,4.608666666666667,6.228666666666666,,,4.608666666666667,6.228666666666666,1.6199999999999992,35.15116447273251
2018,"2018 N source, timing and FYM trial",Palpa,Madanpokhara,4.177333333333333,5.888333333333333,,,4.177333333333333,5.888333333333333,1.7109999999999994,40.95914458984997
2018,"2018 N source, timing and FYM trial",Surkhet,Babiyachaur,7.1049999999999995,8.661,28.804880311666665,81.39948368666667,7.1049999999999995,8.661,1.556,21.900070372976778
2018,"2018 N source, timing and FYM trial",Surkhet,Gadhi,5.639666666666667,8.015,28.639584890000002,81.59303747666667,5.639666666666667,8.015,2.3753333333333337,42.118328506412915
2018,"2018 N source, timing and FYM trial",Surkhet,Guthu,5.606,8.705,28.833558500000002,81.306220775,5.606,8.705,3.099,55.28005708169819
2018,"2018 N source, timing and FYM trial",Surkhet,Kalyan,6.9993333333333325,8.452,28.50487046,81.73678733166666,6.9993333333333325,8.452,1.4526666666666674,20.754357557862665
