year,district,site,p_omission,soil_background,yield_response_t_ha
2017,Dang,Dhikpur,6.375666666666667,5.216,1.1596666666666664
2017,Dang,Dhuruwa,6.045999999999999,7.4126666666666665,-1.3666666666666671
2017,Dang,Hapur,3.5595,3.718,-0.15850000000000009
2017,Dang,Laxmipur,7.274,5.128333333333333,2.145666666666667
2017,Dang,Panchakule,7.7405,6.879,0.8615000000000004
2017,Dang,Pawannagar,6.1370000000000005,5.758,0.37900000000000045
2017,Dang,Purandhara,7.813,7.0045,0.8084999999999996
2017,Dang,Shantinagar,9.297666666666666,2.909,6.3886666666666665
2017,Dang,Shreegau,5.853333333333334,4.123666666666667,1.7296666666666676
2017,Surkhet,Babiyachaur,9.989966666666668,7.4583,2.531666666666667
2017,Surkhet,Gadhi,10.825,4.58,6.244999999999999
2017,Surkhet,Ghumkhare,10.535566666666668,7.76,2.775566666666668
2017,Surkhet,Guthu,11.611133333333333,6.74995,4.861183333333333
2017,Surkhet,Kalyan,9.67,6.695533333333334,2.9744666666666664
2017,Surkhet,Lekhpharsa,9.0489,6.666666666666667,2.3822333333333328
2017,Surkhet,Maintada-3,7.746666666666667,4.3917,3.354966666666667
2017,Surkhet,Maintada-4,8.488866666666667,6.1444333333333345,2.344433333333332
2017,Surkhet,Neta,12.621133333333333,6.24165,6.379483333333333
2017,Surkhet,Ramghat,11.373366666666668,3.565,7.808366666666668
2018,Dang,Dhikpur,8.217182170542635,6.889589147286821,1.3275930232558144
2018,Dang,Dhuruwa,6.467366279069768,8.002325581395349,-1.5349593023255803
2018,Dang,Hapur,5.412139534883721,5.20610465116279,0.20603488372093093
2018,Dang,Laxmipur,7.551755813953489,4.633511627906977,2.918244186046512
2018,Dang,Panchakaule,7.283959302325582,5.908761627906976,1.3751976744186054
2018,Dang,Pawannagar,7.650344961240311,5.934627906976744,1.7157170542635667
2018,Dang,Purandhara,7.9248643410852715,6.483104651162791,1.4417596899224803
2018,Dang,Shantinagar,7.242244186046512,5.986391472868218,1.2558527131782942
2018,Doti,Chattiwan,7.152023255813954,5.692945736434108,1.4590775193798455
2018,Doti,Ghantesori,7.4581395348837205,6.148062015503876,1.3100775193798446
2018,Kavre,Anekot,6.153903100775193,4.346476744186046,1.807426356589147
2018,Kavre,Bhakundebesi,8.383333333333335,6.609883720930232,1.7734496124031027
2018,Kavre,Rabiopi,9.09108527131783,6.62984496124031,2.46124031007752
2018,Surkhet,Babiyachaur,8.844705426356589,7.254147286821706,1.590558139534883
2018,Surkhet,Gadhi,8.182209302325582,5.777647286821705,2.4045620155038767
2018,Surkhet,Guthu,8.907709302325582,5.73593023255814,3.1717790697674424
2018,Surkhet,Kalyan,8.59751550387597,7.159341085271318,1.4381744186046514
2018,Surkhet,Kunathari,8.375050387596898,6.537705426356589,1.8373449612403094
2018,Surkhet,Lekhpharsa,8.493023255813952,7.03681007751938,1.456213178294572
2018,Surkhet,Maintada-1,8.350860465116279,6.540453488372092,1.8104069767441864
2018,Surkhet,Maintada-2,8.610598837209302,5.977441860465117,2.6331569767441856
2018,Surkhet,Maintada-6,7.532558139534884,,
2018,Surkhet,Maintada-7,8.59760465116279,,
2018,Surkhet,Maintada-8,,6.369302325581396,
2018,Surkhet,Maintada-9,,7.7138372093023255,
2018,Surkhet,Ramghat,7.74556976744186,6.894341085271318,0.8512286821705422
2019,Dang,Dhikpur,7.841819186046512,5.67418023255814,2.167638953488372
2019,Dang,Laxmipur,12.14026046511628,5.917041860465115,6.223218604651164
2019,Dang,Panchakule,9.182972093023256,8.124413953488371,1.0585581395348846
2019,Dang,Shantinagar,8.859921511627906,5.872153488372093,2.9877680232558133
2019,Dang,Shreegau,8.554331395348838,4.694708720930233,3.8596226744186044
2019,Doti,Chhatiwan,9.815552790697676,6.789382965116278,3.0261698255813982
2019,Doti,Dipayal,8.876416527131783,7.720761108527133,1.15565541860465
2019,Doti,Ghanteshwor,8.467302325581397,7.222269767441861,1.2450325581395356
2019,Kavre,Bhakundebesi,6.529804790697675,2.9267566104651164,3.6030481802325585
2019,Kavre,Rabiopi,6.631491450581395,3.342635645348837,3.288855805232558
2019,Makwanpur,Radha Tiwari,6.05597184883721,2.742325581395349,3.313646267441861
2019,Nuwakot,Dip Acharya,9.900772000000002,6.008917976744186,3.8918540232558154
2019,Nuwakot,Ramchandra Acharya,6.911392290697676,1.620817011627907,5.290575279069769
2019,Palpa,Chidi pani,9.748697674418604,8.257209302325581,1.4914883720930234
2019,Palpa,Devinagar,8.87922672866279,5.791707364343022,3.0875193643197676
2019,Palpa,Khasyauli,7.098108543930232,6.005674418604651,1.092434125325581
2019,Salyan,Jhuplal gharti,9.488668604651162,7.134883720930233,2.3537848837209285
2019,Salyan,Sharadha sharma,12.645348837209303,11.860168604651165,0.7851802325581385
2019,Surkhet,Babiyachaur,13.41702363372093,9.719476744186046,3.697546889534884
2019,Surkhet,Kalyan,9.278252325581395,7.139387790697674,2.138864534883721
2019,Surkhet,Kunathari,10.048916860465116,6.868965697674419,3.1799511627906973
2019,Surkhet,Lekhpharsa,10.171668023255812,6.102918604651163,4.068749418604649
2019,Surkhet,Maintada-2,7.4868837209302335,4.673941860465117,2.8129418604651164
2019,Surkhet,Ramghat,9.310833953488373,5.644310232558139,3.6665237209302344
