strategy,efficiency_metric,n_site_years,status,yield_diff_gr_cv_r2,yield_diff_gr_cv_rmse,yield_retention_cv_r2,yield_retention_cv_rmse,pfp_n_cv_r2,pfp_n_cv_rmse,eff_ratio_cv_r2,eff_ratio_cv_rmse,ae_n_cv_r2,ae_n_cv_rmse,yield_gain_0pk_cv_r2,yield_gain_0pk_cv_rmse
FYM_N60,PFP,22,modelled,-0.4806670190214326,1265.9218146048,-0.48672048222732855,0.17665202685293632,-0.16404950446777367,25.592446097505825,-0.4922715610447941,0.3539630179815484,,,,
GR,AE,60,modelled,1.0,0.0,1.0,0.0,,,1.0,0.0,-0.07127396836726074,12.450358870752709,-0.06924040010448662,1492.6243416103412
N180,AE,39,modelled,-0.15816854501903288,947.4167300777815,-0.15709407192093128,0.11120123872911189,,,-0.0420952014409659,0.7014848322870427,-0.21793227824404382,8.831814086200279,-0.21595710258677214,1588.4369468789807
N210,AE,39,modelled,-0.538685369053155,1253.0051196368577,-0.4280949988499507,0.1467684777866386,,,-0.44260788909223137,1.0406197178383045,-0.3026014060383655,7.867244212724608,-0.2979763958150494,1649.1856696568304
N60,AE,39,modelled,-0.17874806157118273,1023.8105813254587,-0.23884277418214528,0.11480061905115269,,,-0.25855165795652857,1.5556115285203915,-0.09292147088812519,22.78311447617302,-0.0985566567035987,1370.5064814293748
PCU_N120,PFP,22,modelled,-0.44811823840489673,556.0685067007208,-0.3775317858188387,0.06788805802597024,0.19766017902525113,9.322855467665969,-0.37729569037098476,0.06788224010276495,,,,
PCU_N60,PFP,43,modelled,-0.06834776318626923,1131.0252545814385,-0.06739415881767497,0.13711406073782784,-0.06288363697760468,35.038241832174585,-0.06797591117599544,0.2743028413548101,,,,
TIMING_V6_V10,AE,41,modelled,-0.3485034162246283,988.0564652388852,-0.3500636515351079,0.130735661006712,,,-0.26842829223842335,1.6043963808017663,-0.07536313427113739,10.446189615903359,-0.07502226542283807,1253.34406402985
UDP_N78,PFP,43,modelled,-0.034295904889858786,1158.1163030433916,-0.12965710295299981,0.1468285295520915,0.02980454032267088,26.22089677804752,-0.129969128603316,0.2259212401616757,,,,
