strategy,efficiency_metric,n_site_years,spatially_eligible,tested_N_rate_kg_ha,median_yield_difference_from_GR_kg_ha,median_yield_retention,median_AE_N,median_PFP_N,median_AE_ratio_to_GR,median_PFP_ratio_to_GR
FYM_N60,PFP,22,14,60.0,-361.0474806201546,0.9600023770253424,6.806524547803633,127.55355297157624,1.1000359651856995,1.920004754050685
GR,AE,64,44,120.0,0.0,1.0,9.887714927863907,72.31334948320414,1.0,1.0
N180,AE,42,30,180.0,138.8497416020664,1.0142036709469309,11.537708815616927,50.58302840223945,0.7044829741171604,0.6761357806312873
N210,AE,42,30,210.0,-17.344087209305144,0.9981057816127501,8.579969545957914,43.06917635658915,0.5587377506426889,0.5703461609215714
N60,AE,42,30,60.0,-284.41666666666697,0.9675011026286102,24.065247093023252,147.5470984496124,1.592297578216413,1.9350022052572204
PCU_N120,PFP,22,14,120.0,-2.5368217054256093,0.9997150821038042,6.619993540051682,67.57726501937984,0.9935069122366698,0.9997150821038042
PCU_N60,PFP,64,42,60.0,-175.7594961240311,0.9747194101362635,13.495090439276487,132.17863682170542,1.8078489058385563,1.949438820272527
TIMING_V6_V10,AE,45,28,120.0,213.5444767441877,1.0206298789489738,8.136498708010338,72.44895319767441,1.1043747223638958,1.0206298789489738
UDP_N78,PFP,64,42,78.0,-45.0441182170548,0.9953892234399917,13.867123832240104,104.67508944543829,1.5479049235518871,1.5313680360615258
