strategy,tested_N_rate_kg_ha,tested_N_change_vs_GR_kg_ha,median_N_required_for_GR_equivalent_yield_kg_ha,median_N_change_at_GR_equivalent_yield_kg_ha,median_N_reduction_at_GR_equivalent_yield_kg_ha,median_N_increase_at_GR_equivalent_yield_kg_ha
GR,120.0,0.0,120.0,0.0,-0.0,0.0
N60,60.0,-60.0,81.23756740365577,-38.76243259634423,38.76243259634423,0.0
N180,180.0,60.0,147.16377304445658,27.163773044456576,0.0,27.163773044456576
N210,210.0,90.0,220.28632004334395,100.28632004334398,0.0,100.28632004334398
TIMING_V6_V10,120.0,0.0,79.1469472523256,-40.8530527476744,40.8530527476744,0.0
FYM_N60,60.0,-60.0,64.34511342007154,-55.65488657992846,55.65488657992846,0.0
PCU_N120,120.0,0.0,120.91880829288326,0.9188082928832556,0.0,0.9188082928832556
PCU_N60,60.0,-60.0,60.727624231140666,-59.272375768859334,59.272375768859334,0.0
UDP_N78,78.0,-42.0,78.19411501882598,-41.805884981174025,41.805884981174025,0.0
