year,study,district,site,latitude,longitude,strategy,efficiency_metric,N_rate_kg_ha,yield_0PK_kg_ha,yield_kg_ha,yield_GR_kg_ha,yield_gain_over_0PK_kg_ha,yield_difference_from_GR_kg_ha,yield_retention_fraction,AE_N_kg_grain_per_kg_N,AE_N_GR_kg_grain_per_kg_N,delta_AE_N_from_GR,AE_N_ratio_to_GR,PFP_N_kg_grain_per_kg_N,PFP_N_GR_kg_grain_per_kg_N,delta_PFP_N_from_GR,PFP_N_ratio_to_GR,tested_N_change_vs_GR_kg_ha,dsm_match_distance_km,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,spatial_training_eligible
2017,2017 core trial,Dang,Dhikpur,28.04838988977778,82.3932937791111,GR,AE,120.0,4394.333333333333,7993.555555555556,7993.555555555556,3599.2222222222226,0.0,1.0,29.99351851851852,29.99351851851852,0.0,1.0,66.61296296296297,66.61296296296297,0.0,1.0,0.0,1.1374839542104933,6.61,1.84,0.09,119.41,492.49,44.88,20.94,37.59,True
2017,2017 core trial,Dang,Dhikpur,28.04838988977778,82.3932937791111,N60,AE,60.0,4394.333333333333,6440.0,7993.555555555556,2045.666666666667,-1553.5555555555557,0.8056489950237692,34.09444444444445,29.99351851851852,4.100925925925928,1.136727070663415,107.33333333333333,66.61296296296297,40.72037037037036,1.6112979900475382,-60.0,1.1374839542104933,6.61,1.84,0.09,119.41,492.49,44.88,20.94,37.59,True
2017,2017 core trial,Dang,Dhikpur,28.04838988977778,82.3932937791111,N180,AE,180.0,4394.333333333333,7951.0,7993.555555555556,3556.666666666667,-42.55555555555566,0.9946762669928554,19.75925925925926,29.99351851851852,-10.234259259259261,0.6587843052511345,44.172222222222224,66.61296296296297,-22.440740740740743,0.6631175113285702,60.0,1.1374839542104933,6.61,1.84,0.09,119.41,492.49,44.88,20.94,37.59,True
2017,2017 core trial,Dang,Dhikpur,28.04838988977778,82.3932937791111,N210,AE,210.0,4394.333333333333,7083.666666666667,7993.555555555556,2689.333333333334,-909.8888888888887,0.8861721942676045,12.806349206349209,29.99351851851852,-17.18716931216931,0.42697055360285074,33.731746031746034,66.61296296296297,-32.88121693121693,0.5063841110100596,90.0,1.1374839542104933,6.61,1.84,0.09,119.41,492.49,44.88,20.94,37.59,True
2017,2017 core trial,Dang,Dhuruwa,28.027323332444446,82.32573762933335,GR,AE,120.0,5299.0,6384.333333333333,6384.333333333333,1085.333333333333,0.0,1.0,9.044444444444443,9.044444444444443,0.0,1.0,53.202777777777776,53.202777777777776,0.0,1.0,0.0,0.9863260366642327,6.92,2.13,0.11,146.82,423.2,47.82,20.56,31.61,True
2017,2017 core trial,Dang,Dhuruwa,28.027323332444446,82.32573762933335,N60,AE,60.0,5299.0,6823.666666666667,6384.333333333333,1524.666666666667,439.33333333333394,1.0688142849684124,25.411111111111115,9.044444444444443,16.366666666666674,2.8095823095823107,113.72777777777779,53.202777777777776,60.52500000000001,2.1376285699368247,-60.0,0.9863260366642327,6.92,2.13,0.11,146.82,423.2,47.82,20.56,31.61,True
2017,2017 core trial,Dang,Dhuruwa,28.027323332444446,82.32573762933335,N180,AE,180.0,5299.0,6746.666666666667,6384.333333333333,1447.666666666667,362.33333333333394,1.05675351119929,8.042592592592595,9.044444444444443,-1.001851851851848,0.8892301392301396,37.48148148148148,53.202777777777776,-15.721296296296295,0.7045023407995267,60.0,0.9863260366642327,6.92,2.13,0.11,146.82,423.2,47.82,20.56,31.61,True
2017,2017 core trial,Dang,Dhuruwa,28.027323332444446,82.32573762933335,N210,AE,210.0,5299.0,7045.333333333333,6384.333333333333,1746.333333333333,661.0,1.1035346943037645,8.315873015873015,9.044444444444443,-0.7285714285714278,0.9194454194454195,33.54920634920635,53.202777777777776,-19.653571428571425,0.6305912538878654,90.0,0.9863260366642327,6.92,2.13,0.11,146.82,423.2,47.82,20.56,31.61,True
2017,2017 core trial,Dang,Hapur,28.092530111333332,82.42747433366667,GR,AE,120.0,4099.0,5390.166666666667,5390.166666666667,1291.166666666667,0.0,1.0,10.759722222222225,10.759722222222225,0.0,1.0,44.91805555555556,44.91805555555556,0.0,1.0,0.0,1.1048238941338744,6.5,1.82,0.09,186.75,652.48,47.72,16.6,37.47,True
2017,2017 core trial,Dang,Hapur,28.092530111333332,82.42747433366667,N60,AE,60.0,4099.0,4991.0,5390.166666666667,892.0,-399.16666666666697,0.9259453943910206,14.866666666666667,10.759722222222225,4.1069444444444425,1.381696140441461,83.18333333333334,44.91805555555556,38.265277777777776,1.8518907887820413,-60.0,1.1048238941338744,6.5,1.82,0.09,186.75,652.48,47.72,16.6,37.47,True
2017,2017 core trial,Dang,Hapur,28.092530111333332,82.42747433366667,N180,AE,180.0,4099.0,4880.5,5390.166666666667,781.5,-509.66666666666697,0.9054451006462385,4.341666666666667,10.759722222222225,-6.418055555555558,0.4035110365302697,27.113888888888887,44.91805555555556,-17.804166666666674,0.6036300670974922,60.0,1.1048238941338744,6.5,1.82,0.09,186.75,652.48,47.72,16.6,37.47,True
2017,2017 core trial,Dang,Hapur,28.092530111333332,82.42747433366667,N210,AE,210.0,4099.0,5643.0,5390.166666666667,1544.0,252.83333333333303,1.0469064036362512,7.352380952380952,10.759722222222225,-3.4073412698412726,0.6833244205130095,26.87142857142857,44.91805555555556,-18.04662698412699,0.5982322306492863,90.0,1.1048238941338744,6.5,1.82,0.09,186.75,652.48,47.72,16.6,37.47,True
2017,2017 core trial,Dang,Laxmipur,27.979843074444442,82.49199263,GR,AE,120.0,5839.0,6876.0,6876.0,1037.0,0.0,1.0,8.641666666666667,8.641666666666667,0.0,1.0,57.3,57.3,0.0,1.0,0.0,0.7865835174413092,6.8,2.25,0.11,147.0,447.18,44.78,21.69,32.35,True
2017,2017 core trial,Dang,Laxmipur,27.979843074444442,82.49199263,N60,AE,60.0,5839.0,6507.333333333333,6876.0,668.333333333333,-368.66666666666697,0.9463835563312003,11.138888888888884,8.641666666666667,2.4972222222222165,1.2889746062359364,108.45555555555555,57.3,51.15555555555555,1.8927671126624006,-60.0,0.7865835174413092,6.8,2.25,0.11,147.0,447.18,44.78,21.69,32.35,True
2017,2017 core trial,Dang,Laxmipur,27.979843074444442,82.49199263,N180,AE,180.0,5839.0,6430.333333333333,6876.0,591.333333333333,-445.66666666666697,0.9351851851851851,3.2851851851851834,8.641666666666667,-5.3564814814814845,0.38015643415836253,35.724074074074075,57.3,-21.575925925925922,0.6234567901234568,60.0,0.7865835174413092,6.8,2.25,0.11,147.0,447.18,44.78,21.69,32.35,True
2017,2017 core trial,Dang,Laxmipur,27.979843074444442,82.49199263,N210,AE,210.0,5839.0,8038.333333333333,6876.0,2199.333333333333,1162.333333333333,1.1690420787279425,10.473015873015871,8.641666666666667,1.8313492063492038,1.211920833907333,38.27777777777778,57.3,-19.02222222222222,0.6680240449873959,90.0,0.7865835174413092,6.8,2.25,0.11,147.0,447.18,44.78,21.69,32.35,True
2017,2017 core trial,Dang,Panchakule,28.13381361066667,82.113351944,GR,AE,120.0,8108.0,8514.333333333334,8514.333333333334,406.33333333333394,0.0,1.0,3.386111111111116,3.386111111111116,0.0,1.0,70.95277777777778,70.95277777777778,0.0,1.0,0.0,0.9454708016365493,6.89,2.62,0.14,179.24,493.14,44.23,20.15,34.78,True
2017,2017 core trial,Dang,Panchakule,28.13381361066667,82.113351944,N60,AE,60.0,8108.0,8235.5,8514.333333333334,127.5,-278.83333333333394,0.9672513017265003,2.125,3.386111111111116,-1.261111111111116,0.6275635767022141,137.25833333333333,70.95277777777778,66.30555555555554,1.9345026034530006,-60.0,0.9454708016365493,6.89,2.62,0.14,179.24,493.14,44.23,20.15,34.78,True
2017,2017 core trial,Dang,Panchakule,28.13381361066667,82.113351944,N180,AE,180.0,8108.0,7531.0,8514.333333333334,-577.0,-983.3333333333339,0.8845084759033786,-3.2055555555555557,3.386111111111116,-6.591666666666672,-0.9466776045939281,41.83888888888889,70.95277777777778,-29.113888888888894,0.589672317268919,60.0,0.9454708016365493,6.89,2.62,0.14,179.24,493.14,44.23,20.15,34.78,True
2017,2017 core trial,Dang,Panchakule,28.13381361066667,82.113351944,N210,AE,210.0,8108.0,5706.5,8514.333333333334,-2401.5,-2807.833333333334,0.6702227616176643,-11.435714285714285,3.386111111111116,-14.821825396825401,-3.377241298488217,27.173809523809524,70.95277777777778,-43.77896825396826,0.3829844352100939,90.0,0.9454708016365493,6.89,2.62,0.14,179.24,493.14,44.23,20.15,34.78,True
2017,2017 core trial,Dang,Pawannagar,28.163722926000002,82.25668107488889,GR,AE,120.0,5612.0,6223.555555555556,6223.555555555556,611.5555555555557,0.0,1.0,5.096296296296297,5.096296296296297,0.0,1.0,51.86296296296296,51.86296296296296,0.0,1.0,0.0,0.524976306732825,6.69,2.84,0.13,233.29,509.27,46.64,17.14,36.33,True
2017,2017 core trial,Dang,Pawannagar,28.163722926000002,82.25668107488889,N60,AE,60.0,5612.0,6437.666666666667,6223.555555555556,825.666666666667,214.1111111111113,1.0344033421409697,13.761111111111116,5.096296296296297,8.664814814814818,2.700218023255814,107.29444444444445,51.86296296296296,55.43148148148149,2.06880668428194,-60.0,0.524976306732825,6.69,2.84,0.13,233.29,509.27,46.64,17.14,36.33,True
2017,2017 core trial,Dang,Pawannagar,28.163722926000002,82.25668107488889,N180,AE,180.0,5612.0,8023.333333333333,6223.555555555556,2411.333333333333,1799.7777777777774,1.289188031136185,13.396296296296295,5.096296296296297,8.299999999999997,2.6286337209302317,44.57407407407407,51.86296296296296,-7.288888888888891,0.8594586874241233,60.0,0.524976306732825,6.69,2.84,0.13,233.29,509.27,46.64,17.14,36.33,True
2017,2017 core trial,Dang,Pawannagar,28.163722926000002,82.25668107488889,N210,AE,210.0,5612.0,7171.333333333333,6223.555555555556,1559.333333333333,947.7777777777774,1.1522887952581589,7.425396825396824,5.096296296296297,2.3291005291005265,1.4570182724252485,34.149206349206345,51.86296296296296,-17.713756613756615,0.6584507401475194,90.0,0.524976306732825,6.69,2.84,0.13,233.29,509.27,46.64,17.14,36.33,True
2017,2017 core trial,Dang,Purandhara,28.192575259555554,82.09887590777778,GR,AE,120.0,6920.5,7508.555555555556,7508.555555555556,588.0555555555557,0.0,1.0,4.900462962962964,4.900462962962964,0.0,1.0,62.571296296296296,62.571296296296296,0.0,1.0,0.0,0.8281221047391699,6.77,2.87,0.15,172.64,458.32,48.17,19.49,35.12,True
2017,2017 core trial,Dang,Purandhara,28.192575259555554,82.09887590777778,N60,AE,60.0,6920.5,7284.0,7508.555555555556,363.5,-224.55555555555566,0.9700933749648549,6.058333333333334,4.900462962962964,1.1578703703703699,1.2362777515351913,121.4,62.571296296296296,58.82870370370371,1.9401867499297099,-60.0,0.8281221047391699,6.77,2.87,0.15,172.64,458.32,48.17,19.49,35.12,True
2017,2017 core trial,Dang,Purandhara,28.192575259555554,82.09887590777778,N180,AE,180.0,6920.5,7628.666666666667,7508.555555555556,708.166666666667,120.11111111111131,1.0159965668792637,3.934259259259261,4.900462962962964,-0.9662037037037026,0.802834199338687,42.38148148148149,62.571296296296296,-20.18981481481481,0.6773310445861759,60.0,0.8281221047391699,6.77,2.87,0.15,172.64,458.32,48.17,19.49,35.12,True
2017,2017 core trial,Dang,Purandhara,28.192575259555554,82.09887590777778,N210,AE,210.0,6920.5,7465.0,7508.555555555556,544.5,-43.55555555555566,0.9941992097903133,2.592857142857143,4.900462962962964,-2.3076058201058207,0.5291045279708482,35.54761904761905,62.571296296296296,-27.023677248677245,0.5681138341658933,90.0,0.8281221047391699,6.77,2.87,0.15,172.64,458.32,48.17,19.49,35.12,True
2017,2017 core trial,Dang,Shantinagar,28.164224335250005,82.2305574175,GR,AE,120.0,5816.0,8992.5,8992.5,3176.5,0.0,1.0,26.470833333333335,26.470833333333335,0.0,1.0,74.9375,74.9375,0.0,1.0,0.0,2.0287924005297495,6.66,3.19,0.13,301.32,548.99,47.48,17.03,35.4,True
2017,2017 core trial,Dang,Shantinagar,28.164224335250005,82.2305574175,N60,AE,60.0,5816.0,8702.5,8992.5,2886.5,-290.0,0.96775090353072,48.108333333333334,26.470833333333335,21.6375,1.8174090980639068,145.04166666666666,74.9375,70.10416666666666,1.93550180706144,-60.0,2.0287924005297495,6.66,3.19,0.13,301.32,548.99,47.48,17.03,35.4,True
2017,2017 core trial,Dang,Shantinagar,28.164224335250005,82.2305574175,N180,AE,180.0,5816.0,8879.5,8992.5,3063.5,-113.0,0.9874339727550737,17.019444444444446,26.470833333333335,-9.45138888888889,0.6429508368749672,49.330555555555556,74.9375,-25.606944444444444,0.6582893151700491,60.0,2.0287924005297495,6.66,3.19,0.13,301.32,548.99,47.48,17.03,35.4,True
