province,district,palika,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,maize_urea_total,maize_dap,maize_mop,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,OC,P_Olsen,Exch_K,n_supply,p_supply,k_supply,rec_N_kg_ha,rec_P2O5_kg_ha,rec_K2O_kg_ha
Karnali,Jajarkot,Chhedagad Nagarpalika,28.75,82.05,6.37,2.19,0.13,121.41,386.73,52.83,15.7,32.87,10.44,1.08,2.67,direct_overlay,False,0,direct_overlay,12.703016241299302,46.69615384615384,3.157445406256148,72.7755800464037,27.489800095930747,50.06701107704175,254.4488399071926,143.24178890159294,362.837833193559
Karnali,Dailekh,Dungeshwor Gaunpalika,28.75,81.7,6.23,2.94,0.15,123.37,285.42,55.1,16.05,26.76,10.44,1.08,2.67,direct_overlay,False,0,direct_overlay,17.053364269141532,47.45,2.330302970686602,93.64002320185617,29.53580597447796,30.492156178021247,212.71995359628767,119.81502159222737,410.2089820491886
Karnali,Jajarkot,Bheri Nagarpalika,28.75,82.2,6.37,3.75,0.21,164.51,471.62,52.34,16.27,31.74,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,21.751740139211137,63.273076923076914,3.8505272476883725,124.6157192575406,38.728530195877205,38.011715997584346,150.7685614849188,14.558329257206001,392.0116472858458
Karnali,Rukum_w,Aathbiskot Nagarpalika,28.75,82.3,6.63,3.33,0.18,137.82,441.29,52.38,16.77,31.53,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,19.31554524361949,53.0076923076923,3.6028988786149907,119.19622969837586,31.922677505354272,34.75765646295198,161.60754060324828,92.48534256369358,399.8864713596562
Karnali,Rukum_w,Aathbiskot Nagarpalika,28.75,82.4,6.32,3.21,0.17,110.66,451.09,54.06,18.68,27.73,7.57,2.89,2.67,direct_overlay,False,0,direct_overlay,18.619489559164734,42.56153846153846,3.682910682667715,105.08839907192576,27.463929323576654,42.80276107639222,189.82320185614847,143.5380092450473,380.4173181951308
Karnali,Surkhet,Panchpuri Nagarpalika,28.8,81.4,7.32,2.73,0.13,105.24,412.48,33.21,22.08,45.08,11.78,3.25,2.5,direct_overlay,False,0,direct_overlay,15.835266821345709,40.47692307692307,3.3676805036395825,116.29419953596289,20.9523153667678,24.45192305719205,167.41160092807422,218.09598905050868,424.8263462015952
Karnali,Surkhet,Panchpuri Nagarpalika,28.8,81.35,7.05,2.94,0.15,98.34,350.52,40.21,21.3,40.31,11.78,3.25,2.5,direct_overlay,False,0,direct_overlay,17.053364269141532,37.823076923076925,2.8618099547511306,117.41241299303945,21.589982487060507,23.91986266178571,165.1751740139211,210.7947005231572,426.11393235847856
Karnali,Dailekh,Dullu Nagarpalika,28.8,81.6,6.14,3.22,0.15,107.96,335.65,50.22,15.89,32.52,7.35,3.47,2.67,direct_overlay,False,0,direct_overlay,18.677494199535964,41.52307692307692,2.740404288805823,99.70046403712296,27.23459762627164,34.38299773531184,200.5990719257541,146.1638571791897,400.7931454805453
Karnali,Dailekh,Bhagawatimai Gaunpalika,28.8,81.8,6.05,2.67,0.14,103.84,345.66,52.02,15.26,31.95,9.510000000000002,3.47,2.67,direct_overlay,False,0,direct_overlay,15.48723897911833,39.93846153846154,2.8221306315168206,80.30133410672853,25.38298874486882,43.380578504260676,239.39733178654294,167.364778871252,379.01900001968914
Karnali,Jajarkot,Junichande Gaunpalika,28.8,82.0,6.26,3.03,0.15,135.58,376.13,51.59,18.77,31.19,8.28,1.08,2.67,direct_overlay,False,0,direct_overlay,17.575406032482597,52.14615384615385,3.0709020263623836,97.40290023201855,32.01655198108156,38.60631098810208,205.1941995359629,91.41047981661612,390.57272740879296
Karnali,Jajarkot,Chhedagad Nagarpalika,28.8,82.05,6.4,2.94,0.17,132.14,478.35,49.62,17.05,33.32,8.28,1.08,2.67,direct_overlay,False,0,direct_overlay,17.053364269141532,50.82307692307692,3.9054741294511115,98.56844547563806,30.90272175620203,47.27624227051222,202.86310904872389,104.16383589148674,369.5914937053604
Karnali,Dailekh,Bhagawatimai Gaunpalika,28.8,81.75,6.19,2.9,0.14,122.83,346.53,52.63,16.74,31.68,10.44,1.08,2.67,direct_overlay,False,0,direct_overlay,16.82134570765661,47.24230769230769,2.8292337202439497,91.22215777262181,29.40235599232554,38.13203444175007,217.55568445475637,121.34302388787258,391.72047665096477
Karnali,Jajarkot,Tribeni nalagad Nagarpalika,28.8,82.3,6.67,3.66,0.21,169.7,429.32,52.75,16.5,30.21,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,21.229698375870072,65.26923076923076,3.5051701750934483,132.45208816705338,38.39725778600749,30.390599892288165,135.09582366589325,18.3513983502142,410.45474826066265
Karnali,Jajarkot,Tribeni nalagad Nagarpalika,28.8,82.35,6.69,3.6,0.2,180.18,435.83,54.97,18.23,29.91,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,20.881670533642694,69.3,3.5583208734999006,130.99071925754063,40.218776102088164,30.97390868808309,138.01856148491873,0.0,409.0431409748389
Karnali,Jajarkot,Junichande Gaunpalika,28.8,81.95,6.08,2.97,0.15,112.43,380.55,47.23,18.15,33.71,10.44,1.08,2.67,direct_overlay,False,0,direct_overlay,17.227378190255223,43.24230769230769,3.1069889828841233,90.20255220417634,27.631441549170088,42.95382926539594,219.59489559164732,141.61999426200248,380.0517331777418
Karnali,Jajarkot,Kuse Gaunpalika,28.8,82.1,6.27,3.37,0.19,154.88,425.32,50.66,17.19,34.92,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,19.54756380510441,59.569230769230764,3.4725122958882544,108.6649071925754,36.37688467115831,39.52318956654718,182.6701856148492,41.484670515237376,388.3538812489558
Karnali,Surkhet,Panchpuri Nagarpalika,28.85,81.4,6.69,4.37,0.2,132.94,401.01,32.52,19.51,46.08,10.02,1.08,2.67,direct_overlay,False,0,direct_overlay,25.348027842227378,51.130769230769225,3.2740340350186896,159.00817865429235,32.32526005041941,23.882432007652802,81.9836426914153,87.87577242269776,426.20451454148025
Karnali,Dailekh,Dullu Nagarpalika,28.85,81.55,6.27,3.09,0.16,104.37,332.25,49.1,17.66,33.71,7.35,3.47,2.67,direct_overlay,False,0,direct_overlay,17.923433874709975,40.14230769230769,2.712645091481408,99.63636890951274,26.115697494645723,33.36367748129151,200.72726218097452,158.97526368630648,403.2599004952745
Karnali,Dailekh,Narayan Nagarpalika,28.85,81.7,5.94,2.69,0.14,98.82,283.39,49.1,17.98,33.25,9.510000000000002,3.47,2.67,direct_overlay,False,0,direct_overlay,15.60324825986079,38.0076923076923,2.313729096989966,77.98503480278423,24.455152998393714,36.92061807006794,244.02993039443155,177.98849816839197,394.6521042704356
Karnali,Jajarkot,Junichande Gaunpalika,28.85,81.95,6.38,3.05,0.17,141.64,380.46,50.59,18.08,31.9,8.28,1.08,2.67,direct_overlay,False,0,direct_overlay,17.691415313225058,54.47692307692307,3.106254180602006,101.65487238979118,32.98339483312511,36.74343413683299,196.69025522041764,80.34012916071748,395.08088938886414
Karnali,Jajarkot,Kuse Gaunpalika,28.85,82.1,6.22,3.85,0.22,193.52,524.28,54.52,15.07,30.06,8.35,0.9,0.83,direct_overlay,False,0,direct_overlay,22.331786542923435,74.43076923076923,4.280468227424748,122.24419953596286,44.842359673389254,44.16326859914694,155.51160092807427,0.0,377.1248899900644
Karnali,Jajarkot,Kuse Gaunpalika,28.85,82.15,6.26,3.96,0.19,219.37,534.12,53.16,15.15,31.25,8.35,0.9,0.83,direct_overlay,False,0,direct_overlay,22.96983758700696,84.37307692307692,4.360806610269525,127.29883990719257,49.954248438336606,43.08326989171725,145.40232018561485,0.0,379.7384868620443
Karnali,Jajarkot,Tribeni nalagad Nagarpalika,28.85,82.25,6.82,4.03,0.22,199.25,469.07,51.57,15.55,32.79,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,23.375870069605572,76.63461538461539,3.8297078496950614,151.8029002320186,43.748223585579154,27.927034189105175,96.3941995359628,0.0,416.4165772623655
Karnali,Jajarkot,Barekot Gaunpalika,28.85,82.3,6.8,3.92,0.24,178.02,451.18,53.97,15.83,30.07,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,22.737819025522043,68.46923076923078,3.683645484949833,146.8863109048724,39.64621631268964,27.87654458606426,106.2273781902552,4.050823219703639,416.5387621017245
Karnali,Surkhet,Panchpuri Nagarpalika,28.9,81.4,6.45,3.56,0.19,86.92,391.3,48.21,17.91,33.7,9.09,3.47,2.67,direct_overlay,False,0,direct_overlay,20.649651972157773,33.43076923076923,3.1947570332480817,121.11020881670535,23.210990763876495,31.816135896374462,157.7795823665893,192.23415575361415,407.00495113077375
Karnali,Dailekh,Chamunda bindrasaini Nagarpalika,28.9,81.5,6.14,3.24,0.17,98.16,392.72,50.08,17.48,34.57,7.35,3.47,2.67,direct_overlay,False,0,direct_overlay,18.793503480278424,37.753846153846155,3.2063505803659256,100.31972157772621,25.39018757808317,40.007011240493185,199.36055684454757,167.28235223094768,387.18303279800654
Karnali,Dailekh,Bhairabi Gaunpalika,28.9,81.65,5.84,2.54,0.12,61.46,297.76,50.11,16.35,30.9,9.510000000000002,3.47,2.67,direct_overlay,False,0,direct_overlay,14.733178654292345,23.638461538461538,2.431052528034625,71.13178654292344,16.90983865786186,42.37653156896117,257.7364269141531,264.38234736748166,381.4487936031139
Karnali,Dailekh,Mahabu Gaunpalika,28.9,81.7,5.82,2.65,0.12,69.27,342.35,52.85,15.61,32.41,9.510000000000002,3.47,2.67,direct_overlay,False,0,direct_overlay,15.37122969837587,26.64230769230769,2.7951062364745227,73.68967517401393,18.613929368195606,47.30853999013833,252.62064965197214,244.8705087341603,369.5133332238652
Karnali,Jajarkot,Junichande Gaunpalika,28.9,81.95,6.2,2.86,0.15,119.21,409.99,47.57,18.62,33.46,10.510000000000002,0.9,2.67,direct_overlay,False,0,direct_overlay,16.589327146171694,45.849999999999994,3.347350973834349,90.24593967517403,28.61513921113689,45.47387995562544,219.50812064965194,130.35665603248262,373.9532105073864
Karnali,Jajarkot,Tribeni nalagad Nagarpalika,28.9,82.5,7.15,3.63,0.2,207.76,445.93,50.68,13.51,34.78,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,21.05568445475638,79.9076923076923,3.6407820184930153,148.54785382830627,42.4502607420132,23.460756602914433,102.90429234338745,0.0,427.224969020947
Karnali,Dailekh,Chamunda bindrasaini Nagarpalika,28.95,81.6,6.06,2.84,0.14,81.29,383.69,55.06,15.42,31.15,9.510000000000002,3.47,2.67,direct_overlay,False,0,direct_overlay,16.473317865429234,31.265384615384615,3.1326254180602002,85.69419953596285,21.38797537033732,45.42738823288512,228.6116009280743,213.10768200963767,374.06572047641805
Karnali,Dailekh,Mahabu Gaunpalika,28.95,81.7,5.94,2.84,0.13,67.68,378.2,58.09,16.01,30.01,9.510000000000002,3.47,2.67,direct_overlay,False,0,direct_overlay,16.473317865429234,26.030769230769234,3.087802478851071,82.33364269141532,18.77066767802963,46.97956071518363,235.33271461716936,243.07585508656072,370.3094630692556
Karnali,Jajarkot,Barekot Gaunpalika,28.95,82.25,6.17,4.23,0.21,166.04,507.5,54.21,16.08,31.37,8.35,0.9,0.83,direct_overlay,False,0,direct_overlay,24.535962877030165,63.86153846153846,4.143468424158961,132.22430394431555,40.394265605479205,40.08859093013297,135.5513921113689,0.0,386.9856099490782
Karnali,Jajarkot,Tribeni nalagad Nagarpalika,28.95,82.5,7.03,3.48,0.23,196.16,531.18,52.75,11.69,35.51,8.35,0.9,0.83,direct_overlay,False,0,direct_overlay,20.185614849187935,75.44615384615385,4.336803069053707,138.29164733178655,41.04043133142959,31.611462499543894,123.4167053364269,0.0,407.5002607511037
Karnali,Dolpa,Thuli bheri Nagarpalika,28.95,82.85,6.76,4.23,0.23,159.05,469.73,52.82,14.18,30.88,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,24.535962877030165,61.17307692307693,3.8350963997639185,156.8338747099768,36.694030340888816,27.7093520308199,86.33225058004638,37.853352596823065,416.94336808541584
Karnali,Dolpa,Thuli bheri Nagarpalika,28.95,82.9,6.83,3.97,0.2,131.21,469.03,55.97,12.4,31.33,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,23.027842227378194,50.465384615384615,3.8293812709030095,149.93428074245944,30.516257997947527,28.141035860512098,100.13143851508113,108.58884592350081,415.8986932175607
Karnali,Dailekh,Naumule Gaunpalika,28.95,81.8,6.02,2.88,0.16,78.18,457.69,54.87,16.25,30.65,7.35,3.47,2.67,direct_overlay,False,0,direct_overlay,16.70533642691415,30.06923076923077,3.7367961833562853,85.76519721577725,20.880313760485453,54.40188919185327,228.4696055684455,218.92040744244153,352.347428155715
Karnali,Dailekh,Aathabis Nagarpalika,29.0,81.45,6.09,2.73,0.13,56.99,316.31,54.36,16.68,28.77,9.510000000000002,3.47,2.67,direct_overlay,False,0,direct_overlay,15.835266821345709,21.91923076923077,2.5825034428487115,83.182656612529,16.479512281367125,38.29641160855714,233.634686774942,269.3095843783464,391.32268390729166
Karnali,Dailekh,Thantikandh Gaunpalika,29.0,81.5,5.96,2.69,0.13,57.57,310.83,54.49,16.17,29.58,9.510000000000002,3.47,2.67,direct_overlay,False,0,direct_overlay,15.60324825986079,22.142307692307693,2.537762148337596,78.5155452436195,16.527921827592362,40.179184818440945,242.968909512761,268.7552950740675,386.7663727393729
Karnali,Dailekh,Thantikandh Gaunpalika,29.0,81.55,5.98,3.06,0.18,55.05,398.87,53.24,18.06,31.56,7.01,4.34,2.67,direct_overlay,False,0,direct_overlay,17.749419953596288,21.17307692307692,3.256562069643911,89.91856148491881,16.79759298590041,45.65660507398531,220.16287703016238,265.66756031144035,373.5110157209555
Karnali,Dailekh,Chamunda bindrasaini Nagarpalika,29.0,81.6,5.83,2.5,0.15,48.04,390.34,57.84,13.77,29.88,7.01,4.34,2.67,direct_overlay,False,0,direct_overlay,14.501160092807426,18.476923076923075,3.186919142238835,69.76508120649653,14.240527953774762,56.53477634213322,260.46983758700696,294.94595492927897,347.18584125203756
Karnali,Dailekh,Bhairabi Gaunpalika,29.0,81.65,5.91,2.37,0.13,59.67,397.22,57.84,16.18,27.46,9.74,2.89,2.67,direct_overlay,False,0,direct_overlay,13.747099767981439,22.95,3.2430906944717686,68.00690255220418,16.26699840487239,58.442646078487186,263.98619489559167,271.74286826421115,342.56879649006095
Karnali,Jajarkot,Tribeni nalagad Nagarpalika,29.0,82.55,6.58,4.09,0.21,165.84,451.37,57.29,12.34,31.26,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,23.723897911832946,63.784615384615385,3.685196734212079,144.3836426914153,38.799046091379616,30.300303060213412,111.23271461716939,13.750922253703402,410.6732665942835
Karnali,Dolpa,Tripurasundari Nagarpalika,29.0,82.65,6.69,4.31,0.22,157.2,480.29,58.73,12.38,29.62,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,25.0,60.46153846153845,3.92131320086563,156.82500000000002,36.89783173076923,28.969701606395056,86.34999999999997,35.519826682692354,413.89332211252395
Karnali,Dailekh,Aathabis Nagarpalika,29.05,81.5,6.1,3.21,0.15,49.73,346.24,56.38,15.15,29.95,7.01,4.34,2.67,direct_overlay,False,0,direct_overlay,18.619489559164734,19.126923076923074,2.8268660240015735,98.12470997679814,16.047698777440655,36.16933904665999,203.7505800464037,274.2538489983045,396.47019950708284
Karnali,Dolpa,Tripurasundari Nagarpalika,29.05,82.75,6.86,5.12,0.27,133.43,468.84,59.66,11.65,28.89,2.37,0.9,2.67,direct_overlay,False,0,direct_overlay,29.698375870069608,51.31923076923077,3.8278300216407626,194.88074245939677,32.210186150276634,21.851585951353215,10.238515081206458,89.19336857933254,431.1191619977252
Karnali,Kalikot,Kalika Gaunpalika,29.1,81.6,6.18,2.58,0.14,51.12,408.88,66.71,9.89,23.34,9.45,3.62,2.67,direct_overlay,False,0,direct_overlay,14.965197215777263,19.66153846153846,3.3382884123549075,80.90185614849187,14.983735588077813,50.06781684838636,238.19628770301625,286.436227516509,362.83588322690497
Karnali,Kalikot,Kalika Gaunpalika,29.1,81.65,6.43,2.85,0.15,33.04,438.69,63.73,10.35,26.5,9.45,3.62,2.67,direct_overlay,False,0,direct_overlay,16.531322505800464,12.707692307692307,3.5816712571316143,96.3941415313225,11.604896762894878,43.92686295243813,207.211716937355,325.12393206485365,377.69699165509974
Karnali,Kalikot,Mahawai Gaunpalika,29.1,81.75,6.53,3.5,0.17,51.4,390.69,60.43,10.88,28.95,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,20.301624129930396,19.769230769230766,3.1897767066692895,121.83004640371232,15.992206741923965,30.99855451907626,156.33990719257537,274.8892328049706,408.98349806383544
Karnali,Jumla,Tatopani Gaunpalika,29.1,82.1,6.19,4.49,0.21,60.16,526.63,60.15,11.4,27.71,7.57,2.89,0.83,direct_overlay,False,0,direct_overlay,26.044083526682137,23.138461538461538,4.2996547314577995,141.23706496519725,20.5201265058897,39.04217472011216,117.5258700696055,223.04455150756294,389.5179371773286
Karnali,Kalikot,Naraharinath Gaunpalika,29.15,81.55,6.36,2.94,0.15,38.0,402.2,62.23,9.8,27.61,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,17.053364269141532,14.615384615384615,3.2837497540822347,97.40881670533645,12.889599500267714,40.50733914912674,205.1823665893271,310.4140857219346,385.9722392591133
Karnali,Kalikot,Khandachakra Nagarpalika,29.15,81.6,6.34,3.22,0.16,43.73,462.33,64.05,9.9,26.3,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,18.677494199535964,16.819230769230767,3.77467932323431,106.0508120649652,14.568892646796359,43.346188019713985,187.8983758700696,291.1861791941817,379.1022249922921
Karnali,Kalikot,Tilagufa Nagarpalika,29.2,81.9,6.13,3.69,0.17,36.87,456.07,62.6,9.34,27.12,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,21.40371229698376,14.18076923076923,3.7235697422781815,113.88915313225057,14.518382440210601,41.50269828844884,172.22169373549886,291.7645210595886,383.5634701419538
Karnali,Jumla,Tatopani Gaunpalika,29.2,82.05,6.27,4.14,0.2,52.92,501.14,62.9,9.72,26.77,7.289999999999999,3.62,0.83,direct_overlay,False,0,direct_overlay,24.013921113689094,20.353846153846153,4.091542396222703,133.49338747099765,18.275437868106373,38.64109406781493,133.0132250580047,248.746236410182,390.4885523558878
Karnali,Jumla,Guthichaur Gaunpalika,29.2,82.3,5.91,5.39,0.26,53.65,525.47,60.72,9.82,29.05,1.32,3.62,0.83,direct_overlay,False,0,direct_overlay,31.264501160092806,20.634615384615383,4.290183946488294,154.66548723897913,21.21556566794574,36.86892826995201,90.66902552204175,215.0817731020213,394.7771935867162
Karnali,Kalikot,Raskot Nagarpalika,29.25,81.65,6.68,3.28,0.16,39.01,513.32,64.77,9.5,24.25,7.289999999999999,3.62,0.83,direct_overlay,False,0,direct_overlay,19.02552204176334,15.003846153846153,4.190985638402518,119.02366589327146,12.621310547920757,39.88707782668894,161.9526682134571,313.48599422630735,387.4732716594128
Karnali,Jumla,Tila Gaunpalika,29.25,82.0,6.14,3.45,0.17,43.54,475.48,60.0,10.83,29.82,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,20.011600928074248,16.746153846153845,3.882042101121385,106.82192575406032,15.308497456719614,45.78419553106415,186.35614849187937,282.7177041205604,373.2022468148248
Karnali,Jumla,Tatopani Gaunpalika,29.25,82.05,6.25,4.18,0.19,52.97,491.5,64.06,10.02,25.05,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,24.24593967517401,20.373076923076923,4.012836907338186,133.9588167053364,18.40742738265215,37.902489440841585,132.0823665893272,247.23495646863287,392.2759755531634
Karnali,Jumla,Tatopani Gaunpalika,29.25,82.1,6.2,4.04,0.19,39.49,462.84,61.24,9.84,27.38,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,23.4338747099768,15.188461538461539,3.7788432028329724,127.4802784222738,15.632049794752811,37.64034633207721,145.0394431554524,279.01302985008033,392.91036187637314
Karnali,Jumla,Guthichaur Gaunpalika,29.25,82.25,6.06,4.2,0.21,53.78,488.08,58.41,10.11,29.61,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,24.361948955916475,20.684615384615384,3.9849144206177445,126.73085846867748,18.853641799036232,40.63901669218818,146.53828306264504,242.12580140103512,385.65357960490456
Karnali,Jumla,Hima Gaunpalika,29.3,81.95,6.04,3.47,0.16,37.18,492.13,60.42,10.09,28.18,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,20.12761020881671,14.299999999999999,4.017980523313004,104.01948955916475,14.189027842227379,49.13898182880031,191.9610208816705,295.5356312064965,365.08366397430325
Karnali,Jumla,Sinja Gaunpalika,29.3,82.05,5.44,3.85,0.17,31.15,441.69,62.67,10.46,26.57,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,22.331786542923435,11.98076923076923,3.6061646665355105,92.63225058004642,12.58094145993218,49.93465622454745,214.73549883990717,313.9482202837765,363.15813193659517
Karnali,Jumla,Patrasi Gaunpalika,29.3,82.35,5.73,3.77,0.18,50.36,442.12,50.61,13.17,36.19,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,21.867749419953597,19.369230769230768,3.6096753885500683,101.48822505800466,17.059349868374085,46.11785709377996,197.02354988399068,262.6704440071167,372.39478583305254
Karnali,Kalikot,Palata Gaunpalika,29.35,81.8,6.85,3.53,0.17,45.67,466.24,60.24,8.3,31.56,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,20.475638051044083,17.565384615384616,3.8066024001573866,134.0130510440835,13.360277139478853,30.746383064023213,131.97389791183298,305.02482675296716,409.5937529850638
Karnali,Jumla,Sinja Gaunpalika,29.35,82.0,5.69,3.33,0.15,33.57,437.18,54.02,12.16,32.25,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,19.31554524361949,12.911538461538461,3.569342907731654,88.32998839907194,12.89137088390148,51.7429755099992,223.34002320185613,310.39380337932806,358.7819992658019
Karnali,Kalikot,Palata Gaunpalika,29.4,81.9,6.25,3.77,0.15,38.31,409.0,55.46,10.05,34.57,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,21.867749419953597,14.734615384615385,3.339268148731064,120.81931554524361,14.781841480010709,34.65413117054898,158.36136890951278,288.74791505387736,400.1370025672715
Karnali,Jumla,Kanakasundari Gaunpalika,29.4,82.0,6.17,4.08,0.2,49.17,359.13,53.07,11.89,34.05,7.289999999999999,3.62,2.67,direct_overlay,False,0,direct_overlay,23.66589327146172,18.911538461538463,2.9321060397403107,127.53549883990719,17.619141620560413,29.321936350213225,144.92900232018562,256.2608284445833,413.04091403248395
Karnali,Mugu,Khatyad Gaunpalika,29.5,81.8,7.2,3.78,0.16,62.69,342.5,55.55,8.61,35.92,7.57,2.89,2.67,direct_overlay,False,0,direct_overlay,21.925754060324824,24.11153846153846,2.7963309069447173,156.54988399071922,14.20449312868106,16.726638274379457,86.90023201856155,295.3585536766019,443.5215353760017
Karnali,Mugu,Khatyad Gaunpalika,29.5,81.85,7.2,4.65,0.16,106.58,343.82,39.74,9.01,52.48,7.57,2.89,2.67,direct_overlay,False,0,direct_overlay,26.972157772621813,40.99230769230769,2.807108007082431,192.58120649651974,23.13942530787078,13.888671609062515,14.837587006960518,193.05358022487957,450.3894147060687
Karnali,Mugu,Chhayanath rara Nagarpalika,29.5,82.15,6.48,4.0,0.12,272.75,272.81,33.64,8.73,60.25,10.510000000000002,0.9,3.34,direct_overlay,False,0,direct_overlay,23.201856148491878,104.90384615384615,2.2273490064922288,137.26218097447796,59.637073888988034,19.663096654149896,125.47563805104409,0.0,436.4153060969572
Karnali,Mugu,Khatyad Gaunpalika,29.55,81.95,7.22,3.54,0.11,148.68,264.3,40.57,9.93,51.13,10.510000000000002,0.9,3.34,direct_overlay,False,0,direct_overlay,20.533642691415317,57.184615384615384,2.157869368483179,147.30835266821347,30.430684722470108,13.486500206239945,105.38329466357305,109.56865992771726,451.3626695008993
Karnali,Mugu,Chhayanath rara Nagarpalika,29.6,82.15,6.1,4.18,0.1,222.07,179.97,42.04,5.1,53.54,10.510000000000002,0.9,3.34,direct_overlay,False,0,direct_overlay,24.24593967517401,85.41153846153846,1.4693596301396812,127.77610208816702,51.14941772264858,14.80379469578734,144.44779582366596,0.0,448.1748168361946
Karnali,Mugu,Khatyad Gaunpalika,29.6,81.8,7.29,4.03,0.14,117.09,380.78,38.78,9.97,51.29,10.510000000000002,0.9,2.67,direct_overlay,False,0,direct_overlay,23.375870069605572,45.034615384615385,3.108866810938422,170.48022041763343,23.89139977467428,16.328164868044663,59.039559164733134,184.4434725799795,444.4858410193319
Karnali,Mugu,Mugum karmarong Gaunpalika,29.6,82.3,6.69,4.52,0.13,174.28,209.91,38.92,4.67,56.93,10.510000000000002,0.9,3.34,direct_overlay,False,0,direct_overlay,26.218097447795824,67.03076923076922,1.7138038559905564,164.46612529002323,40.50729238800642,12.118886204648229,71.06774941995354,0.0,454.6722953847513
Karnali,Mugu,Soru Gaunpalika,29.6,82.05,7.27,4.03,0.11,185.85,270.34,35.92,7.63,56.94,10.510000000000002,0.9,3.34,direct_overlay,False,0,direct_overlay,23.375870069605572,71.48076923076923,2.2071827660830214,169.68544083526683,37.32392449357487,11.784015305741397,60.62911832946634,30.641064548567723,455.48268296010576
Karnali,Humla,Adanchuli Gaunpalika,29.65,81.85,7.51,4.23,0.11,195.55,304.43,37.01,9.88,54.57,10.510000000000002,0.9,2.67,direct_overlay,False,0,direct_overlay,24.535962877030165,75.21153846153847,2.4855095416092854,188.11722737819028,36.40307767044441,10.217660449051163,23.765545243619442,41.184760673411496,459.2732617132962
Karnali,Mugu,Soru Gaunpalika,29.65,81.95,7.59,3.79,0.12,204.29,279.19,29.65,8.39,64.64,10.510000000000002,0.9,3.34,direct_overlay,False,0,direct_overlay,21.983758700696058,78.57307692307691,2.279438323824513,171.53926914153135,37.25485444181688,9.521470844956726,56.9214617169373,31.431916641196704,460.9580405552047
Karnali,Humla,Sarkegad Gaunpalika,29.7,81.95,7.39,3.75,0.11,150.69,258.21,35.28,8.45,57.72,10.510000000000002,0.9,3.34,direct_overlay,False,0,direct_overlay,21.751740139211137,57.957692307692305,2.108147747393271,162.3332366589327,29.237311206050332,10.845303122000264,75.33352668213462,123.23278669072369,457.75436644475934
Karnali,Humla,Simkot Gaunpalika,29.95,81.85,6.9,3.79,0.17,157.91,286.01,39.06,9.6,52.96,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,21.983758700696058,60.73461538461538,2.335120007869368,145.75232018561488,34.94542544172764,17.149994753998776,108.49535962877025,57.87487869221849,442.49701269532295
Karnali,Humla,Namkha Gaunpalika,30.05,81.7,6.78,3.81,0.2,143.43,305.52,41.01,9.02,51.08,8.35,0.9,2.67,direct_overlay,False,0,direct_overlay,22.099767981438518,55.16538461538462,2.4944088136927007,142.01310904872392,32.964648804212025,19.599927306870235,115.97378190255216,80.55477119177232,436.56817591737405
