study,year,variety,site,n_tested_N_rates,minimum_tested_N_kg_ha,maximum_tested_N_kg_ha,maximum_observed_yield_kg_ha,relative_yield_threshold_pct,yield_threshold_kg_ha,selected_N_rate_kg_ha,yield_at_selected_N_rate_kg_ha,relative_yield_to_observed_maximum_pct,N_rate_adjustment_vs_government_reference_kg_ha,potential_mineral_N_reduction_vs_N120_kg_ha,additional_N_requirement_vs_N120_kg_ha,N_rate_adjustment_direction
"2018 N source, timing and FYM trial",2018,All maize,Doti | Ghantesori,2,0.0,120.0,8323.666666666666,95.0,7907.483333333333,0.0,7978.666666666667,95.85519202274641,-120.0,120.0,0.0,lower rate
"2018 N source, timing and FYM trial",2018,All maize,Kavre | Anekot,2,0.0,120.0,6632.333333333333,95.0,6300.716666666666,120.0,6632.333333333333,99.99999999999999,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Kavre | Bhakundebesi,2,0.0,120.0,8127.666666666667,95.0,7721.283333333333,0.0,7976.333333333333,98.13804699995897,-120.0,120.0,0.0,lower rate
"2018 N source, timing and FYM trial",2018,All maize,Kavre | Rabiopi,2,0.0,120.0,9316.666666666666,95.0,8850.833333333332,0.0,8972.333333333334,96.30411449016101,-120.0,120.0,0.0,lower rate
"2018 N source, timing and FYM trial",2018,All maize,Palpa | Chidipani,2,0.0,120.0,7165.0,95.0,6806.75,120.0,7165.0,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Palpa | Devinagar,2,0.0,120.0,7031.0,95.0,6679.45,120.0,7031.0,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Palpa | Khasyauli,2,0.0,120.0,7048.333333333333,95.0,6695.916666666666,120.0,7048.333333333333,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Palpa | Madanpokhara,2,0.0,120.0,5571.666666666667,95.0,5293.083333333333,120.0,5571.666666666667,100.00000000000001,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Babiyachaur,2,0.0,120.0,9286.666666666666,95.0,8822.333333333332,120.0,9286.666666666666,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Gadhi,2,0.0,120.0,8749.666666666666,95.0,8312.183333333332,120.0,8749.666666666666,100.0,0.0,0.0,0.0,maintain N120
