S.no,District,VDC,Demo,Organization,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,ZnSO4_kg_ha,FYM_t_ha,N_source,N_methods,N_time,Variety,barcode,latitude,longitude,altitude,precision,Straw_wt_kg_ha,cob_wt_kg_ha,grain_yield_kg_ha,1000_grain_wt_gm,moisture%,Yield_kg_ha,Yield_t_ha,NUE_N,AE_N,PFPN,lat_fixed,lon_fixed,lat_key,lon_key,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,narc_dist,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,farmer_id,OC,P_Olsen,Exch_K,yield_control_pooled,n_supply,p_supply,k_supply,n_rec_quefts,p_rec_quefts,k_rec_quefts,AE_pooled,NUE
108.0,Dang,Dhikpur,A2,,120.0,60.0,40.0,0.0,6.0,manure,top dressing,V6 and V10,Hybrid,DA2-CEZ620wH,28.030160274356604 82.37680382095277 536.0 8.0,28.030160274356604,82.37680382095277,536.0,8.0,19700.0,13117.0,6667.0,290.0,18.0,6.212,,,,28.030160274356604,82.37680382095277,28.030160274356604,82.37680382095277,6.62,1.88,0.1,112.25,442.91,42.77,23.95,36.87,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.904872389791183,43.17307692307692,3.6161253196930945,5.632608695652174,67.10858468677495,24.66967303230412,57.5426948947549,265.7828306264501,175.5322437801178,344.74667835469313,4.828260869565211,51.766666666666666
122.0,Dang,Dhikpur,A3,,120.0,60.0,40.0,20.0,0.0,0,top dressing,V6 and V10,Hybrid,DA3-DXZ446sZ,28.030122010968626 82.37686073407531 538.0 6.0,28.030122010968626,82.37686073407531,538.0,6.0,20400.0,11970.0,12000.0,300.0,18.0,11.182,,,,28.030122010968626,82.37686073407531,28.030122010968626,82.37686073407531,6.62,1.88,0.1,112.12,446.82,42.82,23.75,36.83,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.904872389791183,43.12307692307692,3.6480483966161708,5.632608695652174,67.10858468677495,24.644673032304123,58.05068057364788,265.7828306264501,175.8184937801178,343.5173530117722,46.244927536231884,93.18333333333334
136.0,Dang,Dhikpur,A4,,60.0,60.0,40.0,0.0,0.0,PCU,basal,planting,Hybrid,DA4-RNR548zI,28.030079430900514 82.37690306268632 536.0 7.0,28.03007943090052,82.37690306268632,536.0,7.0,20863.0,15700.0,8833.0,275.0,17.6,8.271,,,,28.03007943090052,82.37690306268632,28.03007943090052,82.37690306268632,6.61,1.87,0.1,112.46,450.35,42.85,23.53,36.78,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.846867749419955,43.25384615384615,3.6768689750147554,5.632608695652174,66.56722737819027,24.717005878547205,59.08158000507482,266.86554524361947,174.9902826906345,341.02257638771897,43.97318840579711,137.85
150.0,Dang,Dhikpur,A5,,78.0,60.0,40.0,0.0,0.0,UDP,basal,planting,Hybrid,DA5-VMA939hU,28.03011618554592 82.37693273462355 539.0 9.0,28.03011618554592,82.37693273462355,539.0,9.0,23097.0,17283.0,7333.0,285.0,17.7,6.858,,,,28.03011618554592,82.37693273462355,28.03011618554592,82.37693273462355,6.61,1.87,0.1,111.89,452.57,42.91,23.47,36.77,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.846867749419955,43.034615384615385,3.694994097973637,5.632608695652174,66.56722737819027,24.607390493931824,59.372822611072955,266.86554524361947,176.2453788444806,340.3177692812034,15.710144927536222,87.92307692307692
164.0,Dang,Dhikpur,B1,,120.0,60.0,40.0,0.0,0.0,0,top dressing,V6 and V10,OPV,DB1-LVA955vR,28.03008563350886 82.37662989646196 535.0 8.0,28.03008563350886,82.37662989646196,535.0,8.0,18437.0,13267.0,8000.0,301.0,16.7,7.573,,,,28.03008563350886,82.37662989646196,28.03008563350886,82.37662989646196,6.65,1.9,0.1,113.38,428.96,42.53,24.54,37.02,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,11.020881670533642,43.607692307692304,3.502230965964981,5.632608695652174,68.38457076566125,24.846298300017843,54.360596860272075,263.2308584686775,173.50988446479568,352.4473555981416,16.169927536231885,63.108333333333334
178.0,Dang,Dhikpur,B2,,120.0,60.0,40.0,0.0,6.0,manure,top dressing,V6 and V10,OPV,DB2-DBX709tX,28.030072138644755 82.37666987814009 542.0 8.0,28.030072138644755,82.37666987814009,542.0,8.0,19367.0,10600.0,7667.0,290.0,16.8,7.248,,,,28.030072138644755,82.37666987814009,28.030072138644755,82.37666987814009,6.64,1.89,0.1,113.35,432.26,42.57,24.37,36.98,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.962877030162412,43.59615384615384,3.5291737163092654,5.632608695652174,67.838283062645,24.849264858111724,55.31718450320628,264.32343387470996,173.47591737462076,350.1324135022408,13.461594202898548,60.4
192.0,Dang,Dhikpur,B3,,120.0,60.0,40.0,20.0,0.0,0,top dressing,V6 and V10,OPV,DB3-NJV970iR,28.030052105896175 82.37671346403658 538.0 11.0,28.03005210589617,82.37671346403658,538.0,11.0,19700.0,10520.0,8667.0,310.0,17.4,8.135,,,,28.03005210589617,82.37671346403658,28.03005210589617,82.37671346403658,6.63,1.89,0.1,113.4,435.86,42.62,24.18,36.93,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.962877030162412,43.61538461538461,3.558565807593941,5.632608695652174,67.65191415313224,24.883245236926644,56.077764863554364,264.69617169373555,173.0868420371899,348.2918090301984,20.85326086956521,67.79166666666667
206.0,Dang,Dhikpur,B4,,60.0,60.0,40.0,0.0,0.0,PCU,basal,planting,OPV,DB4-ENR375jG,28.03005143534392 82.3767106141895 534.0 8.0,28.03005143534392,82.3767106141895,534.0,8.0,23070.0,10920.0,5000.0,290.0,16.6,4.739,,,,28.03005143534392,82.3767106141895,28.03005143534392,82.3767106141895,6.63,1.89,0.1,113.41,435.65,42.61,24.19,36.94,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.962877030162412,43.61923076923077,3.556851268935667,5.632608695652174,67.65191415313224,24.88516831384972,56.05074625523666,264.69617169373555,173.06482280642066,348.3571940623272,-14.893478260869575,78.98333333333333
220.0,Dang,Dhikpur,B5,,78.0,60.0,40.0,0.0,0.0,UDP,basal,planting,OPV,DB5-PRF163lO,28.03001916501671 82.37676157616079 539.0 8.0,28.03001916501671,82.37676157616079,539.0,8.0,20350.0,11650.0,6333.0,300.0,16.6,6.002,,,,28.03001916501671,82.37676157616079,28.03001916501671,82.37676157616079,6.63,1.88,0.1,113.58,439.87,42.66,23.95,36.88,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.904872389791183,43.684615384615384,3.591305331497147,5.632608695652174,67.29396751740138,24.901587854720685,56.84376194082393,265.41206496519726,172.87681906344815,346.4380961032061,4.735785953177249,76.94871794871794
97.0,Dang,Laxmipur,A1,,120.0,60.0,40.0,0.0,0.0,0,top dressing,V6 and V10,Hybrid,DA1-YVX535cP,27.97623605467379 82.46381275355816 548.0 6.0,27.97623605467379,82.46381275355816,548.0,6.0,17133.0,14733.0,14000.0,360.0,21.4,12.505,,,,27.97623605467379,82.46381275355816,27.97623605467379,82.46381275355816,6.75,2.06,0.1,155.3,351.43,46.52,22.21,32.1,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.948955916473318,59.73076923076923,2.8692396222703125,5.632608695652174,76.17459396751741,32.87129383812243,39.3691829197268,247.65081206496518,81.62368555349813,388.72657733426115,57.26992753623188,104.20833333333333
