PK Scenario,Avg Yield (t/ha),AE-N (kg grain/kg N),Avg N Applied (kg/ha),N Demand for 8t/ha
Full PK (60:40),7.695991091314031,14.888141739478042,93.0,105.63216647088431
Sub-optimal PK,7.43108108108108,8.36570945945946,120.0,187.98963486454642
