S.no,District,VDC,treatment,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,FYM_t_ha,N_source,N_methods,N_time,barcode,latitude,longitude,altitude,precision,Straw_wt_kg_ha,cob_wt_kg_ha,grain_yield_kg_ha,1000_grain_wt_gm,moisture%,Yield_kg_ha,Yield_t_ha,NUE_N,AE_N,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,narc_dist,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,farmer_id,OC,P_Olsen,Exch_K,yield_control,n_supply,p_supply,k_supply,n_rec_quefts,p_rec_quefts,k_rec_quefts,uptake_N_trial,uptake_P_trial,uptake_K_trial,yield_trial_pred,AE_trial,NUE_trial
171,Surkhet,Kalyan,9,120,60,40,,Urea ,top dressed ,V6 and V10 stages,T9-RPD801xG,28.50206497,81.74798373,513.0,5.0,23333,16457,9897,358,24.0,8581.0,8.6,72,3.2,28.50206497,81.74798373,7.31,3.21,0.16,99.49,481.71,45.07,10.42,43.1,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_014,18.619489559164734,38.26538461538461,3.932906747983473,7.072,136.42499999999998,20.05775509771551,24.950813803862246,127.15000000000003,228.33870413115739,423.61903059465334,196.42499999999998,25.297929770204593,41.479739423696955,1.6591895769478784,12.733333333333329,71.66666666666667
172,Surkhet,Maintada-1,1,120,60,40,,Urea,top dressed ,knee ht+shoulder ht,T1-TRR912sV,28.44930707,81.79298934,411.0,5.0,15110,12083,9367,398,24.0,8047.0,8.0,67,13.7,28.44930707,81.79298934,6.09,2.44,0.12,178.43,205.87,46.62,12.87,41.16,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_040,14.153132250580047,68.62692307692308,1.6808193979933106,7.072,74.34640371229698,39.24699576119936,27.48557803667556,251.30719257540605,8.621898534267352,417.48490115124514,134.346403712297,44.48717043368844,44.01450365651027,1.760580146260411,7.7333333333333325,66.66666666666667
173,Surkhet,Ramghat,1,120,60,40,,Urea,top dressed ,knee ht+shoulder ht,T1-DGI431nT,28.49014764,81.74308792,435.0,3.0,29530,16737,9400,391,21.0,8395.0,8.4,70,17.3,28.49014764,81.74308792,6.8,2.6,0.14,101.13,333.64,45.98,10.86,43.92,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_097,15.081206496519721,38.896153846153844,2.7239937045052134,7.072,97.4245939675174,23.037404069248616,29.73584903592028,205.1508120649652,194.22172340710333,412.0392453330729,157.4245939675174,28.2775787417377,46.26477465575499,1.8505909862301997,11.066666666666668,70.0
174,Surkhet,Maintada-1,2,120,60,40,,PCU,basal ,planting time,T2-TMQ860pY,28.44931341,81.79298811,418.0,5.0,13183,15290,9470,381,26.0,8093.0,8.1,67,14.0,28.44931341,81.79298811,6.09,2.44,0.12,178.42,206.04,46.63,12.88,41.15,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_040,14.153132250580047,68.62307692307692,1.6822073578595316,7.072,74.34640371229698,39.24507268427628,27.508274632907337,251.30719257540605,8.643917765036589,417.42997538836426,134.346403712297,44.48524735676536,44.03720025274205,1.7614880101096821,8.566666666666663,67.5
175,Surkhet,Ramghat,2,120,60,40,,PCU,basal ,planting time,T2-XEY999tE,28.49013158,81.74307377,434.0,5.0,30437,19437,9867,387,20.0,8925.0,8.9,74,21.8,28.49013158,81.74307377,6.8,2.6,0.14,101.13,333.64,45.98,10.86,43.92,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_097,15.081206496519721,38.896153846153844,2.7239937045052134,7.072,97.4245939675174,23.037404069248616,29.73584903592028,205.1508120649652,194.22172340710333,412.0392453330729,157.4245939675174,28.2775787417377,46.26477465575499,1.8505909862301997,15.233333333333336,74.16666666666667
176,Surkhet,Maintada-1,3,60,60,40,,PCU,basal ,planting time,T3-EMO227rI,28.44930375,81.79298041,424.0,5.0,18550,15613,9800,408,26.0,8230.0,8.2,137,30.4,28.44930375,81.79298041,6.09,2.44,0.12,178.21,206.29,46.62,12.86,41.16,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_040,14.153132250580047,68.54230769230769,1.6842484753098563,7.072,74.34640371229698,39.20468806889166,27.541651980306998,251.30719257540605,9.106321611190458,417.3492022076571,104.34640371229698,44.444862741380746,44.07057760014171,1.7628231040056686,18.79999999999999,136.66666666666666
177,Surkhet,Ramghat,3,60,60,40,,PCU,basal ,planting time,T3-THC655eA,28.4901182,81.74305859,434.0,5.0,29797,19770,9233,379,21.0,8268.0,8.3,138,32.6,28.4901182,81.74305859,6.8,2.6,0.14,101.13,333.64,45.98,10.86,43.92,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_097,15.081206496519721,38.896153846153844,2.7239937045052134,7.072,97.4245939675174,23.037404069248616,29.73584903592028,205.1508120649652,194.22172340710333,412.0392453330729,127.4245939675174,28.2775787417377,46.26477465575499,1.8505909862301997,20.46666666666668,138.33333333333334
178,Surkhet,Maintada-1,4,78,60,40,,UDP,basal ,planting time,T4-SEU735xM,28.44927829,81.79298279,415.0,5.0,12067,14797,9700,374,22.0,8642.0,8.6,111,28.6,28.44927829,81.79298279,6.09,2.46,0.12,178.18,205.73,46.61,12.84,41.2,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_040,14.269141531322507,68.53076923076924,1.679676372221129,7.072,74.95580046403713,39.239357643226846,27.273669604342793,250.08839907192575,8.709354985052613,417.9977195574904,113.95580046403713,44.47953231571593,43.80259522417751,1.7521038089671004,19.589743589743584,110.25641025641026
179,Surkhet,Ramghat,4,78,60,40,,UDP,basal ,planting time,T4-JIL754fO,28.49011618,81.74305891,433.0,5.0,29660,18447,9933,407,19.0,9143.0,9.1,117,36.3,28.49011618,81.74305891,6.8,2.6,0.14,101.13,333.64,45.98,10.86,43.92,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_097,15.081206496519721,38.896153846153844,2.7239937045052134,7.072,97.4245939675174,23.037404069248616,29.73584903592028,205.1508120649652,194.22172340710333,412.0392453330729,136.4245939675174,28.2775787417377,46.26477465575499,1.8505909862301997,25.999999999999993,116.66666666666667
180,Surkhet,Maintada-1,5,60,60,40,6.0,Urea,top dressed ,knee ht+shoulder ht,T5-ODN350pT,28.44926357,81.79297843,426.0,5.0,10170,12590,8643,419,24.0,7455.0,7.5,124,17.5,28.44926357,81.79297843,6.09,2.46,0.12,178.02,205.73,46.6,12.83,41.22,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_040,14.269141531322507,68.46923076923078,1.679676372221129,7.072,74.95580046403713,39.208588412457615,27.273669604342793,250.08839907192575,9.061662677360303,417.9977195574904,104.95580046403713,44.4487630849467,43.80259522417751,1.7521038089671004,7.133333333333332,125.0
