province,district,palika,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,maize_urea_total,maize_dap,maize_mop,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,OC,P_Olsen,Exch_K,n_supply,p_supply,k_supply,target_yield_t_ha,quefts_N_kg_ha,quefts_P2O5_kg_ha,quefts_K2O_kg_ha,IE_N_kg_grain_per_kg_uptake,RE_N_fraction,dsm_interpretation
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.88,83.04,5.88,3.07,0.08,36.86,267.2,81.63,8.79,9.08,9.17,4.34,3.34,NARC_API_modelled_DSM,False,0,none,17.807424593967514,14.176923076923076,2.181546330906944,87.18515081206495,13.276185436373371,31.706618801554022,6.0,125.6296983758701,191.48767675352488,286.2699825002393,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.88,83.06,5.8,3.27,0.1,42.24,274.82,81.26,8.67,9.88,9.17,4.34,3.34,NARC_API_modelled_DSM,False,0,none,18.96751740139211,16.246153846153845,2.2437595907928385,90.28538283062645,14.628935391754418,31.766689406966677,6.0,119.42923433874711,175.9986897644119,286.12461163514064,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.88,83.08,6.0,3.57,0.12,81.69,351.97,71.84,10.88,18.4,9.510000000000002,3.47,2.67,NARC_API_modelled_DSM,False,0,none,20.707656612529,31.41923076923077,2.873648435963014,105.6090487238979,22.957295199000534,34.81203203946424,6.0,88.7819025522042,80.63896997144388,278.7548824644965,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.88,83.24,6.22,3.11,0.11,134.71,346.23,53.88,11.54,33.19,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,18.039443155452435,51.81153846153846,2.826784379303561,98.74791183294661,32.0667802516509,35.34352660925025,6.0,102.50417633410677,0.0,277.4686656056144,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.88,83.26,6.33,2.99,0.11,133.79,334.57,52.09,11.65,38.38,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,17.343387470997683,51.457692307692305,2.7315866614204203,98.18091647331788,31.468510161966805,33.66191523587425,6.0,103.63816705336424,0.0,281.53816512918434,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.88,83.3,6.48,3.15,0.12,134.57,388.5,47.5,12.52,40.92,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,18.271461716937353,51.7576923076923,3.171896517804446,108.09396751740138,31.537152418347308,34.738241981645444,6.0,83.81206496519724,0.0,278.933454404418,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.9,83.04,5.93,3.26,0.1,46.09,290.49,79.86,9.9,10.6,9.17,4.34,2.67,NARC_API_modelled_DSM,False,0,none,18.90951276102088,17.72692307692308,2.371696832579185,94.18828306264498,15.465576097626272,32.0490109862509,6.0,111.62343387471003,166.41915368217917,285.4413934132728,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sandhikharka Nagarpalika,27.9,83.14,6.39,3.13,0.13,147.62,437.62,53.92,14.05,32.18,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,18.155452436194896,56.776923076923076,3.5729352744442258,104.62987238979116,34.25961713590934,41.10649715898947,6.0,90.74025522041768,0.0,263.5222768752455,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sandhikharka Nagarpalika,27.9,83.18,6.33,3.01,0.11,143.85,403.59,54.73,12.46,32.44,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,17.459396751740137,55.32692307692307,3.295098367106039,98.83764501160091,33.4415179479743,40.36684327465146,6.0,102.32470997679818,0.0,265.3122392753435,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.9,83.22,6.32,3.12,0.13,157.75,419.23,50.46,12.76,37.01,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,18.097447795823665,60.67307692307692,3.422790674798347,102.14199535962877,36.34633892557558,40.80164504221047,6.0,95.71600928074247,0.0,264.26001899785064,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.9,83.3,6.54,3.17,0.13,126.06,307.77,45.79,12.43,40.76,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,18.387470997679813,48.48461538461538,2.5127788707456222,110.65580046403711,29.739609896484023,26.551942946414055,6.0,78.68839907192577,2.9814666852579395,298.744298069678,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.92,83.0,6.14,2.76,0.09,91.59,351.72,70.12,12.0,18.84,9.510000000000002,3.47,2.67,NARC_API_modelled_DSM,False,0,none,16.009280742459396,35.22692307692308,2.8716073185126887,85.45754060324825,23.16179796537569,41.30209417559907,6.0,129.0849187935035,78.29741329644834,263.0489320950502,40.0,0.5,modelled spatial covariate
