year,adm1,adm2,site,treatment_code,treatment,treatment_group,n_obs,n_trials,n_farmers,n_yield,mean_yield_kg_ha,sd_yield_kg_ha,min_yield_kg_ha,max_yield_kg_ha,mean_yield_t_ha,mean_N_fertilizer_kg_ha,mean_P2O5_fertilizer_kg_ha,mean_K2O_fertilizer_kg_ha,mean_organic_fertilizer_t_ha,mean_PFPN_kg_grain_per_kg_N,mean_AE_N_kg_grain_per_kg_N,mean_straw_yield_kg_ha,mean_cob_yield_kg_ha,mean_grain_yield_raw_kg_ha,mean_grain_moisture_pct,source_datasets
2017,Dang,Hapur,Dang | Hapur,4,K0,omission,2,2,2,2,4232.5,386.7874093090415,3959.0,4506.0,4.25,120.0,60.0,0.0,,35.5,,22500.0,,,,nsaf_maize_trials_2017
2017,Dang,Hapur,Dang | Hapur,5,N-60,Nrates,2,2,2,2,4991.0,636.3961030678928,4541.0,5441.0,4.95,60.0,60.0,40.0,,83.5,,27500.5,,,,nsaf_maize_trials_2017
2017,Dang,Hapur,Dang | Hapur,6,N-120,Nrates,2,2,2,2,7881.5,43.1335136523794,7851.0,7912.0,6.4,120.0,60.0,40.0,,65.5,,27500.0,,,,nsaf_maize_trials_2017
2017,Dang,Hapur,Dang | Hapur,7,N-180,Nrates,2,2,2,2,4880.5,1294.7125163525686,3965.0,5796.0,4.9,180.0,60.0,40.0,,27.0,,25667.0,,,,nsaf_maize_trials_2017
2017,Dang,Hapur,Dang | Hapur,8,N-210,Nrates,2,2,2,2,5643.0,681.6509370638319,5161.0,6125.0,5.65,210.0,60.0,40.0,,27.0,,29167.0,,,,nsaf_maize_trials_2017
2017,Dang,Hapur,Dang | Hapur,9,NPK+micros,NPK+micros,2,2,2,2,4068.5,702.1570337182417,3572.0,4565.0,4.1,120.0,60.0,40.0,,34.0,,24166.5,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,1,CK,control,3,3,3,3,5128.333333333333,592.543950549943,4450.0,5545.0,5.133333333333334,0.0,0.0,0.0,,0.0,,20428.0,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,10,K and S,Ntiming,3,3,3,3,6917.666666666667,1296.7287045998996,6169.0,8415.0,6.933333333333334,120.0,60.0,40.0,,57.333333333333336,,24780.0,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,2,N0,omission,3,3,3,3,5839.0,1746.6264626416262,3931.0,7359.0,5.833333333333333,0.0,60.0,40.0,,0.0,,20855.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,3,P0,omission,3,3,3,3,7274.0,1176.4476188934211,6377.0,8606.0,7.266666666666667,120.0,0.0,40.0,,60.666666666666664,,23283.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,4,K0,omission,3,3,3,3,5822.333333333333,1219.887836374039,4832.0,7185.0,5.833333333333333,120.0,60.0,0.0,,48.333333333333336,,19247.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,5,N-60,Nrates,3,3,3,3,6507.333333333333,708.3652541827087,5758.0,7166.0,6.533333333333334,60.0,60.0,40.0,,108.33333333333333,,20808.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,6,N-120,Nrates,3,3,3,3,7269.333333333333,365.92941031479455,7035.0,7691.0,7.266666666666667,120.0,60.0,40.0,,60.666666666666664,,22022.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,7,N-180,Nrates,3,3,3,3,6430.333333333333,794.6378630126641,5513.0,6907.0,6.433333333333334,180.0,60.0,40.0,,35.666666666666664,,24494.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,8,N-210,Nrates,3,3,3,3,8038.333333333333,375.3456185082401,7800.0,8471.0,8.033333333333333,210.0,60.0,40.0,,38.0,,22450.0,,,,nsaf_maize_trials_2017
2017,Dang,Laxmipur,Dang | Laxmipur,9,NPK+micros,NPK+micros,3,3,3,3,6441.0,441.6729559300637,6186.0,6951.0,6.466666666666666,120.0,60.0,40.0,,54.0,,21765.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,1,CK,control,1,1,1,1,6879.0,,6879.0,6879.0,6.9,0.0,0.0,0.0,,0.0,,26953.0,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,10,K and S,Ntiming,2,2,2,2,8544.5,627.2037149124676,8101.0,8988.0,8.55,120.0,60.0,40.0,,71.5,,33238.0,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,2,N0,omission,2,2,2,2,8108.0,123.03657992645927,8021.0,8195.0,8.1,0.0,60.0,40.0,,0.0,,33120.0,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,3,P0,omission,2,2,2,2,7740.5,226.98127676088177,7580.0,7901.0,7.75,120.0,0.0,40.0,,64.5,,30813.5,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,4,K0,omission,2,2,2,2,7743.0,33.94112549695428,7719.0,7767.0,7.75,120.0,60.0,0.0,,64.5,,30720.0,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,5,N-60,Nrates,2,2,2,2,8235.5,532.4514062334703,7859.0,8612.0,8.25,60.0,60.0,40.0,,137.5,,32468.5,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,6,N-120,Nrates,2,2,2,2,8504.0,427.0924958366747,8202.0,8806.0,8.5,120.0,60.0,40.0,,70.5,,27232.5,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,7,N-180,Nrates,2,2,2,2,7531.0,308.2985565973347,7313.0,7749.0,7.5,180.0,60.0,40.0,,42.0,,29758.5,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,8,N-210,Nrates,2,2,2,2,5706.5,3556.0400025871477,3192.0,8221.0,5.699999999999999,210.0,60.0,40.0,,27.0,,33861.5,,,,nsaf_maize_trials_2017
2017,Dang,Panchakule,Dang | Panchakule,9,NPK+micros,NPK+micros,2,2,2,2,8494.5,385.3731957466684,8222.0,8767.0,8.5,120.0,60.0,40.0,,71.0,,32635.0,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,1,CK,control,3,3,3,3,5758.0,403.4240944713144,5303.0,6072.0,5.766666666666667,0.0,0.0,0.0,,0.0,,13555.666666666666,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,10,K and S,Ntiming,3,3,3,3,6788.666666666667,1860.933726206641,5573.0,8931.0,6.8,120.0,60.0,40.0,,56.333333333333336,,12222.333333333334,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,2,N0,omission,3,3,3,3,5612.0,648.9992295835181,4892.0,6152.0,5.633333333333333,0.0,60.0,40.0,,0.0,,22444.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,3,P0,omission,3,3,3,3,6137.0,1028.2378129596286,5145.0,7198.0,6.133333333333333,120.0,0.0,40.0,,51.333333333333336,,21666.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,4,K0,omission,3,3,3,3,6943.0,1106.3756143371925,5681.0,7746.0,6.933333333333334,120.0,60.0,0.0,,58.0,,15889.0,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,5,N-60,Nrates,3,3,3,3,6437.666666666667,2217.6465753887232,3877.0,7732.0,6.433333333333334,60.0,60.0,40.0,,107.33333333333333,,19000.0,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,6,N-120,Nrates,3,3,3,3,6501.333333333333,913.4880039351001,5449.0,7090.0,6.5,120.0,60.0,40.0,,54.0,,20999.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,7,N-180,Nrates,3,3,3,3,8023.333333333333,501.61771632721803,7448.0,8369.0,8.033333333333333,180.0,60.0,40.0,,44.333333333333336,,26000.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,8,N-210,Nrates,3,3,3,3,7171.333333333333,1643.1829883897085,5811.0,8997.0,7.166666666666667,210.0,60.0,40.0,,34.333333333333336,,14888.666666666666,,,,nsaf_maize_trials_2017
2017,Dang,Pawannagar,Dang | Pawannagar,9,NPK+micros,NPK+micros,3,3,3,3,5380.666666666667,2336.714217300296,2784.0,7314.0,5.366666666666667,120.0,60.0,40.0,,44.666666666666664,,22444.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,1,CK,control,2,2,2,2,7004.5,700.7428201558686,6509.0,7500.0,7.0,0.0,0.0,0.0,,0.0,,32167.0,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,10,K and S,Ntiming,3,3,3,3,7804.333333333333,896.3818010944519,6774.0,8405.0,7.8,120.0,60.0,40.0,,65.0,,36322.333333333336,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,2,N0,omission,2,2,2,2,6920.5,762.9682169002848,6381.0,7460.0,6.9,0.0,60.0,40.0,,0.0,,33350.0,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,3,P0,omission,3,3,3,3,7813.0,1373.909385658312,6266.0,8891.0,7.833333333333333,120.0,0.0,40.0,,65.0,,39767.0,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,4,K0,omission,3,3,3,3,6789.666666666667,541.2765774844995,6286.0,7362.0,6.8,120.0,60.0,0.0,,56.333333333333336,,36266.666666666664,,,,nsaf_maize_trials_2017
