year,adm1,adm2,site,treatment_code,treatment,treatment_group,n_obs,n_trials,n_farmers,n_yield,mean_yield_kg_ha,sd_yield_kg_ha,min_yield_kg_ha,max_yield_kg_ha,mean_yield_t_ha,mean_N_fertilizer_kg_ha,mean_P2O5_fertilizer_kg_ha,mean_K2O_fertilizer_kg_ha,mean_organic_fertilizer_t_ha,mean_PFPN_kg_grain_per_kg_N,mean_AE_N_kg_grain_per_kg_N,mean_straw_yield_kg_ha,mean_cob_yield_kg_ha,mean_grain_yield_raw_kg_ha,mean_grain_moisture_pct,source_datasets,treatment_lc,study,variety,stage,stage_name,treatment_role,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,FYM_t_ha,mineral_N_rate_response,government_reference,AE_N_applicable,PFP_N_applicable,government_reference_yield_kg_ha,government_reference_N_kg_ha,government_reference_available,relative_yield_to_government_reference_pct,yield_response_vs_government_reference_kg_ha,N_rate_difference_vs_government_reference_kg_ha,potential_mineral_N_reduction_applicable,potential_mineral_N_reduction_kg_ha,N0_PK_reference_yield_kg_ha,yield_response_to_N_kg_ha,AE_N_kg_grain_per_kg_N,PFP_N_kg_grain_per_kg_N
2017,Dang,Dhuruwa,Dang | Dhuruwa,5,N-60,Nrates,3,3,3,3,6823.666666666667,294.9191979735015,6499.0,7075.0,6.833333333333333,60.0,60.0,40.0,,113.66666666666669,,25166.666666666668,,,,nsaf_maize_trials_2017,n-60,2017 core trial,All maize,5,N-rate response and adjustment,N60-P60-K40,60.0,60.0,40.0,,True,False,True,True,6657.333333333333,120.0,True,102.4984978970559,166.33333333333394,-60.0,True,60.0,5299.0,1524.666666666667,25.411111111111115,113.72777777777779
2017,Dang,Dhuruwa,Dang | Dhuruwa,7,N-180,Nrates,3,3,3,3,6746.666666666667,1118.5062956163158,5701.0,7926.0,6.733333333333333,180.0,60.0,40.0,,37.66666666666666,,27777.666666666668,,,,nsaf_maize_trials_2017,n-180,2017 core trial,All maize,5,N-rate response and adjustment,N180-P60-K40,180.0,60.0,40.0,,True,False,True,True,6657.333333333333,120.0,True,101.34187863008214,89.33333333333394,60.0,False,,5299.0,1447.666666666667,8.042592592592595,37.48148148148148
2017,Dang,Dhuruwa,Dang | Dhuruwa,8,N-210,Nrates,3,3,3,3,7045.333333333333,1255.831331562218,5854.0,8357.0,7.066666666666667,210.0,60.0,40.0,,33.666666666666664,,28222.33333333333,,,,nsaf_maize_trials_2017,n-210,2017 core trial,All maize,5,N-rate response and adjustment,N210-P60-K40,210.0,60.0,40.0,,True,False,True,True,6657.333333333333,120.0,True,105.82815942319246,388.0,90.0,False,,5299.0,1746.333333333333,8.315873015873015,33.54920634920635
2017,Dang,Dhuruwa,Dang | Dhuruwa,10,K and S,Ntiming,3,3,3,3,6077.666666666667,714.1570788932455,5518.0,6882.0,6.066666666666666,120.0,60.0,40.0,,50.66666666666666,,28555.666666666668,,,,nsaf_maize_trials_2017,k and s,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + K/S,120.0,60.0,40.0,,False,False,True,True,6657.333333333333,120.0,True,91.29280993390749,-579.6666666666661,0.0,False,,5299.0,778.666666666667,6.488888888888892,50.647222222222226
2017,Dang,Dhuruwa,Dang | Dhuruwa,9,NPK+micros,NPK+micros,3,3,3,3,6418.0,316.7917296900284,6119.0,6750.0,6.433333333333334,120.0,60.0,40.0,,53.333333333333336,,24000.0,,,,nsaf_maize_trials_2017,npk+micros,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + micronutrients,120.0,60.0,40.0,,False,False,True,True,6657.333333333333,120.0,True,96.40496695373524,-239.33333333333303,0.0,False,,5299.0,1119.0,9.325,53.483333333333334
2017,Dang,Hapur,Dang | Hapur,1,CK,control,2,2,2,2,3718.0,322.44069222106566,3490.0,3946.0,3.7,0.0,0.0,0.0,,0.0,,21667.0,,,,nsaf_maize_trials_2017,ck,2017 core trial,All maize,1,No-input reference,N0-P0-K0,0.0,0.0,0.0,,False,False,False,False,7881.5,120.0,True,47.17376133984648,-4163.5,-120.0,False,,4099.0,,,
2017,Dang,Hapur,Dang | Hapur,2,N0,omission,2,2,2,2,4099.0,861.2560594852149,3490.0,4708.0,4.1,0.0,60.0,40.0,,0.0,,25834.0,,,,nsaf_maize_trials_2017,n0,2017 core trial,All maize,2,N-zero agronomic reference,N0-P60-K40,0.0,60.0,40.0,,True,False,False,False,7881.5,120.0,True,52.00786652287001,-3782.5,-120.0,False,,4099.0,,,
2017,Dang,Hapur,Dang | Hapur,6,N-120,Nrates,2,2,2,2,7881.5,43.1335136523794,7851.0,7912.0,6.4,120.0,60.0,40.0,,65.5,,27500.0,,,,nsaf_maize_trials_2017,n-120,2017 core trial,All maize,4,Government-recommended NPK reference,N120-P60-K40,120.0,60.0,40.0,,True,True,True,True,7881.5,120.0,True,100.0,0.0,0.0,False,,4099.0,3782.5,31.520833333333332,65.67916666666666
2017,Dang,Hapur,Dang | Hapur,5,N-60,Nrates,2,2,2,2,4991.0,636.3961030678928,4541.0,5441.0,4.95,60.0,60.0,40.0,,83.5,,27500.5,,,,nsaf_maize_trials_2017,n-60,2017 core trial,All maize,5,N-rate response and adjustment,N60-P60-K40,60.0,60.0,40.0,,True,False,True,True,7881.5,120.0,True,63.32550910359703,-2890.5,-60.0,True,0.0,4099.0,892.0,14.866666666666667,83.18333333333334
2017,Dang,Hapur,Dang | Hapur,7,N-180,Nrates,2,2,2,2,4880.5,1294.7125163525686,3965.0,5796.0,4.9,180.0,60.0,40.0,,27.0,,25667.0,,,,nsaf_maize_trials_2017,n-180,2017 core trial,All maize,5,N-rate response and adjustment,N180-P60-K40,180.0,60.0,40.0,,True,False,True,True,7881.5,120.0,True,61.92349172111908,-3001.0,60.0,False,,4099.0,781.5,4.341666666666667,27.113888888888887
2017,Dang,Hapur,Dang | Hapur,8,N-210,Nrates,2,2,2,2,5643.0,681.6509370638319,5161.0,6125.0,5.65,210.0,60.0,40.0,,27.0,,29167.0,,,,nsaf_maize_trials_2017,n-210,2017 core trial,All maize,5,N-rate response and adjustment,N210-P60-K40,210.0,60.0,40.0,,True,False,True,True,7881.5,120.0,True,71.5980460572226,-2238.5,90.0,False,,4099.0,1544.0,7.352380952380952,26.87142857142857
2017,Dang,Hapur,Dang | Hapur,10,K and S,Ntiming,2,2,2,2,4220.5,886.004796826744,3594.0,4847.0,4.2,120.0,60.0,40.0,,35.0,,22333.5,,,,nsaf_maize_trials_2017,k and s,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + K/S,120.0,60.0,40.0,,False,False,True,True,7881.5,120.0,True,53.54945124659012,-3661.0,0.0,False,,4099.0,121.5,1.0125,35.170833333333334
2017,Dang,Hapur,Dang | Hapur,9,NPK+micros,NPK+micros,2,2,2,2,4068.5,702.1570337182417,3572.0,4565.0,4.1,120.0,60.0,40.0,,34.0,,24166.5,,,,nsaf_maize_trials_2017,npk+micros,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + micronutrients,120.0,60.0,40.0,,False,False,True,True,7881.5,120.0,True,51.62088434942587,-3813.0,0.0,False,,4099.0,-30.5,-0.25416666666666665,33.90416666666667
2017,Dang,Laxmipur,Dang | Laxmipur,1,CK,control,3,3,3,3,5128.333333333333,592.543950549943,4450.0,5545.0,5.133333333333334,0.0,0.0,0.0,,0.0,,20428.0,,,,nsaf_maize_trials_2017,ck,2017 core trial,All maize,1,No-input reference,N0-P0-K0,0.0,0.0,0.0,,False,False,False,False,7269.333333333333,120.0,True,70.54750550256786,-2141.0,-120.0,False,,5839.0,,,
2017,Dang,Laxmipur,Dang | Laxmipur,2,N0,omission,3,3,3,3,5839.0,1746.6264626416262,3931.0,7359.0,5.833333333333333,0.0,60.0,40.0,,0.0,,20855.666666666668,,,,nsaf_maize_trials_2017,n0,2017 core trial,All maize,2,N-zero agronomic reference,N0-P60-K40,0.0,60.0,40.0,,True,False,False,False,7269.333333333333,120.0,True,80.32373440939105,-1430.333333333333,-120.0,False,,5839.0,,,
2017,Dang,Laxmipur,Dang | Laxmipur,6,N-120,Nrates,3,3,3,3,7269.333333333333,365.92941031479455,7035.0,7691.0,7.266666666666667,120.0,60.0,40.0,,60.66666666666666,,22022.33333333333,,,,nsaf_maize_trials_2017,n-120,2017 core trial,All maize,4,Government-recommended NPK reference,N120-P60-K40,120.0,60.0,40.0,,True,True,True,True,7269.333333333333,120.0,True,100.0,0.0,0.0,False,,5839.0,1430.333333333333,11.919444444444443,60.577777777777776
2017,Dang,Laxmipur,Dang | Laxmipur,5,N-60,Nrates,3,3,3,3,6507.333333333333,708.3652541827087,5758.0,7166.0,6.533333333333334,60.0,60.0,40.0,,108.33333333333331,,20808.666666666668,,,,nsaf_maize_trials_2017,n-60,2017 core trial,All maize,5,N-rate response and adjustment,N60-P60-K40,60.0,60.0,40.0,,True,False,True,True,7269.333333333333,120.0,True,89.517608217168,-762.0,-60.0,True,0.0,5839.0,668.333333333333,11.138888888888884,108.45555555555555
2017,Dang,Laxmipur,Dang | Laxmipur,7,N-180,Nrates,3,3,3,3,6430.333333333333,794.6378630126641,5513.0,6907.0,6.433333333333334,180.0,60.0,40.0,,35.666666666666664,,24494.33333333333,,,,nsaf_maize_trials_2017,n-180,2017 core trial,All maize,5,N-rate response and adjustment,N180-P60-K40,180.0,60.0,40.0,,True,False,True,True,7269.333333333333,120.0,True,88.4583639031548,-839.0,60.0,False,,5839.0,591.333333333333,3.2851851851851834,35.724074074074075
2017,Dang,Laxmipur,Dang | Laxmipur,8,N-210,Nrates,3,3,3,3,8038.333333333333,375.3456185082401,7800.0,8471.0,8.033333333333333,210.0,60.0,40.0,,38.0,,22450.0,,,,nsaf_maize_trials_2017,n-210,2017 core trial,All maize,5,N-rate response and adjustment,N210-P60-K40,210.0,60.0,40.0,,True,False,True,True,7269.333333333333,120.0,True,110.57868672046955,769.0,90.0,False,,5839.0,2199.333333333333,10.473015873015871,38.27777777777778
