study,year,variety,site,n_rate_levels_tested,min_tested_N_kg_ha,max_tested_N_kg_ha,observed_max_yield_kg_ha,retention_threshold,target_yield_threshold_kg_ha,target_N_kg_ha,yield_at_target_N_kg_ha,target_retention_of_observed_max,target_shift_vs_govt_kg_N_ha,potential_N_saving_vs_govt_kg_ha,potential_N_increase_vs_govt_kg_ha,target_direction_vs_govt
"2018 N source, timing and FYM trial",2018,All maize,Kavre | Anekot,2,0.0,120.0,6632.333333333333,0.95,6300.716666666666,120.0,6632.333333333333,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Kavre | Bhakundebesi,2,0.0,120.0,8127.666666666667,0.95,7721.283333333333,0.0,7976.333333333333,0.9813804699995898,-120.0,120.0,0.0,down
"2018 N source, timing and FYM trial",2018,All maize,Kavre | Rabiopi,2,0.0,120.0,9316.666666666666,0.95,8850.833333333332,0.0,8972.333333333334,0.9630411449016102,-120.0,120.0,0.0,down
"2018 N source, timing and FYM trial",2018,All maize,Palpa | Chidipani,2,0.0,120.0,7165.0,0.95,6806.75,120.0,7165.0,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Palpa | Devinagar,2,0.0,120.0,7031.0,0.95,6679.45,120.0,7031.0,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Palpa | Khasyauli,2,0.0,120.0,7048.333333333333,0.95,6695.916666666666,120.0,7048.333333333333,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Palpa | Madanpokhara,2,0.0,120.0,5571.666666666667,0.95,5293.083333333333,120.0,5571.666666666667,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Babiyachaur,2,0.0,120.0,9286.666666666666,0.95,8822.333333333332,120.0,9286.666666666666,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Gadhi,2,0.0,120.0,8749.666666666666,0.95,8312.183333333332,120.0,8749.666666666666,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Guthu,2,0.0,120.0,7738.0,0.95,7351.099999999999,120.0,7738.0,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Kalyan,2,0.0,120.0,8696.333333333334,0.95,8261.516666666666,120.0,8696.333333333334,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Kunathari,2,0.0,120.0,8451.666666666666,0.95,8029.083333333332,120.0,8451.666666666666,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Lekhpharsa,2,0.0,120.0,8310.0,0.95,7894.5,0.0,8210.333333333334,0.988006417970317,-120.0,120.0,0.0,down
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Maintada-1,2,0.0,120.0,8724.0,0.95,8287.8,120.0,8724.0,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Maintada-2,2,0.0,120.0,8578.333333333334,0.95,8149.416666666667,120.0,8578.333333333334,1.0,0.0,0.0,0.0,hold
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Ramghat,2,0.0,120.0,8672.0,0.95,8238.4,120.0,8672.0,1.0,0.0,0.0,0.0,hold
2019 T1-T10 core trial,2019,All maize,Dang | Dhikpur,5,0.0,210.0,8577.5,0.95,8148.625,60.0,8419.0,0.9815214223258525,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Dang | Laxmipur,5,0.0,210.0,11756.5,0.95,11168.675,120.0,11756.5,1.0,0.0,0.0,0.0,hold
2019 T1-T10 core trial,2019,All maize,Dang | Panchakule,5,0.0,210.0,9692.5,0.95,9207.875,60.0,9510.0,0.9811710085117359,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Dang | Shantinagar,5,0.0,210.0,8697.0,0.95,8262.15,60.0,8697.0,1.0,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Dang | Shreegau,5,0.0,210.0,9097.0,0.95,8642.15,180.0,9097.0,1.0,60.0,0.0,60.0,up
2019 T1-T10 core trial,2019,All maize,Doti | Chhatiwan,5,0.0,210.0,10104.665,0.95,9599.43175,120.0,10104.665,1.0,0.0,0.0,0.0,hold
2019 T1-T10 core trial,2019,All maize,Doti | Dipayal,5,0.0,210.0,9994.016666666668,0.95,9494.315833333334,60.0,9994.016666666668,1.0,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Doti | Ghanteshwor,5,0.0,210.0,10251.4,0.95,9738.83,60.0,9887.6,0.964512164192208,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Kavre | Bhakundebesi,5,0.0,210.0,9536.0765,0.95,9059.272674999998,180.0,9536.0765,1.0,60.0,0.0,60.0,up
2019 T1-T10 core trial,2019,All maize,Kavre | Rabiopi,5,0.0,210.0,8474.9015,0.95,8051.156424999999,180.0,8474.9015,1.0,60.0,0.0,60.0,up
2019 T1-T10 core trial,2019,All maize,Makwanpur | ,5,0.0,210.0,7398.56,0.95,7028.632,180.0,7398.56,1.0,60.0,0.0,60.0,up
2019 T1-T10 core trial,2019,All maize,Nuwakot | ,5,0.0,210.0,7502.2095,0.95,7127.0990249999995,60.0,7422.093,0.9893209460492939,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Palpa | Chidi pani,5,0.0,210.0,9069.6969695,0.95,8616.212121025,60.0,9069.6969695,1.0,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Palpa | Devinagar,5,0.0,210.0,9268.5132575,0.95,8805.087594625,180.0,9210.090909,0.9936966860944256,60.0,0.0,60.0,up
2019 T1-T10 core trial,2019,All maize,Palpa | Khasyauli,5,0.0,210.0,7614.0,0.95,7233.299999999999,120.0,7301.515152,0.9589591741528762,0.0,0.0,0.0,hold
2019 T1-T10 core trial,2019,All maize,Salyan | ,5,0.0,210.0,11214.5,0.95,10653.775,0.0,11171.0,0.996121093227518,-120.0,120.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Surkhet | Babiyachaur,5,0.0,210.0,13038.888,0.95,12386.9436,60.0,12619.975,0.9678720301915317,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Surkhet | Kalyan,5,0.0,210.0,9617.0,0.95,9136.15,60.0,9371.0,0.9744202973900384,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Surkhet | Kunathari,5,0.0,210.0,8776.0,0.95,8337.199999999999,60.0,8776.0,1.0,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Surkhet | Lekhpharsa,5,0.0,210.0,11512.0,0.95,10936.4,120.0,11512.0,1.0,0.0,0.0,0.0,hold
2019 T1-T10 core trial,2019,All maize,Surkhet | Maintada-2,5,0.0,210.0,8005.0,0.95,7604.75,60.0,8005.0,1.0,-60.0,60.0,0.0,down
2019 T1-T10 core trial,2019,All maize,Surkhet | Ramghat,5,0.0,210.0,11350.4,0.95,10782.88,60.0,11209.8,0.9876127713560755,-60.0,60.0,0.0,down
