year,district,nutrient,n_sites,mean_ae,median_ae,sd_ae,min_ae,max_ae
2017,Dang,K,9,27.333796296296292,14.933333333333355,36.8107820319538,-11.041666666666705,91.225
2017,Dang,N,9,15.27824074074074,11.319444444444446,11.836605307781085,3.299999999999992,32.71944444444444
2017,Dang,P,9,14.17839506172839,6.072222222222197,24.5518540124969,-7.099999999999988,72.03333333333333
2017,Surkhet,K,10,-8.707375,-9.47250000000004,16.51198272108951,-40.670833333333306,14.97250000000001
2017,Surkhet,N,10,21.980472222222218,19.180972222222216,10.250360157152407,8.805277777777762,38.24055555555557
2017,Surkhet,P,10,-0.033722222222228024,1.879444444444426,12.464578473248704,-26.281111111111123,19.111388888888868
2019,Dang,K,5,-0.6099999999999994,2.4249999999999883,22.488794779289524,-31.849999999999977,30.675000000000004
2019,Dang,N,5,15.220833333333331,12.604166666666668,8.050073865258074,8.650000000000002,27.80833333333333
2019,Dang,P,5,4.033333333333339,1.6583333333333468,9.146802340466069,-4.675,15.233333333333343
2019,Doti,K,3,-12.988708333333335,-19.382250000000003,41.75679284603234,-51.18,31.596124999999994
2019,Doti,N,3,7.732546296296301,7.085000000000008,7.88448259956933,0.19180555555555756,15.92083333333334
2019,Doti,P,3,3.6684814814814892,2.8898333333333546,7.744939547447834,-3.657722222222226,11.773333333333339
2019,Kavre,K,2,46.61047500000002,46.61047500000002,22.106685886634228,30.978687500000014,62.242262500000024
2019,Kavre,N,2,34.349122916666666,34.349122916666666,1.105364051742085,33.5675125,35.13073333333333
2019,Kavre,P,2,28.12936666666667,28.12936666666667,11.923741304227415,19.698008333333338,36.560725000000005
2019,Makwanpur,K,1,9.640999999999988,9.640999999999988,,9.640999999999988,9.640999999999988
2019,Makwanpur,N,1,17.734666666666662,17.734666666666662,,17.734666666666662,17.734666666666662
2019,Makwanpur,P,1,10.712333333333332,10.712333333333332,,10.712333333333332,10.712333333333332
2019,Nuwakot,K,2,-10.764050000000013,-10.764050000000013,9.816586666517535,-17.70542500000001,-3.8226750000000194
2019,Nuwakot,N,2,19.256783333333335,19.256783333333335,46.28946085305817,-13.474808333333328,51.988375
2019,Nuwakot,P,2,-16.65245,-16.65245,49.49931316068939,-51.65374999999999,18.348849999999985
2019,Palpa,K,3,21.311316554166673,9.615388262500035,66.73275239759151,-38.800284100000006,93.11884549999999
2019,Palpa,N,3,16.594260333333338,19.053030370833337,10.452856967299462,5.131202650000007,25.598547979166668
2019,Palpa,P,3,-10.191256319444442,-6.152398991666648,18.620931612734754,-30.500157850000004,6.078787883333329
2019,Salyan,K,2,22.662499999999987,22.662499999999987,8.396893026590277,16.72499999999997,28.600000000000005
2019,Salyan,N,2,2.8083333333333385,2.8083333333333385,13.823937572197016,-6.9666666666666694,12.583333333333346
2019,Salyan,P,2,8.200000000000001,8.200000000000001,22.580276545890445,-7.766666666666684,24.166666666666686
2019,Surkhet,K,6,21.112114583333334,18.02499999999998,27.909747756451974,-14.137312499999988,70.9625
2019,Surkhet,N,6,20.46822569444444,19.30134374999999,9.18827077190535,11.400000000000002,35.295833333333334
2019,Surkhet,P,6,6.327645833333338,0.4375000000000018,21.377416610041326,-18.033333333333314,37.690000000000005
