year,district,site,government_recommendation,k_omission,n_omission,p_omission,AE_N_kg_kg,AE_P_kg_kg,AE_K_kg_kg,latitude,longitude
2017,Dang,Dhikpur,8.320666666666666,4.954999999999999,4.394333333333333,6.375666666666667,32.71944444444444,32.41666666666666,84.14166666666668,28.0483679175,82.39327610999999
2017,Dang,Dhuruwa,6.657333333333334,6.357666666666667,5.299,6.045999999999999,11.319444444444446,10.188888888888906,7.491666666666674,28.027315415833336,82.32576236166668
2017,Dang,Hapur,7.8815,4.2325,4.099,3.5595,31.52083333333333,72.03333333333333,91.225,28.09249312375,82.42742500125
2017,Dang,Laxmipur,7.269333333333333,5.822333333333333,5.8389999999999995,7.274,11.919444444444446,-0.07777777777778401,36.175,27.979796944166665,82.49197138916666
2017,Dang,Panchakule,8.504,7.743,8.108,7.7405,3.299999999999992,12.724999999999994,19.02499999999998,28.13376812625,82.11330854124999
2017,Dang,Pawannagar,6.501333333333332,6.9430000000000005,5.611999999999999,6.1370000000000005,7.411111111111109,6.072222222222197,-11.041666666666705,28.163730973333333,82.25666916750001
2017,Dang,Purandhara,7.3870000000000005,6.789666666666666,6.9205000000000005,7.813,3.887499999999999,-7.099999999999988,14.933333333333355,28.1927759725,82.09891145916666
2017,Dang,Shantinagar,9.0765,8.738,5.816000000000001,9.297666666666666,27.170833333333324,-3.6861111111111162,8.462499999999995,28.164637152916665,82.22990194625
2017,Dang,Shreegau,6.155333333333334,6.331666666666667,5.164666666666666,5.853333333333334,8.255555555555564,5.033333333333327,-4.408333333333325,28.106395833333334,82.179099305
2017,Surkhet,Babiyachaur,11.13665,11.777733333333332,8.68665,9.989966666666668,20.41666666666666,19.111388888888868,-16.027083333333316,28.816828995833333,81.404932475
2017,Surkhet,Gadhi,11.00835,11.44335,7.11665,10.825,32.43083333333333,3.0558333333333465,-10.875000000000012,28.64615311125,81.60290644874999
2017,Surkhet,Ghumkhare,10.114433333333332,10.49,5.92,10.535566666666668,34.9536111111111,-7.018888888888923,-9.389166666666693,28.4393547375,81.8974516125
2017,Surkhet,Guthu,11.455566666666668,11.177766666666665,6.8667,11.611133333333333,38.24055555555557,-2.592777777777755,6.945000000000067,28.8449112875,81.30363299583334
2017,Surkhet,Kalyan,9.803333333333333,9.5,7.6499,9.67,17.945277777777775,2.2222222222222143,7.58333333333332,28.502904325,81.73768110833333
2017,Surkhet,Lekhpharsa,9.904433333333332,10.286666666666667,7.815533333333334,9.0489,17.40749999999998,14.258888888888865,-9.555833333333386,28.4738702,81.8085772
2017,Surkhet,Maintada-3,7.838866666666665,8.0189,6.782233333333334,7.746666666666667,8.805277777777762,1.536666666666638,-4.500833333333376,28.44480284666667,81.805294885
2017,Surkhet,Maintada-4,8.033333333333333,9.055566666666666,6.811133333333334,8.488866666666667,10.184999999999993,-7.592222222222222,-25.55583333333331,28.419808243333332,81.79541946166668
2017,Surkhet,Neta,12.798900000000001,12.200000000000001,9.89,12.621133333333333,24.24083333333334,2.9627777777778106,14.97250000000001,28.54635372916667,81.79221187499999
2017,Surkhet,Ramghat,12.3421,11.423333333333332,7.975,11.373366666666668,36.392500000000005,16.145555555555546,22.969166666666705,28.489694270833333,81.74282655416667
2018,Dang,Dhikpur,8.309213178294572,,8.245170542635659,8.217182170542635,0.5336886304909397,1.53385012919894,,28.033869265555552,82.37337952444445
2018,Dang,Dhuruwa,6.752627906976744,,3.566046511627907,6.467366279069768,26.554844961240306,4.7543604651162585,,28.021478815000005,82.32471142499999
2018,Dang,Hapur,5.666720930232557,,5.334282945736434,5.412139534883721,2.7703165374676946,4.243023255813938,,28.09048686777778,82.42109798888889
2018,Dang,Laxmipur,7.132759689922481,,6.363593023255814,7.551755813953489,6.409722222222225,-6.983268733850127,,27.977802767777778,82.46364361666667
2018,Dang,Panchakaule,8.273944767441861,,7.585732558139535,7.283959302325582,5.735101744186055,16.49975775193799,,28.116172026666664,82.16631316583333
2018,Dang,Pawannagar,5.785248062015505,,4.261496124031008,7.650344961240311,12.697932816537476,-31.084948320413435,,28.17047044888889,82.2602828211111
2018,Dang,Purandhara,7.4239961240310075,,8.07782945736434,7.9248643410852715,-5.448611111111101,-8.347803617571067,,28.187588743333333,82.09805419666667
2018,Dang,Shantinagar,7.427116279069768,,6.575282945736434,7.242244186046512,7.098611111111119,3.0812015503876022,,28.16557290888889,82.22550231000001
2018,Doti,Chattiwan,6.628709302325581,,5.561558139534884,7.152023255813954,8.892926356589145,-8.72189922480621,,29.082115856666665,80.59342918666667
2018,Doti,Ghantesori,8.323627906976744,,7.97891472868217,7.4581395348837205,2.872609819121452,14.4248062015504,,29.144234627777777,80.60342521111112
2018,Kavre,Anekot,6.6202093023255815,,5.003658914728682,6.153903100775193,13.471253229974163,7.771770025839804,,27.660606083333334,85.58986628777778
2018,Kavre,Bhakundebesi,8.142248062015504,,7.969186046511628,8.383333333333335,1.442183462532302,-4.018087855297173,,27.55801567111111,85.66626434333334
2018,Kavre,Rabiopi,9.312015503875969,,8.982558139534882,9.09108527131783,2.745478036175723,3.682170542635651,,27.64759227,85.56453987333335
2018,Surkhet,Babiyachaur,9.468372093023257,,8.997201550387596,8.844705426356589,3.9264211886305134,10.394444444444476,,28.80487156888889,81.39951600666667
2018,Surkhet,Gadhi,8.934263565891474,,7.23532558139535,8.182209302325582,14.157816537467697,12.534237726098201,,28.639590286666664,81.59303542222223
2018,Surkhet,Guthu,7.927639534883721,,7.3305,8.907709302325582,4.97616279069768,-16.33449612403101,,28.833535673333333,81.30621076666667
