year,district,n_paired_sites,mean_pk_yield_response_t_ha,median_pk_yield_response_t_ha,sd_pk_yield_response_t_ha,min_pk_yield_response_t_ha,max_pk_yield_response_t_ha
2017,Dang,9,0.3448148148148149,0.3810000000000002,1.4051689707717552,-2.113666666666666,2.907000000000001
2017,Surkhet,10,1.5260566666666666,1.1886083333333333,1.8013138597276472,-1.8399999999999999,4.41
2018,Dang,8,1.0464479166666665,1.2899999999999991,0.7171492131513573,0.029333333333333655,1.7150000000000007
2018,Doti,2,0.8499999999999996,0.8499999999999996,1.3878149092087977,-0.13133333333333397,1.8313333333333333
2018,Kavre,3,1.4531111111111112,1.3663333333333343,0.8431890741789856,0.6566666666666663,2.336333333333333
2018,Palpa,4,0.8305833333333332,0.8056666666666663,0.23678922882785208,0.5750000000000002,1.1360000000000001
2018,Surkhet,10,1.2590666666666668,1.4733333333333336,0.8120829497557195,-0.03250000000000064,2.391
2019,Dang,5,1.9486,1.6800000000000006,0.46720009096745635,1.5200000000000005,2.5435
2019,Doti,3,1.3164538888888886,1.3248249999999997,0.10691440483881043,1.2055999999999996,1.4189366666666663
2019,Kavre,2,1.0118202500000006,1.0118202500000006,0.8049480858391589,0.44263600000000025,1.581004500000001
2019,Makwanpur,1,1.82822,1.82822,,1.82822,1.82822
2019,Nuwakot,2,1.2812594999999996,1.2812594999999996,1.5957314086375871,0.15290700000000013,2.409611999999999
2019,Palpa,3,-0.7571597246666674,-0.8540303105000007,2.7424680980655567,-3.449909091000001,2.0324602274999997
2019,Salyan,1,2.2399999999999993,2.2399999999999993,,2.2399999999999993,2.2399999999999993
2019,Surkhet,5,1.2238000000000004,0.8879999999999999,0.869620075090266,0.5695000000000006,2.692
