year,study,district,site,N0-P0-K0,N0-P60-K40,latitude,longitude,control_yield_t_ha,n_omission_yield_t_ha,pk_yield_response_t_ha,pk_yield_response_pct_control
2017,2017 core trial,Dang,Dhikpur,5.216,4.394333333333333,28.04832722333333,82.39328889,5.216,4.394333333333333,-0.8216666666666672,-15.752811860940703
2017,2017 core trial,Dang,Dhuruwa,7.4126666666666665,5.299,28.027291388333335,82.32576638833334,7.4126666666666665,5.299,-2.113666666666666,-28.514254879035878
2017,2017 core trial,Dang,Hapur,3.718,4.099,28.092535417500002,82.4274558325,3.718,4.099,0.3810000000000002,10.247444862829484
2017,2017 core trial,Dang,Laxmipur,5.128333333333333,5.8389999999999995,27.97980139,82.49198389,5.128333333333333,5.8389999999999995,0.7106666666666666,13.857653558661033
2017,2017 core trial,Dang,Panchakule,6.879,8.108,28.1334054175,82.109412085,6.879,8.108,1.229000000000001,17.86596889082717
2017,2017 core trial,Dang,Pawannagar,5.758,5.611999999999999,28.163747223333335,82.256674445,5.758,5.611999999999999,-0.1460000000000008,-2.535602639805502
2017,2017 core trial,Dang,Purandhara,7.0045,6.9205000000000005,28.192190834999998,82.0976670825,7.0045,6.9205000000000005,-0.08399999999999963,-1.1992290670283337
2017,2017 core trial,Dang,Shantinagar,2.909,5.816000000000001,28.1638441675,82.229699585,2.909,5.816000000000001,2.907000000000001,99.9312478514954
2017,2017 core trial,Dang,Shreegau,4.123666666666667,5.164666666666666,28.106386665000002,82.17907777666667,4.123666666666667,5.164666666666666,1.0409999999999995,25.244523482337712
2017,2017 core trial,Surkhet,Babiyachaur,7.4583,8.68665,28.815003675,81.40369145,7.4583,8.68665,1.2283499999999998,16.469570813724303
2017,2017 core trial,Surkhet,Gadhi,4.58,7.11665,28.64616023,81.6029042575,4.58,7.11665,2.53665,55.385371179039296
2017,2017 core trial,Surkhet,Ghumkhare,7.76,5.92,28.439776875,81.897423375,7.76,5.92,-1.8399999999999999,-23.711340206185568
2017,2017 core trial,Surkhet,Guthu,6.74995,6.8667,28.847964400000002,81.30248935,6.74995,6.8667,0.11674999999999969,1.7296424417958605
2017,2017 core trial,Surkhet,Kalyan,6.695533333333334,7.6499,28.502921833333332,81.73765958333334,6.695533333333334,7.6499,0.9543666666666661,14.253781127716977
