year,study,district,site,N_rate_kg_ha,mean_yield_t_ha,sd_yield_t_ha,n_observations
2017,2017 core trial,Surkhet,Kalyan,120,9.803333333333333,0.9259056233403773,3
2017,2017 core trial,Surkhet,Kalyan,180,10.281133333333335,1.436300443268514,3
2017,2017 core trial,Surkhet,Kalyan,210,9.863333333333335,1.0027458418429533,3
2017,2017 core trial,Surkhet,Lekhpharsa,0,7.815533333333334,2.094782557530335,3
2017,2017 core trial,Surkhet,Lekhpharsa,60,9.4411,2.2770043104921873,3
2017,2017 core trial,Surkhet,Lekhpharsa,120,9.904433333333332,1.440371467133855,3
2017,2017 core trial,Surkhet,Lekhpharsa,180,11.156666666666666,0.7866709752706861,3
2017,2017 core trial,Surkhet,Lekhpharsa,210,10.474433333333332,1.9789471577920763,3
2017,2017 core trial,Surkhet,Maintada-3,0,6.782233333333334,2.3335880020546336,3
2017,2017 core trial,Surkhet,Maintada-3,60,7.437766666666666,3.672085914481486,3
2017,2017 core trial,Surkhet,Maintada-3,120,7.838866666666665,2.983191405748771,3
2017,2017 core trial,Surkhet,Maintada-3,180,8.094433333333333,2.024387305663946,3
2017,2017 core trial,Surkhet,Maintada-3,210,7.997766666666667,2.363024302315432,3
2017,2017 core trial,Surkhet,Maintada-4,0,6.811133333333334,1.3672208904684482,3
2017,2017 core trial,Surkhet,Maintada-4,60,7.933349999999999,0.3771000464067859,2
2017,2017 core trial,Surkhet,Maintada-4,120,8.033333333333333,0.44847767317151177,3
2017,2017 core trial,Surkhet,Maintada-4,180,9.155566666666667,1.2097982696852114,3
2017,2017 core trial,Surkhet,Maintada-4,210,10.044433333333332,0.8064811549771851,3
2017,2017 core trial,Surkhet,Neta,0,9.89,0.1697056274847722,2
2017,2017 core trial,Surkhet,Neta,60,11.05335,0.5421387691357261,2
2017,2017 core trial,Surkhet,Neta,120,12.798900000000001,0.6399082981177846,3
2017,2017 core trial,Surkhet,Neta,180,13.158900000000001,0.13369603584250414,3
2017,2017 core trial,Surkhet,Neta,210,10.812199999999999,1.8749868346204461,3
2017,2017 core trial,Surkhet,Ramghat,0,7.975,2.331048214859572,2
2017,2017 core trial,Surkhet,Ramghat,60,9.965,1.9445436482630056,2
2017,2017 core trial,Surkhet,Ramghat,120,9.7965,1.9890913754777573,2
2017,2017 core trial,Surkhet,Ramghat,180,9.865,1.1431088224661716,2
2017,2017 core trial,Surkhet,Ramghat,210,9.745000000000001,1.180868324581535,2
2018,"2018 N source, timing and FYM trial",Dang,Dhikpur,0,7.778666666666666,0.2942810448080769,3
2018,"2018 N source, timing and FYM trial",Dang,Dhuruwa,0,9.516,3.6133156518632576,2
2018,"2018 N source, timing and FYM trial",Dang,Hapur,0,5.213,0.8045228399492459,3
2018,"2018 N source, timing and FYM trial",Dang,Laxmipur,0,6.291,0.3098451226015988,3
2018,"2018 N source, timing and FYM trial",Dang,Panchakaule,0,7.408499999999999,1.2422518531548528,4
2018,"2018 N source, timing and FYM trial",Dang,Pawannagar,0,5.853000000000001,1.8564191337087643,3
2018,"2018 N source, timing and FYM trial",Dang,Purandhara,0,7.886333333333333,1.1132463039836842,3
2018,"2018 N source, timing and FYM trial",Dang,Shantinagar,0,6.428999999999999,0.7950867877156553,3
2018,"2018 N source, timing and FYM trial",Doti,Chattiwan,0,5.561333333333333,0.6097592421057131,3
