year,study,district,site,n_rates,min_tested_N_kg_ha,max_tested_N_kg_ha,observed_best_N_kg_ha,observed_best_yield_t_ha,optimum_N_kg_ha,predicted_optimum_yield_t_ha,method,quadratic_a,quadratic_b,quadratic_c,r_squared,latitude,longitude
2017,2017 core trial,Dang,Dhikpur,5,0.0,210.0,120.0,8.320666666666666,141.54171627618632,8.130591936056039,quadratic vertex,-0.0001940187094310812,0.054923482245131855,4.243609965635734,0.9696597907119165,28.048392890000002,82.39328055666665
2017,2017 core trial,Dang,Dhuruwa,5,0.0,210.0,210.0,7.045333333333333,159.30120661294174,6.993148351105317,quadratic vertex,-6.017299615237794e-05,0.019171261785179413,5.466145783769487,0.8143779410747317,28.027335888,82.325751444
2017,2017 core trial,Dang,Hapur,5,0.0,210.0,120.0,7.8815,122.26302834566663,6.589881319663674,quadratic vertex,-0.0001826575028636885,0.04466451890034366,3.8594716494845343,0.5247504241216804,28.092523832999994,82.427479667
2017,2017 core trial,Dang,Laxmipur,5,0.0,210.0,210.0,8.038333333333334,210.0,8.038333333333334,highest observed rate treatment,-5.04082591711463e-06,0.008612186095691277,5.9303490615913255,0.5803447371377022,27.979827778000004,82.49198722266667
2017,2017 core trial,Dang,Panchakule,5,0.0,210.0,120.0,8.504,73.36057204808273,8.684724263120694,quadratic vertex,-0.00014131630540135666,0.020734090007930174,7.924191911181598,0.8913590452763671,28.133803833,82.11334766600001
2017,2017 core trial,Dang,Pawannagar,5,0.0,210.0,180.0,8.023333333333333,180.0,8.023333333333333,highest observed rate treatment,-2.000036713954227e-05,0.01337656842012511,5.602211472376417,0.769044211819536,28.16374388866667,82.25666822333332
2017,2017 core trial,Dang,Purandhara,5,0.0,210.0,180.0,7.628666666666667,182.41313891533494,7.5300862550122964,quadratic vertex,-1.8239455752342684e-05,0.006654232751784382,6.923176513349189,0.9347011978565731,28.192594222666663,82.09888261199998
2017,2017 core trial,Dang,Shantinagar,5,0.0,210.0,120.0,9.0765,136.22821784580515,9.378481120972602,quadratic vertex,-0.00018384868710899654,0.0500907579962993,5.966593774781916,0.9604951940208228,28.163940502000003,82.230195668
2017,2017 core trial,Dang,Shreegau,5,0.0,210.0,180.0,6.727999999999999,168.4691205755968,6.564061504064294,quadratic vertex,-4.649609363526902e-05,0.015666312009868753,5.244416600581544,0.8619601577277636,28.106401888000004,82.17908988866665
2017,2017 core trial,Surkhet,Babiyachaur,5,0.0,210.0,180.0,11.641066666666667,147.39494855511916,11.457910833403567,quadratic vertex,-0.00012729484242370847,0.037525233500749024,8.6923959027227,0.963155028021932,28.81722085,81.40521083333331
2017,2017 core trial,Surkhet,Gadhi,5,0.0,210.0,210.0,11.83335,173.41950303790776,11.724380996178375,quadratic vertex,-0.0001456722839016658,0.050524830161247786,7.343385527359234,0.9524656771244919,28.646180747,81.602922644
2017,2017 core trial,Surkhet,Ghumkhare,5,0.0,210.0,60.0,10.377766666666666,140.13113810267765,10.833732279890194,quadratic vertex,-0.00023002630187681755,0.06446769495109708,6.316766547713453,0.8622923550706192,28.439348470000006,81.89750617666667
2017,2017 core trial,Surkhet,Guthu,5,0.0,210.0,120.0,11.455566666666668,144.68193675768572,10.951010177629072,quadratic vertex,-0.00019831427879108375,0.05738498788439527,6.799724583663753,0.9067730290537479,28.84397600666667,81.30506965666667
2017,2017 core trial,Surkhet,Kalyan,5,0.0,210.0,180.0,10.281133333333335,157.63160313779767,10.183085185163886,quadratic vertex,-9.952954739037244e-05,0.03137800422944763,7.710002630187673,0.970637325907427,28.502944746666667,81.7376553
2017,2017 core trial,Surkhet,Lekhpharsa,5,0.0,210.0,180.0,11.156666666666666,200.6390877960209,10.720703297845377,quadratic vertex,-7.175586688988754e-05,0.028794063353599474,7.832095995241861,0.9344352879324224,28.473874213333335,81.80856128
2017,2017 core trial,Surkhet,Maintada-3,5,0.0,210.0,180.0,8.094433333333333,192.32157119764202,8.042245233752773,quadratic vertex,-3.422684083766565e-05,0.013165119614062951,6.776276989162033,0.9955748009319565,28.444803355333335,81.80529300933333
2017,2017 core trial,Surkhet,Maintada-4,5,0.0,210.0,210.0,10.044433333333332,210.0,10.044433333333332,highest observed rate treatment,3.074665535876829e-05,0.007427704974006626,6.9676931800158535,0.9494227029580191,28.41974461866667,81.795106067
2017,2017 core trial,Surkhet,Neta,5,0.0,210.0,180.0,13.158900000000001,129.77110486258834,12.682417750178175,quadratic vertex,-0.00018524267556612947,0.048078293351837234,9.562831126090398,0.7395134099414877,28.54547452666667,81.79174191
2017,2017 core trial,Surkhet,Ramghat,5,0.0,210.0,60.0,9.965,137.74482757188036,10.15514062378237,quadratic vertex,-0.00010603896819103,0.02921263877874707,8.1431956780333,0.8694134935678777,28.49000669,81.74254534
2018,"2018 N source, timing and FYM trial",Dang,Dhikpur,1,0.0,0.0,0.0,7.778666666666666,0.0,7.778666666666666,highest observed rate treatment,,,,,28.033864363333333,82.37336383
2018,"2018 N source, timing and FYM trial",Dang,Dhuruwa,1,0.0,0.0,0.0,9.516,0.0,9.516,highest observed rate treatment,,,,,28.021506985000002,82.32466608
2018,"2018 N source, timing and FYM trial",Dang,Hapur,1,0.0,0.0,0.0,5.213,0.0,5.213,highest observed rate treatment,,,,,28.09047423,82.42109042
2018,"2018 N source, timing and FYM trial",Dang,Laxmipur,1,0.0,0.0,0.0,6.291,0.0,6.291,highest observed rate treatment,,,,,27.97779453,82.46365391666667
2018,"2018 N source, timing and FYM trial",Dang,Panchakaule,1,0.0,0.0,0.0,7.408499999999999,0.0,7.408499999999999,highest observed rate treatment,,,,,28.1161827825,82.1663094425
2018,"2018 N source, timing and FYM trial",Dang,Pawannagar,1,0.0,0.0,0.0,5.853000000000001,0.0,5.853000000000001,highest observed rate treatment,,,,,28.170445753333336,82.26029008666666
2018,"2018 N source, timing and FYM trial",Dang,Purandhara,1,0.0,0.0,0.0,7.886333333333333,0.0,7.886333333333333,highest observed rate treatment,,,,,28.187572736666667,82.09805455
2018,"2018 N source, timing and FYM trial",Dang,Shantinagar,1,0.0,0.0,0.0,6.428999999999999,0.0,6.428999999999999,highest observed rate treatment,,,,,28.16554648,82.22549485
2018,"2018 N source, timing and FYM trial",Doti,Chattiwan,1,0.0,0.0,0.0,5.561333333333333,0.0,5.561333333333333,highest observed rate treatment,,,,,29.082117673333332,80.59344675666667
2018,"2018 N source, timing and FYM trial",Doti,Ghantesori,1,0.0,0.0,0.0,7.978666666666666,0.0,7.978666666666666,highest observed rate treatment,,,,,29.144255543333333,80.60342482333334
2018,"2018 N source, timing and FYM trial",Kavre,Anekot,1,0.0,0.0,0.0,4.996333333333333,0.0,4.996333333333333,highest observed rate treatment,,,,,27.660593003333332,85.58983393666666
2018,"2018 N source, timing and FYM trial",Kavre,Bhakundebesi,1,0.0,0.0,0.0,7.976333333333334,0.0,7.976333333333334,highest observed rate treatment,,,,,27.558041766666665,85.66619869333333
2018,"2018 N source, timing and FYM trial",Kavre,Rabiopi,1,0.0,0.0,0.0,8.972333333333333,0.0,8.972333333333333,highest observed rate treatment,,,,,27.647591393333332,85.56455434666667
2018,"2018 N source, timing and FYM trial",Palpa,Chidipani,1,0.0,0.0,0.0,5.2705,0.0,5.2705,highest observed rate treatment,,,,,,
2018,"2018 N source, timing and FYM trial",Palpa,Devinagar,1,0.0,0.0,0.0,5.6706666666666665,0.0,5.6706666666666665,highest observed rate treatment,,,,,,
2018,"2018 N source, timing and FYM trial",Palpa,Khasyauli,1,0.0,0.0,0.0,5.349666666666667,0.0,5.349666666666667,highest observed rate treatment,,,,,,
2018,"2018 N source, timing and FYM trial",Palpa,Madanpokhara,1,0.0,0.0,0.0,4.7523333333333335,0.0,4.7523333333333335,highest observed rate treatment,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Babiyachaur,1,0.0,0.0,0.0,8.804,0.0,8.804,highest observed rate treatment,,,,,28.8048762,81.39947719666667
2018,"2018 N source, timing and FYM trial",Surkhet,Gadhi,1,0.0,0.0,0.0,7.068333333333334,0.0,7.068333333333334,highest observed rate treatment,,,,,28.639586336666667,81.59303651
2018,"2018 N source, timing and FYM trial",Surkhet,Guthu,1,0.0,0.0,0.0,7.191,0.0,7.191,highest observed rate treatment,,,,,28.83355033,81.3062491
2018,"2018 N source, timing and FYM trial",Surkhet,Kalyan,1,0.0,0.0,0.0,7.539000000000001,0.0,7.539000000000001,highest observed rate treatment,,,,,28.504867156666666,81.73680205333334
2018,"2018 N source, timing and FYM trial",Surkhet,Kunathari,1,0.0,0.0,0.0,7.904,0.0,7.904,highest observed rate treatment,,,,,28.712942766666668,81.51046702666667
2018,"2018 N source, timing and FYM trial",Surkhet,Lekhpharsa,1,0.0,0.0,0.0,8.210333333333333,0.0,8.210333333333333,highest observed rate treatment,,,,,28.4649723,81.79502230666667
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-1,1,0.0,0.0,0.0,7.1899999999999995,0.0,7.1899999999999995,highest observed rate treatment,,,,,28.44309001,81.79643813
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-2,1,0.0,0.0,0.0,5.986,0.0,5.986,highest observed rate treatment,,,,,28.423916165,81.79690274500001
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-7,1,0.0,0.0,0.0,6.551,0.0,6.551,highest observed rate treatment,,,,,28.44627709,81.81803668
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-8,1,0.0,0.0,0.0,8.593,0.0,8.593,highest observed rate treatment,,,,,28.43198979,81.80341761
2018,"2018 N source, timing and FYM trial",Surkhet,Ramghat,1,0.0,0.0,0.0,7.943666666666666,0.0,7.943666666666666,highest observed rate treatment,,,,,28.488466066666664,81.74245871333333
2019,2019 T1-T10 core trial,Dang,Dhikpur,5,0.0,210.0,120.0,8.5775,104.27027033786602,8.562914300232462,quadratic vertex,-0.0001321150541897969,0.02755134483214388,7.126521213322756,0.9279526872395618,28.04034002032131,82.37347882892936
2019,2019 T1-T10 core trial,Dang,Laxmipur,5,0.0,210.0,120.0,11.756499999999999,158.3534584591154,11.21717470218632,quadratic vertex,-0.00012251894440038795,0.038802597145123005,8.144911974623307,0.8360870634834673,27.978466546162963,82.46626472845674
2019,2019 T1-T10 core trial,Dang,Panchakule,5,0.0,210.0,120.0,9.692499999999999,104.31981422924422,9.62029403846839,quadratic vertex,-8.634868710899657e-05,0.018015757996299314,8.680593774781908,0.8553719410639072,28.134323056787252,82.12079326529056
2019,2019 T1-T10 core trial,Dang,Shantinagar,5,0.0,210.0,60.0,8.697,149.75353057391678,8.74179869227273,quadratic vertex,-5.4188474755484935e-05,0.016229830822098862,7.5265614591593915,0.773696380104705,28.165821452625096,82.22749720606953
2019,2019 T1-T10 core trial,Dang,Shreegau,5,0.0,210.0,180.0,9.097000000000001,152.53774864130563,8.972771963564794,quadratic vertex,-0.00011152447352189658,0.03402338421887401,6.377846748612209,0.9290816203083296,28.109642882365733,82.18608244042844
2019,2019 T1-T10 core trial,Doti,Chhatiwan,5,0.0,210.0,120.0,10.104665,180.51360762905776,9.936965950880694,quadratic vertex,-5.516146797074656e-05,0.019914791171028363,8.139520551149875,0.8676816610180622,29.080819838214666,80.59051701519638
2019,2019 T1-T10 core trial,Doti,Dipayal,5,0.0,210.0,60.0,9.994016666666667,164.38497734373627,9.342824956463405,quadratic vertex,-1.1615903016418619e-05,0.003818959908362025,9.02893513745704,0.05806604288009942,29.25469800643623,80.93250488117337
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,5,0.0,210.0,210.0,10.2514,210.0,10.2514,highest observed rate treatment,-2.3020706670191676e-05,0.010878458895056958,8.682027042030121,0.5837486088220112,29.124636705592273,80.58128627166153
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,5,0.0,210.0,180.0,9.5360765,159.14422620741135,9.555936135541325,quadratic vertex,-0.00019089608588862493,0.0607600197495375,4.721132971847736,0.9562739776810615,27.557042693719268,85.66748901642859
2019,2019 T1-T10 core trial,Kavre,Rabiopi,5,0.0,210.0,180.0,8.4749015,136.21436640044124,8.619321656050229,quadratic vertex,-0.00024854156395938024,0.06770986331780345,4.007793590602692,0.914957032776767,27.65028382278979,85.57621109671891
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,5,0.0,210.0,180.0,7.398560000000001,148.72246034459423,6.81129434525641,quadratic vertex,-0.00010985604458542624,0.032676122468940055,4.381457681205389,0.8092836618967704,,
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,5,0.0,210.0,60.0,8.727907,60.0,8.727907,highest observed rate treatment,2.3477371574587968e-05,-0.011255461366640157,8.629959473037262,0.45803873910021087,27.884868800640106,85.15004947409034
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,5,0.0,210.0,120.0,8.012326,144.81109317536072,8.066426851987572,quadratic vertex,-0.0002952644600845891,0.08551513848136401,1.8746565087232316,0.9808033709016347,27.884345275349915,85.15040419623256
2019,2019 T1-T10 core trial,Palpa,Chidi pani,5,0.0,210.0,60.0,9.0696969695,113.62488949910616,8.638171284660556,quadratic vertex,-0.00027799019968609577,0.06317321144233418,5.0491466999411125,0.7493217146062418,27.866839293390512,83.5484110750258
2019,2019 T1-T10 core trial,Palpa,Devinagar,5,0.0,210.0,210.0,9.2685132575,210.0,9.2685132575,highest observed rate treatment,9.986807597806076e-06,0.005431335870506225,7.745936895663754,0.933615702098187,27.809388258028775,83.69691666495055
2019,2019 T1-T10 core trial,Palpa,Khasyauli,5,0.0,210.0,210.0,7.614,210.0,7.614,highest observed rate treatment,1.604341777116906e-05,0.011481236403231607,4.6067676905565005,0.7011590248198252,27.884716409258544,83.47846296988428
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,5,0.0,210.0,120.0,10.723,100.91253089699109,10.528182907767402,quadratic vertex,-0.00013849281875055058,0.027951321702352643,9.117863600317202,0.9309889450715383,28.217928148806095,82.38481219299138
2019,2019 T1-T10 core trial,Salyan,Sharadha sharma,5,0.0,210.0,0.0,13.129,0.0,13.129,highest observed rate treatment,7.516851704995993e-05,-0.0194949048374305,13.217934179222835,0.4803754600003579,28.229141157120466,82.35283754579723
2019,2019 T1-T10 core trial,Surkhet,Babiyachaur,5,0.0,210.0,210.0,13.038888,157.48078329326668,13.163852510661574,quadratic vertex,-0.00011911515276676384,0.03751669511961418,10.209773243655816,0.9025949017234418,28.805155580397695,81.39992710389197
2019,2019 T1-T10 core trial,Surkhet,Kalyan,5,0.0,210.0,210.0,9.617,143.9429055963822,9.277484030978671,quadratic vertex,-5.6698717948717965e-05,0.01632275641025642,8.10271153846153,0.3835211095235882,28.501466119196266,81.74198592547327
2019,2019 T1-T10 core trial,Surkhet,Kunathari,5,0.0,210.0,60.0,8.776,125.78776720151677,8.97069702668258,quadratic vertex,-9.649209181425735e-05,0.024275049563838372,7.443944885011887,0.9217029206002172,28.714297401253134,81.50841868668795
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,5,0.0,210.0,120.0,11.512,154.5560302746833,10.959409882012,quadratic vertex,-0.00016189477046435824,0.05004362609040451,7.092137787470256,0.8907481695031064,28.465031892992556,81.79041231237352
2019,2019 T1-T10 core trial,Surkhet,Maintada-2,5,0.0,210.0,60.0,8.004999999999999,131.96034871337648,7.79982423830858,quadratic vertex,-0.0001334159397303728,0.035211227861485624,5.47658128469468,0.6835375309936262,28.44783207261935,81.79641097225249
2019,2019 T1-T10 core trial,Surkhet,Ramghat,5,0.0,210.0,180.0,11.3504,123.17881258005853,11.765297250885776,quadratic vertex,-0.00022765534408317908,0.0560846299233413,8.311078191911175,0.9382076087397215,28.48994602393359,81.74421137943864
