year,study,district,site,n_rates,min_N_rate_kg_ha,max_N_rate_kg_ha,quadratic_a,quadratic_b,quadratic_c,r_squared,plateau_N_rate_kg_ha,predicted_plateau_yield_t_ha,yield_N0_t_ha,yield_N60_t_ha,yield_N120_t_ha,yield_N180_t_ha,yield_N210_t_ha,AE_N_60_kg_kg,AE_N_120_kg_kg,AE_N_180_kg_kg,AE_N_210_kg_kg
2017,2017 core trial,Dang,Dhikpur,5,0.0,210.0,-0.0001940187094310812,0.054923482245131855,4.243609965635734,0.9696597907119165,141.54171627618632,8.130591936056039,4.394333333333333,6.44,8.320666666666666,7.951,7.083666666666666,34.094444444444456,32.71944444444444,19.75925925925926,12.806349206349205
2017,2017 core trial,Dang,Dhuruwa,5,0.0,210.0,-6.017299615237794e-05,0.019171261785179413,5.466145783769487,0.8143779410747317,159.30120661294174,6.993148351105317,5.299,6.823666666666667,6.657333333333334,6.746666666666667,7.045333333333333,25.411111111111108,11.319444444444446,8.042592592592593,8.315873015873011
2017,2017 core trial,Dang,Hapur,5,0.0,210.0,-0.0001826575028636885,0.04466451890034366,3.8594716494845343,0.5247504241216804,122.26302834566663,6.589881319663674,4.099,4.991,7.8815,4.8805,5.643,14.866666666666656,31.52083333333333,4.341666666666663,7.35238095238095
2017,2017 core trial,Dang,Laxmipur,5,0.0,210.0,-5.04082591711463e-06,0.008612186095691277,5.9303490615913255,0.5803447371377022,,,5.8389999999999995,6.5073333333333325,7.269333333333333,6.4303333333333335,8.038333333333334,11.138888888888884,11.919444444444446,3.2851851851851888,10.473015873015878
2017,2017 core trial,Dang,Panchakule,5,0.0,210.0,-0.00014131630540135666,0.020734090007930174,7.924191911181598,0.8913590452763671,73.36057204808273,8.684724263120694,8.108,8.2355,8.504,7.531,5.7065,2.1249999999999916,3.299999999999992,-3.20555555555556,-11.435714285714289
2017,2017 core trial,Dang,Pawannagar,5,0.0,210.0,-2.000036713954227e-05,0.01337656842012511,5.602211472376417,0.769044211819536,,,5.611999999999999,6.437666666666666,6.501333333333332,8.023333333333333,7.171333333333333,13.761111111111113,7.411111111111109,13.396296296296303,7.425396825396828
2017,2017 core trial,Dang,Purandhara,5,0.0,210.0,-1.8239455752342684e-05,0.006654232751784382,6.923176513349189,0.9347011978565731,182.41313891533494,7.5300862550122964,6.9205000000000005,7.284,7.3870000000000005,7.628666666666667,7.465,6.058333333333321,3.887499999999999,3.9342592592592567,2.5928571428571394
2017,2017 core trial,Dang,Shantinagar,5,0.0,210.0,-0.00018384868710899654,0.0500907579962993,5.966593774781916,0.9604951940208228,136.22821784580515,9.378481120972602,5.816000000000001,8.7025,9.0765,8.8795,8.5365,48.108333333333334,27.170833333333324,17.019444444444442,12.954761904761902
2017,2017 core trial,Dang,Shreegau,5,0.0,210.0,-4.649609363526902e-05,0.015666312009868753,5.244416600581544,0.8619601577277636,168.4691205755968,6.564061504064294,5.164666666666666,6.274333333333334,6.155333333333334,6.727999999999999,6.435666666666667,18.494444444444458,8.255555555555564,8.685185185185182,6.052380952380957
2017,2017 core trial,Surkhet,Babiyachaur,5,0.0,210.0,-0.00012729484242370847,0.037525233500749024,8.6923959027227,0.963155028021932,147.39494855511916,11.457910833403567,8.68665,10.565433333333333,11.13665,11.641066666666667,10.7922,31.313055555555547,20.41666666666666,16.413425925925928,10.026428571428568
2017,2017 core trial,Surkhet,Gadhi,5,0.0,210.0,-0.0001456722839016658,0.050524830161247786,7.343385527359234,0.9524656771244919,173.41950303790776,11.724380996178375,7.11665,10.4167,11.00835,11.375,11.83335,55.00083333333335,32.43083333333333,23.657500000000002,22.46047619047619
2017,2017 core trial,Surkhet,Ghumkhare,5,0.0,210.0,-0.00023002630187681755,0.06446769495109708,6.316766547713453,0.8622923550706192,140.13113810267765,10.833732279890194,5.92,10.377766666666666,10.114433333333332,10.018533333333332,10.162199999999999,74.2961111111111,34.9536111111111,22.769629629629623,20.200952380952376
