year,study,dataset_type,district,site,government_recommendation,n_omission,latitude,longitude,response_t_ha
2017,2017 core trial,Trial,Dang,Dhikpur,8.320666666666666,4.394333333333333,28.048377501666664,82.39328083333332,3.926333333333333
2017,2017 core trial,Trial,Dang,Dhuruwa,6.657333333333334,5.299,28.027314443333335,82.32577277833335,1.3583333333333334
2017,2017 core trial,Trial,Dang,Hapur,7.8815,4.099,28.0924658325,82.42744333499999,3.7824999999999998
2017,2017 core trial,Trial,Dang,Laxmipur,7.269333333333333,5.8389999999999995,27.979779721666667,82.49197972166667,1.4303333333333335
2017,2017 core trial,Trial,Dang,Panchakule,8.504,8.108,28.13378,82.11331874999999,0.395999999999999
2017,2017 core trial,Trial,Dang,Pawannagar,6.501333333333332,5.611999999999999,28.1637525,82.25663805666667,0.8893333333333331
2017,2017 core trial,Trial,Dang,Purandhara,7.3870000000000005,6.9205000000000005,28.193886111666664,82.09898041833333,0.4664999999999999
2017,2017 core trial,Trial,Dang,Shantinagar,9.0765,5.816000000000001,28.163860417499997,82.2297600025,3.2604999999999986
2017,2017 core trial,Trial,Dang,Shreegau,6.155333333333334,5.164666666666666,28.106417776666667,82.17906138833334,0.9906666666666677
2017,2017 core trial,Trial,Surkhet,Babiyachaur,11.13665,8.68665,28.814981375,81.40367065,2.4499999999999993
2017,2017 core trial,Trial,Surkhet,Gadhi,11.00835,7.11665,28.646156315,81.6029041775,3.8917
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.114433333333332,5.92,28.439260458333337,81.89734472500001,4.194433333333333
2017,2017 core trial,Trial,Surkhet,Guthu,11.455566666666668,6.8667,28.845922375,81.30325839166667,4.588866666666668
2017,2017 core trial,Trial,Surkhet,Kalyan,9.803333333333333,7.6499,28.502894233333333,81.73769066666667,2.153433333333333
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,9.904433333333332,7.815533333333334,28.473879983333333,81.80856741666668,2.088899999999998
2017,2017 core trial,Trial,Surkhet,Maintada-3,7.838866666666665,6.782233333333334,28.444798683333335,81.80532577,1.0566333333333313
2017,2017 core trial,Trial,Surkhet,Maintada-4,8.033333333333333,6.811133333333334,28.419826163333333,81.79539942833334,1.222199999999999
2017,2017 core trial,Trial,Surkhet,Neta,12.798900000000001,9.89,28.547596991666666,81.79277656666667,2.908900000000001
2017,2017 core trial,Trial,Surkhet,Ramghat,12.3421,7.975,28.489822124999996,81.742718975,4.367100000000001
