year,study,dataset_type,district,site,variety_group,treatment_code,treatment_role,N_rate_kg_ha,mean_yield_t_ha,latitude,longitude,n
2018,2018 maize demo,Demo,Kavre,Bhakundebesi,Hybrid,A1,demo_a1,120.0,8.639186046511627,27.55796155333333,85.66612271666668,3
2018,2018 maize demo,Demo,Kavre,Bhakundebesi,Hybrid,B1,demo_b1,120.0,8.86172480620155,27.55787778,85.66614646000001,3
2018,2018 maize demo,Demo,Kavre,Bhakundebesi,OPV,A2,demo_a2,120.0,6.076337209302326,27.557879076666666,85.66616002333335,3
2018,2018 maize demo,Demo,Kavre,Rabiopi,Farmers seed,B2,demo_b2,120.0,9.58284496124031,27.647559166666667,85.56472248,3
2018,2018 maize demo,Demo,Kavre,Rabiopi,Hybrid,A1,demo_a1,120.0,9.715077519379845,27.647550256666666,85.56467215666667,3
2018,2018 maize demo,Demo,Kavre,Rabiopi,Hybrid,B1,demo_b1,120.0,9.110337209302324,27.647549573333333,85.56473809666666,3
2018,2018 maize demo,Demo,Kavre,Rabiopi,OPV,A2,demo_a2,120.0,6.590147286821705,27.64754601333333,85.56472853000001,3
2018,2018 maize demo,Demo,Palpa,Chidipani,Farmers seed,B2,demo_b2,120.0,6.722596899230814,,,2
2018,2018 maize demo,Demo,Palpa,Chidipani,Hybrid,A1,demo_a1,120.0,8.321734495972674,,,2
2018,2018 maize demo,Demo,Palpa,Chidipani,Hybrid,B1,demo_b1,120.0,7.8675193798395355,,,2
2018,2018 maize demo,Demo,Palpa,Chidipani,OPV,A2,demo_a2,120.0,6.731395348837209,,,2
2018,2018 maize demo,Demo,Palpa,Devinagar,Farmers seed,B2,demo_b2,120.0,6.387201550491085,,,3
2018,2018 maize demo,Demo,Palpa,Devinagar,Hybrid,A1,demo_a1,120.0,7.559085271518993,,,3
2018,2018 maize demo,Demo,Palpa,Devinagar,Hybrid,B1,demo_b1,120.0,6.950397932816667,,,3
2018,2018 maize demo,Demo,Palpa,Devinagar,OPV,A2,demo_a2,120.0,6.813038759791472,,,3
2018,2018 maize demo,Demo,Palpa,Madanpokhara,Farmers seed,B2,demo_b2,120.0,6.913253229676744,,,3
2018,2018 maize demo,Demo,Palpa,Madanpokhara,Hybrid,A1,demo_a1,120.0,7.932135012816278,,,3
2018,2018 maize demo,Demo,Palpa,Madanpokhara,Hybrid,B1,demo_b1,120.0,7.753558785322093,,,3
