year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,source_treatment_label,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,grain_moisture_pct,recorded_yield_kg_ha,dry_yield_kg_ha,yield_14pct_kg_ha,yield_t_ha,strategy
2019,2019 Hybrid strategy block,Demo,Dang,Laxmipur,27.99054731614888,82.51865889877081,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,19.0,10000.0,8100.0,9418.60465116279,9.41860465116279,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Dang,Panchakule,28.13416263554245,82.11803896352649,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,19.1,7493.0,6061.837,7048.647674418606,7.048647674418605,gr
2019,2019 Hybrid strategy block,Demo,Dang,Panchakule,28.134349384345114,82.11804390884936,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,19.0,7297.0,5910.57,6872.7558139534885,6.872755813953488,fym
2019,2019 Hybrid strategy block,Demo,Dang,Panchakule,28.13441023696214,82.11811322718859,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,18.6,7890.0,6422.46,7467.976744186047,7.467976744186047,zn
2019,2019 Hybrid strategy block,Demo,Dang,Panchakule,28.13445889391005,82.11817977949977,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,19.0,11133.0,9017.73,10485.732558139534,10.485732558139535,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Panchakule,28.13453085254877,82.11823996156454,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,18.8,6927.0,5624.724,6540.376744186046,6.540376744186046,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.13506666570902,82.12238506413996,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,22.4,7937.0,6159.111999999999,7161.7581395348825,7.161758139534882,gr
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.06542268954217,82.44525656104088,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,23.5,7083.0,5418.495,6300.575581395349,6.300575581395349,gr
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.135056104511023,82.1224589087069,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,22.5,12467.0,9661.925,11234.796511627908,11.23479651162791,fym
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.06545692961663,82.44519621133804,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,23.2,6667.0,5120.255999999999,5953.786046511627,5.9537860465116275,fym
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.134994371794164,82.12250106967986,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,26.4,10400.0,7654.399999999999,8900.465116279069,8.900465116279069,zn
