year,study,dataset_type,district,site,pcu_full_n,pcu_half_n,latitude,longitude,response_t_ha
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.403926356589148,9.054186046511628,28.033886610000003,82.37334020833333,-0.6502596899224802
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.988145348837209,6.054651162790698,28.021487099999998,82.3246362375,0.9334941860465111
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.208968992248063,5.7475503875969,28.0904503,82.42110159166667,-0.538581395348837
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,6.906046511627906,8.182368217054263,27.97780465,82.46362031999999,-1.2763217054263567
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.053938953488371,7.898348837209302,28.116139418750002,82.16632454124999,0.15559011627906916
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.871961240310078,7.33943023255814,28.170488565,82.26027607666666,-1.4674689922480617
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.813441860465116,7.7057596899224805,28.187609066666667,82.09809007666667,0.10768217054263562
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.103038759689923,7.151825581395349,28.165582256666667,82.22552420166667,-0.04878682170542614
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.374038759689921,6.5261821705426355,29.082099988333333,80.59342477833334,-0.1521434108527142
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,7.386802325581395,7.037236434108526,29.14421795166667,80.60345525666666,0.349565891472869
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.2886162790697675,5.530348837209303,27.660603690000002,85.589975065,0.7582674418604647
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,7.744767441860465,7.305813953488372,27.557938855000003,85.66632913833334,0.4389534883720927
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,10.058139534883722,10.069767441860465,27.647575525,85.564548,-0.011627906976743319
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.382127906976743,9.347953488372093,28.804874390000002,81.39952239166666,0.03417441860464976
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,9.014201550387597,8.998267441860465,28.6395877,81.59301910666667,0.01593410852713184
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,9.167127906976745,7.746046511627908,28.833515225,81.306189645,1.4210813953488373
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.969372093023257,8.799135658914729,28.504875338333335,81.73682368666667,0.17023643410852785
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,8.9215503875969,28.712986606666668,81.51052618,0.05668604651162745
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.664496124031007,8.981872093023256,28.464998761666664,81.79511061666668,-0.3173759689922484
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.16460465116279,8.371162790697674,28.44313475,81.796371165,-0.20655813953488433
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,9.07272480620155,8.519691860465116,28.427649028333335,81.80043458583333,0.5530329457364349
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-3,9.248837209302327,9.405418604651162,28.439170484999998,81.81072246,-0.15658139534883553
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-4,,8.420848837209304,28.43197913,81.80342308,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.898620155038762,8.932697674418606,28.488464790000002,81.74247741666667,-0.034077519379843935
