year,study,dataset_type,district,site,variety_group,comparator_yield_t_ha,treatment_yield_t_ha,latitude,longitude,yield_response_t_ha,relative_yield_pct,strategy_role
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,Hybrid,8.047448255813952,9.421476744186048,28.02853859611787,82.37393605755642,1.3740284883720957,117.07408913601172,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Laxmipur,Hybrid,12.28546511627907,12.859883720930235,27.98341975430958,82.49117157887667,0.5744186046511643,104.6755950972505,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Panchakule,Hybrid,7.048647674418605,6.872755813953488,28.134256009943783,82.11804143618792,-0.17589186046511696,97.50460132794727,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,Hybrid,6.731166860465116,8.594291279069768,28.10025059734471,82.28382418630645,1.8631244186046523,127.67907046767094,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,Hybrid,8.364416860465116,7.782811046511629,28.166043550008908,82.2273647133261,-0.5816058139534874,93.04666632885694,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,Hybrid,9.82718023255814,8.227375,28.109867626335472,82.18613297911361,-1.5998052325581398,83.72060759343894,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Doti,Chhatiwan,Hybrid,7.3687720930232565,6.544332558139535,29.080078576225787,80.58994597289711,-0.8244395348837212,88.81171076434431,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Doti,Dipayal,Hybrid,7.674772093023257,7.962170930232559,29.255768170114607,80.93196735251695,0.28739883720930237,103.74472145525418,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,Hybrid,8.268559263565892,7.798201240310078,29.127159013878554,80.57692671194673,-0.4703580232558142,94.31148754864257,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Kavre,Bhakundebesi,Hybrid,5.44186046511628,4.936431023255814,27.562397816218436,85.64943686127663,-0.5054294418604659,90.71219401709399,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Makwanpur,Radha Tiwari,Hybrid,6.9320123953488375,6.061627906976744,,,-0.8703844883720935,87.4439854008903,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Nuwakot,Ramchandra Acharya,Hybrid,6.527906976744186,9.170151930232558,27.884369934909046,85.15069568529725,2.6422449534883725,140.47614285714286,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Palpa,Devinagar,Hybrid,9.906356592186047,10.080000002930232,27.808461722452193,83.69875559583306,0.17364341074418554,101.75284837698203,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Salyan,Ajaya Gharti,Hybrid,11.216279069767445,10.790573255813952,28.217604607343674,82.38460561260581,-0.4257058139534937,96.20457184325105,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Salyan,Prem buda,Hybrid,11.965116279069766,11.395063953488371,28.24859862215817,82.33081420417875,-0.5700523255813952,95.23571428571428,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Salyan,Tham kumari mahatara,Hybrid,11.1160011627907,11.520113953488371,28.25885144993663,82.33736466150731,0.4041127906976705,103.63541515316122,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Surkhet,Babiyachaur,Hybrid,12.835737209302325,13.01355976744186,28.805263359099627,81.40033351723105,0.1778225581395354,101.38537082241496,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Surkhet,Kalyan,Hybrid,8.723546511627907,10.29126976744186,28.503679297864437,81.73834549728781,1.5677232558139522,117.97116864940516,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Surkhet,Kunathari,Hybrid,8.20813953488372,8.943101162790699,28.713490990921855,81.50714050512761,0.7349616279069782,108.95405864853382,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Surkhet,Lekhpharsa,Hybrid,9.169844186046511,8.694883720930234,28.461803540121764,81.78099706303328,-0.4749604651162773,94.82040855351707,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Surkhet,Maintada-2,Hybrid,3.642953488372093,7.256046511627906,28.44870017375797,81.79671040736139,3.613093023255813,199.1803226362458,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Surkhet,Ramghat,Hybrid,10.607882558139536,11.244305813953487,28.489384271088056,81.74336528289132,0.6364232558139502,105.99953150240728,demo_fym_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,Hybrid,8.047448255813952,10.043023255813953,28.028533147880808,82.37393310293555,1.9955750000000005,124.79761206986673,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Laxmipur,Hybrid,12.28546511627907,11.258347674418609,27.983445696299896,82.49115630285814,-1.0271174418604616,91.63957219251338,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Panchakule,Hybrid,7.048647674418605,7.467976744186047,28.134286436252296,82.11807609535754,0.4193290697674419,105.9490712138911,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,Hybrid,6.731166860465116,8.12,28.100252085132524,82.283813750837,1.3888331395348832,120.63287344267255,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,Hybrid,8.364416860465116,7.994801162790697,28.16602350678295,82.22739606164396,-0.36961569767441915,95.581094249123,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,Hybrid,9.82718023255814,8.881887790697675,28.109901279676706,82.18612836906686,-0.9452924418604649,90.38083743769505,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Doti,Chhatiwan,Hybrid,7.3687720930232565,7.1645651162790704,29.080093181692064,80.5899248085916,-0.2042069767441861,97.22875162691585,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Doti,Dipayal,Hybrid,7.674772093023257,9.464366279069766,29.255807041190565,80.93194975052029,1.7895941860465099,123.3178805097462,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,Hybrid,8.268559263565892,7.456751162790698,29.127115616574883,80.57693594601005,-0.8118081007751945,90.1819884831412,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Kavre,Bhakundebesi,Hybrid,5.44186046511628,5.691061046511627,27.562328896019608,85.6495464546606,0.24920058139534706,104.57932692307689,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Makwanpur,Radha Tiwari,Hybrid,6.9320123953488375,6.434651162790699,,,-0.4973612325581387,92.8251537332528,demo_zn_hybrid
2019,2019 Hybrid strategy block,Demo,Nuwakot,Ramchandra Acharya,Hybrid,6.527906976744186,7.351663558139535,27.884392293635756,85.15069882851094,0.8237565813953491,112.619,demo_zn_hybrid
