year,study,dataset_type,district,site,government_recommendation,n_timing_v6_v10,latitude,longitude,response_t_ha
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.309213178294572,8.671798449612403,28.033879931666668,82.373398575,0.36258527131783147
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.752627906976744,4.536941860465117,28.021520345,82.32464380249999,-2.2156860465116273
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.666720930232557,5.8953953488372095,28.09047527,82.42110266833333,0.2286744186046521
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.132759689922481,7.854178294573643,27.977794961666667,82.46364506,0.7214186046511619
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.273944767441861,8.061438953488373,28.116154245,82.16632295,-0.2125058139534879
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.785248062015505,7.984372093023256,28.17048068833333,82.26031865333333,2.1991240310077513
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.4239961240310075,8.285817829457363,28.18757206,82.09808395833333,0.8618217054263555
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.427116279069768,7.551662790697674,28.165623186666664,82.225542445,0.12454651162790586
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.628709302325581,7.519953488372093,29.082112126666665,80.59341431166666,0.8912441860465119
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.323627906976744,8.714038759689922,29.144237465000003,80.60342881333332,0.39041085271317755
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.6202093023255815,6.564829457364341,27.66063011,85.58987142333334,-0.05537984496124082
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.142248062015504,8.35658914728682,27.5580013,85.66624286833333,0.21434108527131635
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.312015503875969,9.918410852713178,27.647584985,85.56455276333334,0.6063953488372089
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.468372093023257,9.5175503875969,28.80495499166667,81.39945632666667,0.0491782945736432
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.934263565891474,8.688166666666667,28.639593795000003,81.59302985,-0.24609689922480626
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.927639534883721,9.522802325581397,28.83352273,81.306228115,1.5951627906976755
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.879523255813952,8.67182945736434,28.504897773333333,81.73683445166667,-0.20769379844961122
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,8.985705426356589,28.712961215000004,81.51048299833334,0.007468992248060857
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.474728682170543,9.093860465116279,28.464984148333333,81.79507344333334,0.6191317829457361
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.949492248062016,7.998401162790698,28.443633900000002,81.80005672749999,-0.9510910852713188
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-10,,9.324418604651163,28.43195848,81.80338907,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.762003875968992,8.880936046511628,28.425257685000002,81.79798011333332,0.11893217054263694
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-9,,8.570930232558139,28.4462335,81.81801484,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.903693798449613,8.893600775193798,28.48844845,81.742492925,-0.010093023255814515
