year,study,dataset_type,district,site,government_recommendation,k_omission,latitude,longitude,response_t_ha
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,8.777121511627907,7.548719999999999,28.040253510698676,82.37347660353407,1.228401511627908
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,11.619877325581394,12.090534302325583,27.978472126415,82.46626930078492,-0.4706569767441895
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,9.917432558139534,9.453341860465116,28.13425179803744,82.12076570140198,0.46409069767441835
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,8.61302034883721,8.487811627906977,28.165807725163177,82.22750054206699,0.1252087209302335
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,8.656330813953488,9.95985523255814,28.10959881870076,82.18604708556086,-1.3035244186046526
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,9.414713546511628,8.738372093023255,29.0808416751679,80.59049970237538,0.6763414534883729
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,8.507053310077518,9.43895985271318,29.254718001466244,80.93255240935832,-0.9319065426356623
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,9.174986976744185,10.570567441860465,29.124730466399342,80.58136230893433,-1.3955804651162804
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,8.723448191860466,6.233759552325582,27.55703482311219,85.66752936691046,2.4896886395348847
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,7.813370494186046,6.574215360465117,27.650285947602242,85.57617022655904,1.2391551337209288
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,6.698701836046512,6.313064872093024,,,0.38563696395348757
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,6.801547209302324,7.509767441860465,27.88486796664074,85.15004914719611,-0.7082202325581406
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,8.012322523255815,8.165232558139536,27.88435664959252,85.15040780883282,-0.15291003488372112
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,7.849728665302326,9.43783331632558,27.866861983202398,83.54838136117905,-1.5881046510232544
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,8.501498065104652,8.107937986,27.80878884717822,83.69660498807207,0.3935600791046525
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,7.471317812616279,3.659941860465117,27.88477478083223,83.4784936811775,3.8113759521511623
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,10.973156976744189,2.9405232558139534,28.21790128480643,82.38471805583686,8.032633720930235
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,,11.488084883720928,28.22908418951556,82.3528625909239,
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,12.879354279069767,13.051022546511629,28.805140155600384,81.39993380522355,-0.17166826744186103
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,9.480886627906976,8.875828488372093,28.501484108855948,81.74196918262169,0.6050581395348829
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,8.941865697674418,4.451431395348837,28.714283583685756,81.50841388385743,4.490434302325581
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,11.779534883720931,8.875633139534884,28.4650391433388,81.7904285271652,2.9039017441860473
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,7.337687209302326,6.467143604651163,28.44782381434925,81.79641475668177,0.8705436046511634
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,11.571568139534884,11.156974883720931,28.489960025064647,81.74421476572752,0.4145932558139531
