year,study,dataset_type,district,site,government_recommendation,n_omission,latitude,longitude,response_t_ha
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.309213178294572,8.245170542635659,28.033862043333333,82.37337989666666,0.06404263565891277
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.752627906976744,3.566046511627907,28.021528002500002,82.3246737275,3.1865813953488367
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.666720930232557,5.334282945736434,28.090464996666668,82.42110001500001,0.3324379844961234
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.132759689922481,6.363593023255814,27.97779226666667,82.463650495,0.769166666666667
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.273944767441861,7.585732558139535,28.1161669575,82.16631104625,0.6882122093023266
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.785248062015505,4.261496124031008,28.170460276666667,82.26027164499999,1.523751937984497
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.4239961240310075,8.07782945736434,28.18759402,82.09806870333333,-0.6538333333333322
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.427116279069768,6.575282945736434,28.165569186666666,82.22552213333334,0.8518333333333343
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.628709302325581,5.561558139534884,29.082115391666665,80.59342047166666,1.0671511627906973
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.323627906976744,7.97891472868217,29.14423007,80.60344708333334,0.34471317829457426
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.6202093023255815,5.003658914728682,27.660617778333332,85.58984622666667,1.6165503875968996
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.142248062015504,7.969186046511628,27.55801092833333,85.66625212,0.17306201550387623
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.312015503875969,8.982558139534882,27.64758880833333,85.564533475,0.32945736434108674
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.468372093023257,8.997201550387596,28.804862511666666,81.399528935,0.4711705426356616
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.934263565891474,7.23532558139535,28.639593618333336,81.59303235666667,1.6989379844961237
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.927639534883721,7.3305,28.83352142,81.306221895,0.5971395348837216
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.879523255813952,7.7328565891472865,28.504906716666667,81.73684531833334,1.1466666666666656
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,8.095593023255814,28.712982585000002,81.510500995,0.8826434108527135
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.474728682170543,8.376213178294574,28.464984645,81.795062925,0.0985155038759693
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.949492248062016,7.342633720930232,28.44363555,81.80001288,1.6068585271317843
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.762003875968992,6.901953488372093,28.4252522925,81.79800271583335,1.8600503875968988
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-7,,6.669767441860466,28.44627709,81.81803668,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-8,,8.837209302325583,28.43198979,81.80341761,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.903693798449613,8.122302325581396,28.488454214999997,81.74248673166667,0.7813914728682168
