year,district,site,latitude,longitude,0,60,120,180,210,AE_N_60_kg_kg,AE_N_120_kg_kg,AE_N_180_kg_kg,AE_N_210_kg_kg,marginal_yield_response_0_60_t_ha,marginal_response_0_60_kg_kg_N,marginal_yield_response_60_120_t_ha,marginal_response_60_120_kg_kg_N,marginal_yield_response_120_180_t_ha,marginal_response_120_180_kg_kg_N,marginal_yield_response_180_210_t_ha,marginal_response_180_210_kg_kg_N
2017,Surkhet,Ghumkhare,28.439410933333335,81.8976184,,,,10.018533333333332,,,,,,,,,,,,,
2017,Surkhet,Ghumkhare,28.439552666666668,81.8975717,,,10.114433333333332,,,,,,,,,,,,,,
2017,Surkhet,Guthu,28.843883200000004,81.30404143333332,,,11.455566666666668,,,,,,,,,,,,,,
2017,Surkhet,Guthu,28.843891566666667,81.30404266666666,,9.200633333333334,,,,,,,,,,,,,,,
2017,Surkhet,Guthu,28.843903566666665,81.30406653333334,,,,,10.444466666666667,,,,,,,,,,,,
2017,Surkhet,Guthu,28.843903800000003,81.30407306666667,,,,11.8889,,,,,,,,,,,,,
2017,Surkhet,Guthu,28.84796155,81.30247535000001,6.8667,,,,,,,,,,,,,,,,
2017,Surkhet,Kalyan,28.502877333333334,81.73771606666666,,,9.803333333333333,,,,,,,,,,,,,,
2017,Surkhet,Kalyan,28.50291113333333,81.73766526666667,7.6499,,,,,,,,,,,,,,,,
2017,Surkhet,Kalyan,28.5029188,81.7376413,,9.432233333333334,,,,,,,,,,,,,,,
2017,Surkhet,Kalyan,28.5029996,81.73762133333334,,,,,9.863333333333335,,,,,,,,,,,,
2017,Surkhet,Kalyan,28.503016866666666,81.73763253333334,,,,10.281133333333335,,,,,,,,,,,,,
2017,Surkhet,Lekhpharsa,28.473854733333336,81.80856803333334,7.815533333333334,,,,,,,,,,,,,,,,
2017,Surkhet,Lekhpharsa,28.473863233333333,81.8085357,,,,,10.474433333333332,,,,,,,,,,,,
2017,Surkhet,Lekhpharsa,28.473869966666665,81.80856483333334,,,,11.156666666666666,,,,,,,,,,,,,
2017,Surkhet,Lekhpharsa,28.4738779,81.80857103333334,,9.4411,,,,,,,,,,,,,,,
2017,Surkhet,Lekhpharsa,28.47390523333333,81.80856680000001,,,9.904433333333332,,,,,,,,,,,,,,
2017,Surkhet,Maintada-3,28.444796723333337,81.80539510666667,,,7.838866666666665,,,,,,,,,,,,,,
2017,Surkhet,Maintada-3,28.4447991,81.80528044666666,,7.437766666666666,,,,,,,,,,,,,,,
2017,Surkhet,Maintada-3,28.444800643333334,81.80525643333334,6.782233333333334,,,,,,,,,,,,,,,,
