year,study,dataset_type,district,site,government_recommendation,k_omission,latitude,longitude,response_t_ha
2017,2017 core trial,Trial,Dang,Dhikpur,8.320666666666666,4.954999999999999,28.048405,82.39324999666667,3.365666666666667
2017,2017 core trial,Trial,Dang,Dhuruwa,6.657333333333334,6.357666666666667,28.02734666666667,82.32576027833335,0.29966666666666697
2017,2017 core trial,Trial,Dang,Hapur,7.8815,4.2325,28.092465415,82.4274216675,3.649
2017,2017 core trial,Trial,Dang,Laxmipur,7.269333333333333,5.822333333333333,27.979778333333336,82.49194916666667,1.447
2017,2017 core trial,Trial,Dang,Panchakule,8.504,7.743,28.1337762525,82.1132870825,0.7609999999999992
2017,2017 core trial,Trial,Dang,Pawannagar,6.501333333333332,6.9430000000000005,28.163705556666667,82.25669861166668,-0.4416666666666682
2017,2017 core trial,Trial,Dang,Purandhara,7.3870000000000005,6.789666666666666,28.19172639,82.09884472333333,0.5973333333333342
2017,2017 core trial,Trial,Dang,Shantinagar,9.0765,8.738,28.164460834166665,82.22883833499999,0.3384999999999998
2017,2017 core trial,Trial,Dang,Shreegau,6.155333333333334,6.331666666666667,28.106413888333336,82.17908722166666,-0.176333333333333
2017,2017 core trial,Trial,Surkhet,Babiyachaur,11.13665,11.777733333333332,28.816812274999997,81.40491888333332,-0.6410833333333326
2017,2017 core trial,Trial,Surkhet,Gadhi,11.00835,11.44335,28.6461546225,81.60291094249999,-0.4350000000000005
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.114433333333332,10.49,28.439503433333336,81.89756893333333,-0.3755666666666677
2017,2017 core trial,Trial,Surkhet,Guthu,11.455566666666668,11.177766666666665,28.843891533333334,81.30402655,0.2778000000000027
2017,2017 core trial,Trial,Surkhet,Kalyan,9.803333333333333,9.5,28.502895283333334,81.73769709999999,0.3033333333333328
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,9.904433333333332,10.286666666666667,28.473887316666666,81.80858163333333,-0.3822333333333354
2017,2017 core trial,Trial,Surkhet,Maintada-3,7.838866666666665,8.0189,28.444801085,81.80533168333332,-0.18003333333333504
2017,2017 core trial,Trial,Surkhet,Maintada-4,8.033333333333333,9.055566666666666,28.419786566666666,81.79541714333334,-1.0222333333333324
2017,2017 core trial,Trial,Surkhet,Neta,12.798900000000001,12.200000000000001,28.54512145,81.79167291666667,0.5989000000000004
2017,2017 core trial,Trial,Surkhet,Ramghat,12.3421,11.423333333333332,28.48959595,81.7429034,0.9187666666666683
