year,study,dataset_type,district,site,demo_gr_opv,demo_udp_reduced_n_opv,latitude,longitude,response_t_ha
2019,2019 OPV strategy block,Demo,Dang,Dhikpur,8.723255813953488,6.126809302325582,28.028557151556015,82.37374394433573,-2.5964465116279056
2019,2019 OPV strategy block,Demo,Dang,Laxmipur,9.987212790697676,7.68468023255814,27.983447697479278,82.49114278703928,-2.3025325581395357
2019,2019 OPV strategy block,Demo,Dang,Panchakule,6.833567441860465,8.945046511627906,28.134383477736264,82.11843287106603,2.111479069767441
2019,2019 OPV strategy block,Demo,Dang,Purandhara,7.272102906976743,5.145355813953488,28.10024199541658,82.28380323154852,-2.126747093023255
2019,2019 OPV strategy block,Demo,Dang,Shantinagar,7.514651162790697,7.3117,28.165777801768854,82.22760743228719,-0.20295116279069703
2019,2019 OPV strategy block,Demo,Dang,Shreegau,7.382665697674419,7.236250000000001,28.109909808263183,82.1863166266121,-0.14641569767441798
2019,2019 OPV strategy block,Demo,Doti,Chhatiwan,3.904738372093023,3.100290697674419,29.080019546672702,80.59022098314017,-0.8044476744186042
2019,2019 OPV strategy block,Demo,Doti,Dipayal,3.499751162790697,3.286716279069768,29.25588507670909,80.93191869556904,-0.21303488372092927
2019,2019 OPV strategy block,Demo,Doti,Ghanteshwor,3.4012356589147283,2.8638488372093023,29.12700953660533,80.57696457020938,-0.5373868217054261
2019,2019 OPV strategy block,Demo,Kavre,Bhakundebesi,5.384883720930233,5.175000000000001,27.562252348288894,85.6495168665424,-0.20988372093023244
2019,2019 OPV strategy block,Demo,Makwanpur,Radha Tiwari,5.194454290697674,6.347070569767442,,,1.1526162790697674
2019,2019 OPV strategy block,Demo,Nuwakot,Ramchandra Acharya,4.74050076744186,4.883917819767442,27.884530825540423,85.15060985460877,0.14341705232558155
2019,2019 OPV strategy block,Demo,Palpa,Devinagar,7.716124030703489,8.840000000302325,27.808737130835652,83.69845724198967,1.1238759695988358
2019,2019 OPV strategy block,Demo,Salyan,Ajaya Gharti,11.66639534883721,8.13953488372093,28.217678074724972,82.38440448883921,-3.526860465116279
2019,2019 OPV strategy block,Demo,Salyan,Prem buda,6.902325581395349,6.867184883720931,28.248664629645646,82.33088943175972,-0.035140697674417964
2019,2019 OPV strategy block,Demo,Salyan,Tham kumari mahatara,11.302043023255816,10.325077906976743,28.25877959607169,82.33758104033768,-0.9769651162790733
2019,2019 OPV strategy block,Demo,Surkhet,Babiyachaur,12.477627906976744,12.896431023255813,28.80527182482183,81.40048158355057,0.41880311627906863
2019,2019 OPV strategy block,Demo,Surkhet,Kalyan,8.279069767441861,8.305186046511627,28.503655933309346,81.73838137183338,0.026116279069766435
2019,2019 OPV strategy block,Demo,Surkhet,Kunathari,7.774883720930232,8.099723255813954,28.713491787202656,81.50711758062243,0.3248395348837221
2019,2019 OPV strategy block,Demo,Surkhet,Lekhpharsa,7.630848837209302,9.829131395348835,28.461433709599078,81.78061581216753,2.1982825581395327
2019,2019 OPV strategy block,Demo,Surkhet,Maintada-2,7.147151162790698,6.31246511627907,28.448962757829577,81.79675252642483,-0.8346860465116279
2019,2019 OPV strategy block,Demo,Surkhet,Ramghat,11.085117151162791,12.993015406976744,28.489449733751826,81.7433995124884,1.9078982558139526
