year,study,dataset_type,district,site,government_recommendation,n_omission,latitude,longitude,response_t_ha,nutrient,yield_response_t_ha,AE_N_kg_kg,p_omission,AE_P_kg_kg,k_omission,AE_K_kg_kg
2017,2017 core trial,Trial,Dang,Dhikpur,8.320666666666666,4.394333333333333,28.048377501666664,82.39328083333332,3.926333333333333,N,3.926333333333333,32.71944444444444,,,,
2017,2017 core trial,Trial,Dang,Dhuruwa,6.657333333333334,5.299,28.027314443333335,82.32577277833335,1.3583333333333334,N,1.3583333333333334,11.319444444444446,,,,
2017,2017 core trial,Trial,Dang,Hapur,7.8815,4.099,28.0924658325,82.42744333499999,3.7824999999999998,N,3.7824999999999998,31.52083333333333,,,,
2017,2017 core trial,Trial,Dang,Laxmipur,7.269333333333333,5.8389999999999995,27.979779721666667,82.49197972166667,1.4303333333333335,N,1.4303333333333335,11.919444444444446,,,,
2017,2017 core trial,Trial,Dang,Panchakule,8.504,8.108,28.13378,82.11331874999999,0.395999999999999,N,0.395999999999999,3.299999999999992,,,,
2017,2017 core trial,Trial,Dang,Pawannagar,6.501333333333332,5.611999999999999,28.1637525,82.25663805666667,0.8893333333333331,N,0.8893333333333331,7.411111111111109,,,,
2017,2017 core trial,Trial,Dang,Purandhara,7.3870000000000005,6.9205000000000005,28.193886111666664,82.09898041833333,0.4664999999999999,N,0.4664999999999999,3.887499999999999,,,,
2017,2017 core trial,Trial,Dang,Shantinagar,9.0765,5.816000000000001,28.163860417499997,82.2297600025,3.2604999999999986,N,3.2604999999999986,27.170833333333324,,,,
2017,2017 core trial,Trial,Dang,Shreegau,6.155333333333334,5.164666666666666,28.106417776666667,82.17906138833334,0.9906666666666677,N,0.9906666666666677,8.255555555555564,,,,
2017,2017 core trial,Trial,Surkhet,Babiyachaur,11.13665,8.68665,28.814981375,81.40367065,2.4499999999999993,N,2.4499999999999993,20.41666666666666,,,,
2017,2017 core trial,Trial,Surkhet,Gadhi,11.00835,7.11665,28.646156315,81.6029041775,3.8917,N,3.8917,32.43083333333333,,,,
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.114433333333332,5.92,28.439260458333337,81.89734472500001,4.194433333333333,N,4.194433333333333,34.9536111111111,,,,
2017,2017 core trial,Trial,Surkhet,Guthu,11.455566666666668,6.8667,28.845922375,81.30325839166667,4.588866666666668,N,4.588866666666668,38.24055555555557,,,,
2017,2017 core trial,Trial,Surkhet,Kalyan,9.803333333333333,7.6499,28.502894233333333,81.73769066666667,2.153433333333333,N,2.153433333333333,17.945277777777775,,,,
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,9.904433333333332,7.815533333333334,28.473879983333333,81.80856741666668,2.088899999999998,N,2.088899999999998,17.40749999999998,,,,
2017,2017 core trial,Trial,Surkhet,Maintada-3,7.838866666666665,6.782233333333334,28.444798683333335,81.80532577,1.0566333333333313,N,1.0566333333333313,8.805277777777762,,,,
2017,2017 core trial,Trial,Surkhet,Maintada-4,8.033333333333333,6.811133333333334,28.419826163333333,81.79539942833334,1.222199999999999,N,1.222199999999999,10.184999999999993,,,,
2017,2017 core trial,Trial,Surkhet,Neta,12.798900000000001,9.89,28.547596991666666,81.79277656666667,2.908900000000001,N,2.908900000000001,24.24083333333334,,,,
2017,2017 core trial,Trial,Surkhet,Ramghat,12.3421,7.975,28.489822124999996,81.742718975,4.367100000000001,N,4.367100000000001,36.392500000000005,,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.309213178294572,8.245170542635659,28.033862043333333,82.37337989666666,0.06404263565891277,N,0.06404263565891277,0.5336886304909397,,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.752627906976744,3.566046511627907,28.021528002500002,82.3246737275,3.1865813953488367,N,3.1865813953488367,26.554844961240306,,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.666720930232557,5.334282945736434,28.090464996666668,82.42110001500001,0.3324379844961234,N,0.3324379844961234,2.7703165374676946,,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.132759689922481,6.363593023255814,27.97779226666667,82.463650495,0.769166666666667,N,0.769166666666667,6.409722222222225,,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.273944767441861,7.585732558139535,28.1161669575,82.16631104625,0.6882122093023266,N,0.6882122093023266,5.735101744186055,,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.785248062015505,4.261496124031008,28.170460276666667,82.26027164499999,1.523751937984497,N,1.523751937984497,12.697932816537476,,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.4239961240310075,8.07782945736434,28.18759402,82.09806870333333,-0.6538333333333322,N,-0.6538333333333322,-5.448611111111101,,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.427116279069768,6.575282945736434,28.165569186666666,82.22552213333334,0.8518333333333343,N,0.8518333333333343,7.098611111111119,,,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.628709302325581,5.561558139534884,29.082115391666665,80.59342047166666,1.0671511627906973,N,1.0671511627906973,8.892926356589145,,,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.323627906976744,7.97891472868217,29.14423007,80.60344708333334,0.34471317829457426,N,0.34471317829457426,2.872609819121452,,,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.6202093023255815,5.003658914728682,27.660617778333332,85.58984622666667,1.6165503875968996,N,1.6165503875968996,13.471253229974163,,,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.142248062015504,7.969186046511628,27.55801092833333,85.66625212,0.17306201550387623,N,0.17306201550387623,1.442183462532302,,,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.312015503875969,8.982558139534882,27.64758880833333,85.564533475,0.32945736434108674,N,0.32945736434108674,2.745478036175723,,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.468372093023257,8.997201550387596,28.804862511666666,81.399528935,0.4711705426356616,N,0.4711705426356616,3.9264211886305134,,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.934263565891474,7.23532558139535,28.639593618333336,81.59303235666667,1.6989379844961237,N,1.6989379844961237,14.157816537467697,,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.927639534883721,7.3305,28.83352142,81.306221895,0.5971395348837216,N,0.5971395348837216,4.97616279069768,,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.879523255813952,7.7328565891472865,28.504906716666667,81.73684531833334,1.1466666666666656,N,1.1466666666666656,9.555555555555546,,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,8.095593023255814,28.712982585000002,81.510500995,0.8826434108527135,N,0.8826434108527135,7.355361757105945,,,,
