year,study,dataset_type,district,site,demo_gr_opv,demo_zn_opv,latitude,longitude,response_t_ha
2019,2019 OPV strategy block,Demo,Dang,Dhikpur,8.723255813953488,9.022640697674419,28.02930489066057,82.37523273797706,0.29938488372093097
2019,2019 OPV strategy block,Demo,Dang,Laxmipur,9.987212790697676,8.211797674418605,27.98346104566008,82.49110992997885,-1.7754151162790706
2019,2019 OPV strategy block,Demo,Dang,Panchakule,6.833567441860465,6.826587209302326,28.134450470097363,82.11845168843865,-0.006980232558139399
2019,2019 OPV strategy block,Demo,Dang,Purandhara,7.272102906976743,7.368886627906978,28.100232963915914,82.28380075888708,0.0967837209302349
2019,2019 OPV strategy block,Demo,Dang,Shantinagar,7.514651162790697,7.405409302325581,28.16580132348463,82.22756126895547,-0.10924186046511597
2019,2019 OPV strategy block,Demo,Dang,Shreegau,7.382665697674419,7.608513372093024,28.10991953127086,82.18631337862462,0.22584767441860532
2019,2019 OPV strategy block,Demo,Doti,Chhatiwan,3.904738372093023,3.8171511627906973,29.079987024888396,80.5902340169996,-0.08758720930232577
2019,2019 OPV strategy block,Demo,Doti,Dipayal,3.499751162790697,2.534819767441861,29.255880089476705,80.93197141773999,-0.9649313953488363
2019,2019 OPV strategy block,Demo,Doti,Ghanteshwor,3.4012356589147283,2.8683620155038767,29.126968514174223,80.57697494979948,-0.5328736434108516
2019,2019 OPV strategy block,Demo,Kavre,Bhakundebesi,5.384883720930233,5.4139534883720914,27.562229675240815,85.64951619599015,0.029069767441858296
2019,2019 OPV strategy block,Demo,Makwanpur,Radha Tiwari,5.194454290697674,4.9178263837209295,,,-0.2766279069767448
2019,2019 OPV strategy block,Demo,Nuwakot,Ramchandra Acharya,4.74050076744186,5.99670851744186,27.884473723825067,85.15063441358507,1.2562077499999997
2019,2019 OPV strategy block,Demo,Palpa,Devinagar,7.716124030703489,8.217178294874419,27.80868109781295,83.69853200856596,0.5010542641709295
2019,2019 OPV strategy block,Demo,Salyan,Ajaya Gharti,11.66639534883721,11.76770930232558,28.21767545538023,82.38445008639246,0.10131395348837025
2019,2019 OPV strategy block,Demo,Salyan,Prem buda,6.902325581395349,5.015454651162791,28.248612117022276,82.33082526829094,-1.8868709302325577
2019,2019 OPV strategy block,Demo,Salyan,Tham kumari mahatara,11.302043023255816,10.551162790697674,28.2586617465131,82.33758879359812,-0.7508802325581421
2019,2019 OPV strategy block,Demo,Surkhet,Babiyachaur,12.477627906976744,13.289141162790697,28.80525432759896,81.40047244727612,0.8115132558139528
2019,2019 OPV strategy block,Demo,Surkhet,Kalyan,8.279069767441861,8.87874418604651,28.503588857129216,81.73835681285709,0.5996744186046499
2019,2019 OPV strategy block,Demo,Surkhet,Kunathari,7.774883720930232,7.439061627906979,28.713520537130535,81.50715546682477,-0.3358220930232534
2019,2019 OPV strategy block,Demo,Surkhet,Lekhpharsa,7.630848837209302,8.171413953488372,28.461550511419773,81.78069657180458,0.5405651162790699
2019,2019 OPV strategy block,Demo,Surkhet,Maintada-2,7.147151162790698,6.854668604651163,28.44891011947766,81.79674934130162,-0.29248255813953516
2019,2019 OPV strategy block,Demo,Surkhet,Ramghat,11.085117151162791,10.005216860465117,28.489444295992143,81.7433699243702,-1.0799002906976742
