year,study,dataset_type,district,site,treatment_yield_t_ha,N_rate_kg_ha,latitude,longitude,y_0PK_t_ha,treatment_role,yield_response_vs_0PK_t_ha,AE_N_vs_0PK_kg_kg,relative_yield_vs_0PK_pct,group
2017,2017 core trial,Trial,Dang,Dhikpur,6.44,60.0,28.048412780000003,82.39327055666666,4.394333333333333,n_rate_60,2.0456666666666674,34.094444444444456,146.55237806265646,N60
2017,2017 core trial,Trial,Dang,Dhuruwa,6.823666666666667,60.0,28.02734166666667,82.32575611,5.299,n_rate_60,1.5246666666666666,25.411111111111108,128.77272441341134,N60
2017,2017 core trial,Trial,Dang,Hapur,4.991,60.0,28.092485834999998,82.42758,4.099,n_rate_60,0.8919999999999995,14.866666666666656,121.76140522078555,N60
2017,2017 core trial,Trial,Dang,Laxmipur,6.5073333333333325,60.0,27.97986389,82.49197555666667,5.8389999999999995,n_rate_60,0.668333333333333,11.138888888888884,111.44602386253354,N60
2017,2017 core trial,Trial,Dang,Panchakule,8.2355,60.0,28.133809165000002,82.113325,8.108,n_rate_60,0.1274999999999995,2.1249999999999916,101.57252096694621,N60
2017,2017 core trial,Trial,Dang,Pawannagar,6.437666666666666,60.0,28.16369222,82.25671999999999,5.611999999999999,n_rate_60,0.8256666666666668,13.761111111111113,114.71252078878595,N60
2017,2017 core trial,Trial,Dang,Purandhara,7.284,60.0,28.19163444333333,82.09882666666665,6.9205000000000005,n_rate_60,0.36349999999999927,6.058333333333321,105.25251065674445,N60
2017,2017 core trial,Trial,Dang,Shantinagar,8.7025,60.0,28.16418667,82.23199583499999,5.816000000000001,n_rate_60,2.8865,48.108333333333334,149.6303301237964,N60
2017,2017 core trial,Trial,Dang,Shreegau,6.274333333333334,60.0,28.106382223333338,82.17907611,5.164666666666666,n_rate_60,1.1096666666666675,18.494444444444458,121.4857364140958,N60
2017,2017 core trial,Trial,Surkhet,Babiyachaur,10.565433333333333,60.0,28.818693533333334,81.40622723333333,8.68665,n_rate_60,1.8787833333333328,31.313055555555547,121.62839913353632,N60
2017,2017 core trial,Trial,Surkhet,Gadhi,10.4167,60.0,28.646181925,81.60294003499999,7.11665,n_rate_60,3.3000500000000006,55.00083333333335,146.37083459211848,N60
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.377766666666666,60.0,28.4394077,81.89760913333333,5.92,n_rate_60,4.457766666666666,74.2961111111111,175.30011261261262,N60
