year,study,dataset_type,district,site,government_recommendation,micronutrients,latitude,longitude,response_t_ha
2017,2017 core trial,Trial,Dang,Dhikpur,8.320666666666666,8.220666666666668,28.048455833333332,82.39327860833333,-0.09999999999999787
2017,2017 core trial,Trial,Dang,Dhuruwa,6.657333333333334,6.417999999999999,28.027349165000004,82.32574916833335,-0.2393333333333345
2017,2017 core trial,Trial,Dang,Hapur,7.8815,4.0685,28.092475417499998,82.42743917,-3.8129999999999997
2017,2017 core trial,Trial,Dang,Laxmipur,7.269333333333333,6.441,27.979780555,82.49197972333333,-0.8283333333333331
2017,2017 core trial,Trial,Dang,Panchakule,8.504,8.494499999999999,28.133782085,82.1132904175,-0.009500000000000952
2017,2017 core trial,Trial,Dang,Pawannagar,6.501333333333332,5.3806666666666665,28.163757500000003,82.25669861,-1.1206666666666658
2017,2017 core trial,Trial,Dang,Purandhara,7.3870000000000005,7.334333333333333,28.191668888333332,82.09888972333333,-0.052666666666667084
2017,2017 core trial,Trial,Dang,Shantinagar,9.0765,8.735000000000001,28.1644816675,82.22881778,-0.34149999999999814
2017,2017 core trial,Trial,Dang,Shreegau,6.155333333333334,6.0553333333333335,28.106398055,82.17909722333334,-0.10000000000000053
2017,2017 core trial,Trial,Surkhet,Babiyachaur,11.13665,11.1822,28.816826658333333,81.40492398333333,0.045550000000000423
2017,2017 core trial,Trial,Surkhet,Gadhi,11.00835,11.0833,28.646154477499998,81.6029079675,0.0749499999999994
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.114433333333332,10.5811,28.439532633333336,81.89756031666667,0.4666666666666668
2017,2017 core trial,Trial,Surkhet,Guthu,11.455566666666668,11.1111,28.843885,81.30402951666666,-0.34446666666666736
2017,2017 core trial,Trial,Surkhet,Kalyan,9.803333333333333,9.507766666666667,28.502904583333333,81.73770168333334,-0.29556666666666587
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,9.904433333333332,9.303333333333333,28.473884849999997,81.80857823333334,-0.6010999999999989
2017,2017 core trial,Trial,Surkhet,Maintada-3,7.838866666666665,8.340000000000002,28.44478045166667,81.80537796833333,0.5011333333333363
2017,2017 core trial,Trial,Surkhet,Maintada-4,8.033333333333333,8.077766666666667,28.419771336666667,81.79541845666667,0.04443333333333399
2017,2017 core trial,Trial,Surkhet,Neta,12.798900000000001,11.776666666666666,28.545133616666668,81.79169306666667,-1.022233333333336
2017,2017 core trial,Trial,Surkhet,Ramghat,12.3421,13.181133333333335,28.489598266666665,81.74289136666667,0.8390333333333349
