year,study,dataset_type,district,site,variety_group,comparator_yield_t_ha,treatment_yield_t_ha,latitude,longitude,yield_response_t_ha,relative_yield_pct,strategy_role
2019,2019 OPV strategy block,Demo,Dang,Dhikpur,OPV,8.723255813953488,9.365826744186048,28.028555097989738,82.37374905729666,0.6425709302325604,107.366182351373,demo_fym_opv
2019,2019 OPV strategy block,Demo,Dang,Laxmipur,OPV,9.987212790697676,9.86224534883721,27.983445937279612,82.49112759483978,-0.12496744186046627,98.74872555056739,demo_fym_opv
2019,2019 OPV strategy block,Demo,Dang,Panchakule,OPV,6.833567441860465,8.981445348837209,28.134459648281336,82.1184195857495,2.1478779069767437,131.43128278532035,demo_fym_opv
2019,2019 OPV strategy block,Demo,Dang,Purandhara,OPV,7.272102906976743,5.969563953488372,28.100243409862742,82.28379533160478,-1.3025389534883711,82.08855168649036,demo_fym_opv
2019,2019 OPV strategy block,Demo,Dang,Shantinagar,OPV,7.514651162790697,7.130505813953489,28.16579605336301,82.22753172274679,-0.3841453488372082,94.88804815399376,demo_fym_opv
2019,2019 OPV strategy block,Demo,Dang,Shreegau,OPV,7.382665697674419,4.757913953488371,28.109950575744733,82.18632044037804,-2.6247517441860477,64.44710011706395,demo_fym_opv
2019,2019 OPV strategy block,Demo,Doti,Chhatiwan,OPV,3.904738372093023,3.5564930232558143,29.079938598442823,80.59022152796388,-0.3482453488372088,91.0814678052158,demo_fym_opv
2019,2019 OPV strategy block,Demo,Doti,Dipayal,OPV,3.499751162790697,3.6186360465116283,29.25588974962011,80.93201596755534,0.11888488372093109,103.39695247436198,demo_fym_opv
2019,2019 OPV strategy block,Demo,Doti,Ghanteshwor,OPV,3.4012356589147283,3.650393410852713,29.126982791349292,80.5769609939307,0.24915775193798462,107.3255068723314,demo_fym_opv
2019,2019 OPV strategy block,Demo,Kavre,Bhakundebesi,OPV,5.384883720930233,5.012529069767441,27.562189945019785,85.64965927507728,-0.37235465116279176,93.08518678471171,demo_fym_opv
2019,2019 OPV strategy block,Demo,Makwanpur,Radha Tiwari,OPV,5.194454290697674,5.08688291860465,,,-0.10757137209302403,97.9291112006575,demo_fym_opv
2019,2019 OPV strategy block,Demo,Nuwakot,Ramchandra Acharya,OPV,4.74050076744186,6.043074796511628,27.88447642698884,85.15062892343849,1.3025740290697678,127.4775618224967,demo_fym_opv
2019,2019 OPV strategy block,Demo,Palpa,Devinagar,OPV,7.716124030703489,8.774418604651162,27.80864082276821,83.69855443015695,1.0582945739476726,113.71536499072043,demo_fym_opv
2019,2019 OPV strategy block,Demo,Salyan,Ajaya Gharti,OPV,11.66639534883721,10.852441860465117,28.217670677695423,82.38447866868228,-0.8139534883720927,93.02309356031536,demo_fym_opv
2019,2019 OPV strategy block,Demo,Salyan,Prem buda,OPV,6.902325581395349,5.318372093023255,28.248600801452994,82.3308489471674,-1.583953488372094,77.05188679245282,demo_fym_opv
2019,2019 OPV strategy block,Demo,Salyan,Tham kumari mahatara,OPV,11.302043023255816,11.7046511627907,28.25864295009524,82.3375543858856,0.40260813953488395,103.56225983838897,demo_fym_opv
2019,2019 OPV strategy block,Demo,Surkhet,Babiyachaur,OPV,12.477627906976744,13.07732243023256,28.805258770007644,81.40044109895825,0.5996945232558151,104.80615809131879,demo_fym_opv
2019,2019 OPV strategy block,Demo,Surkhet,Kalyan,OPV,8.279069767441861,7.693732558139534,28.503575131762773,81.73833082895726,-0.5853372093023266,92.92991573033706,demo_fym_opv
2019,2019 OPV strategy block,Demo,Surkhet,Kunathari,OPV,7.774883720930232,8.478258139534883,28.713541869074106,81.50714934803545,0.7033744186046516,109.04675161521897,demo_fym_opv
2019,2019 OPV strategy block,Demo,Surkhet,Lekhpharsa,OPV,7.630848837209302,9.03174069767442,28.461575971450657,81.78072720766068,1.4008918604651184,118.35827036219266,demo_fym_opv
2019,2019 OPV strategy block,Demo,Surkhet,Maintada-2,OPV,7.147151162790698,6.771362790697674,28.44889090396464,81.79675860330462,-0.37578837209302396,94.74212363032919,demo_fym_opv
2019,2019 OPV strategy block,Demo,Surkhet,Ramghat,OPV,11.085117151162791,10.876459302325582,28.48942532669753,81.74336402560584,-0.20865784883720906,98.11767574494851,demo_fym_opv
2019,2019 OPV strategy block,Demo,Dang,Dhikpur,OPV,8.723255813953488,9.022640697674419,28.02930489066057,82.37523273797706,0.29938488372093097,103.4320314582778,demo_zn_opv
2019,2019 OPV strategy block,Demo,Dang,Laxmipur,OPV,9.987212790697676,8.211797674418605,27.98346104566008,82.49110992997885,-1.7754151162790706,82.22311716505396,demo_zn_opv
2019,2019 OPV strategy block,Demo,Dang,Panchakule,OPV,6.833567441860465,6.826587209302326,28.134450470097363,82.11845168843865,-0.006980232558139399,99.89785375475509,demo_zn_opv
2019,2019 OPV strategy block,Demo,Dang,Purandhara,OPV,7.272102906976743,7.368886627906978,28.100232963915914,82.28380075888708,0.0967837209302349,101.33089042012018,demo_zn_opv
2019,2019 OPV strategy block,Demo,Dang,Shantinagar,OPV,7.514651162790697,7.405409302325581,28.16580132348463,82.22756126895547,-0.10924186046511597,98.54628168229506,demo_zn_opv
2019,2019 OPV strategy block,Demo,Dang,Shreegau,OPV,7.382665697674419,7.608513372093024,28.10991953127086,82.18631337862462,0.22584767441860532,103.05916160459152,demo_zn_opv
2019,2019 OPV strategy block,Demo,Doti,Chhatiwan,OPV,3.904738372093023,3.8171511627906973,29.079987024888396,80.5902340169996,-0.08758720930232577,97.75689941409884,demo_zn_opv
2019,2019 OPV strategy block,Demo,Doti,Dipayal,OPV,3.499751162790697,2.534819767441861,29.255880089476705,80.93197141773999,-0.9649313953488363,72.428571333643,demo_zn_opv
2019,2019 OPV strategy block,Demo,Doti,Ghanteshwor,OPV,3.4012356589147283,2.8683620155038767,29.126968514174223,80.57697494979948,-0.5328736434108516,84.33293964756086,demo_zn_opv
2019,2019 OPV strategy block,Demo,Kavre,Bhakundebesi,OPV,5.384883720930233,5.4139534883720914,27.562229675240815,85.64951619599015,0.029069767441858296,100.5398402072986,demo_zn_opv
2019,2019 OPV strategy block,Demo,Makwanpur,Radha Tiwari,OPV,5.194454290697674,4.9178263837209295,,,-0.2766279069767448,94.67455306186571,demo_zn_opv
2019,2019 OPV strategy block,Demo,Nuwakot,Ramchandra Acharya,OPV,4.74050076744186,5.99670851744186,27.884473723825067,85.15063441358507,1.2562077499999997,126.49947361316202,demo_zn_opv
2019,2019 OPV strategy block,Demo,Palpa,Devinagar,OPV,7.716124030703489,8.217178294874419,27.80868109781295,83.69853200856596,0.5010542641709295,106.49360044210238,demo_zn_opv
2019,2019 OPV strategy block,Demo,Salyan,Ajaya Gharti,OPV,11.66639534883721,11.76770930232558,28.21767545538023,82.38445008639246,0.10131395348837025,100.86842551155672,demo_zn_opv
2019,2019 OPV strategy block,Demo,Salyan,Prem buda,OPV,6.902325581395349,5.015454651162791,28.248612117022276,82.33082526829094,-1.8868709302325577,72.66325808625338,demo_zn_opv
2019,2019 OPV strategy block,Demo,Salyan,Tham kumari mahatara,OPV,11.302043023255816,10.551162790697674,28.2586617465131,82.33758879359812,-0.7508802325581421,93.35624337110484,demo_zn_opv
2019,2019 OPV strategy block,Demo,Surkhet,Babiyachaur,OPV,12.477627906976744,13.289141162790697,28.80525432759896,81.40047244727612,0.8115132558139528,106.5037462397817,demo_zn_opv
2019,2019 OPV strategy block,Demo,Surkhet,Kalyan,OPV,8.279069767441861,8.87874418604651,28.503588857129216,81.73835681285709,0.5996744186046499,107.24325842696628,demo_zn_opv
2019,2019 OPV strategy block,Demo,Surkhet,Kunathari,OPV,7.774883720930232,7.439061627906979,28.713520537130535,81.50715546682477,-0.3358220930232534,95.68068018664755,demo_zn_opv
2019,2019 OPV strategy block,Demo,Surkhet,Lekhpharsa,OPV,7.630848837209302,8.171413953488372,28.461550511419773,81.78069657180458,0.5405651162790699,107.08394475910968,demo_zn_opv
2019,2019 OPV strategy block,Demo,Surkhet,Maintada-2,OPV,7.147151162790698,6.854668604651163,28.44891011947766,81.79674934130162,-0.29248255813953516,95.90770432193669,demo_zn_opv
2019,2019 OPV strategy block,Demo,Surkhet,Ramghat,OPV,11.085117151162791,10.005216860465117,28.489444295992143,81.7433699243702,-1.0799002906976742,90.25810664901817,demo_zn_opv
2019,2019 OPV strategy block,Demo,Dang,Dhikpur,OPV,8.723255813953488,6.4455755813953495,28.02855659625493,82.3737488896586,-2.2776802325581382,73.88956278325782,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Dang,Laxmipur,OPV,9.987212790697676,8.54555988372093,27.98341155052185,82.49117553932592,-1.4416529069767456,85.56501260972897,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Dang,Panchakule,OPV,6.833567441860465,8.496860465116278,28.134394478984177,82.11847088299692,1.6632930232558127,124.34003962654936,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Dang,Purandhara,OPV,7.272102906976743,6.257584883720931,28.100238108308986,82.28380172280595,-1.0145180232558122,86.04917949823704,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Dang,Shantinagar,OPV,7.514651162790697,7.596753488372093,28.165788205806166,82.22758387913927,0.08210232558139552,101.0925633645901,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Dang,Shreegau,OPV,7.382665697674419,6.615650581395349,28.109941156581044,82.1863248408772,-0.7670151162790697,89.61059395496285,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Doti,Chhatiwan,OPV,3.904738372093023,3.58953488372093,29.079968940932304,80.59020753018558,-0.3152034883720929,91.92766689249049,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Doti,Dipayal,OPV,3.499751162790697,2.337846511627907,29.255880089476705,80.93197141773999,-1.1619046511627902,66.80036387969113,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Doti,Ghanteshwor,OPV,3.4012356589147283,3.022395348837209,29.126967054326087,80.5769515922293,-0.3788403100775195,88.86168592627303,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Kavre,Bhakundebesi,OPV,5.384883720930233,4.994767441860464,27.562244134023786,85.64949327148497,-0.390116279069769,92.75534441805223,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Makwanpur,Radha Tiwari,OPV,5.194454290697674,5.932128709302326,,,0.7376744186046515,114.20119183502477,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Nuwakot,Ramchandra Acharya,OPV,4.74050076744186,6.073982558139535,27.88449979154393,85.15063562896103,1.3334817906976744,128.1295554228392,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Palpa,Devinagar,OPV,7.716124030703489,8.297658915022094,27.808685246855017,83.69847471825778,0.5815348843186046,107.5366191886574,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Salyan,Ajaya Gharti,OPV,11.66639534883721,10.163058139534884,28.217686833813787,82.38443147856742,-1.503337209302325,87.11395281617845,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Salyan,Prem buda,OPV,6.902325581395349,6.475887209302325,28.248673954512924,82.33092002570629,-0.42643837209302404,93.82181603773584,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Salyan,Tham kumari mahatara,OPV,11.302043023255816,9.482829069767442,28.25877676717937,82.33754424378276,-1.819213953488374,83.90367166586572,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Surkhet,Babiyachaur,OPV,12.477627906976744,13.302167348837207,28.805253950413316,81.40047207009047,0.8245394418604626,106.60814257331258,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Surkhet,Kalyan,OPV,8.279069767441861,7.9810686046511625,28.503668610937893,81.73835672903806,-0.29800116279069844,96.40054775280898,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Surkhet,Kunathari,OPV,7.774883720930232,7.404406976744186,28.71349620865658,81.50714591145515,-0.37047674418604615,95.23495453457767,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Surkhet,Lekhpharsa,OPV,7.630848837209302,6.695805813953489,28.461498166434467,81.78066321182996,-0.9350430232558136,87.74653982534176,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Surkhet,Maintada-2,OPV,7.147151162790698,6.690197674418604,28.448932017199695,81.79674418643117,-0.45695348837209426,93.606494700279,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Surkhet,Ramghat,OPV,11.085117151162791,11.092230232558139,28.489452452631667,81.7433830734808,0.00711308139534772,100.06416785044622,demo_pcu_half_n_opv
2019,2019 OPV strategy block,Demo,Dang,Dhikpur,OPV,8.723255813953488,6.126809302325582,28.028557151556015,82.37374394433573,-2.5964465116279056,70.2353505731805,demo_udp_reduced_n_opv
2019,2019 OPV strategy block,Demo,Dang,Laxmipur,OPV,9.987212790697676,7.68468023255814,27.983447697479278,82.49114278703928,-2.3025325581395357,76.94519375531712,demo_udp_reduced_n_opv
2019,2019 OPV strategy block,Demo,Dang,Panchakule,OPV,6.833567441860465,8.945046511627906,28.134383477736264,82.11843287106603,2.111479069767441,130.89863512333437,demo_udp_reduced_n_opv
2019,2019 OPV strategy block,Demo,Dang,Purandhara,OPV,7.272102906976743,5.145355813953488,28.10024199541658,82.28380323154852,-2.126747093023255,70.75471675486212,demo_udp_reduced_n_opv
2019,2019 OPV strategy block,Demo,Dang,Shantinagar,OPV,7.514651162790697,7.3117,28.165777801768854,82.22760743228719,-0.20295116279069703,97.29926035960759,demo_udp_reduced_n_opv
2019,2019 OPV strategy block,Demo,Dang,Shreegau,OPV,7.382665697674419,7.236250000000001,28.109909808263183,82.1863166266121,-0.14641569767441798,98.01676381309613,demo_udp_reduced_n_opv
2019,2019 OPV strategy block,Demo,Doti,Chhatiwan,OPV,3.904738372093023,3.100290697674419,29.080019546672702,80.59022098314017,-0.8044476744186042,79.39816710466563,demo_udp_reduced_n_opv
2019,2019 OPV strategy block,Demo,Doti,Dipayal,OPV,3.499751162790697,3.286716279069768,29.25588507670909,80.93191869556904,-0.21303488372092927,93.91285626287053,demo_udp_reduced_n_opv
2019,2019 OPV strategy block,Demo,Doti,Ghanteshwor,OPV,3.4012356589147283,2.8638488372093023,29.12700953660533,80.57696457020938,-0.5373868217054261,84.20024733373235,demo_udp_reduced_n_opv
