year,study,dataset_type,district,site,government_recommendation,pcu_half_n,latitude,longitude,response_t_ha
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.309213178294572,9.054186046511628,28.033890443333334,82.37337530166667,0.7449728682170562
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.752627906976744,6.054651162790698,28.021537055,82.3246613625,-0.6979767441860458
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.666720930232557,5.7475503875969,28.090450258333334,82.42107757666668,0.08082945736434244
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.132759689922481,8.182368217054263,27.977806646666668,82.463644195,1.0496085271317819
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.273944767441861,7.898348837209302,28.1161520025,82.1663183075,-0.3755959302325591
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.785248062015505,7.33943023255814,28.170478619999997,82.260240075,1.554182170542635
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.4239961240310075,7.7057596899224805,28.187615736666665,82.09807957166666,0.281763565891473
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.427116279069768,7.151825581395349,28.165605166666666,82.22551875333335,-0.2752906976744187
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.628709302325581,6.5261821705426355,29.082107755,80.593413,-0.1025271317829457
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.323627906976744,7.037236434108526,29.144207978333334,80.60345384666667,-1.2863914728682184
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.6202093023255815,5.530348837209303,27.660634350000002,85.58991557666667,-1.0898604651162787
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.142248062015504,7.305813953488372,27.557971798333334,85.666331,-0.8364341085271318
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.312015503875969,10.069767441860465,27.647580186666666,85.564521995,0.7577519379844961
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.468372093023257,9.347953488372093,28.804858976666665,81.399534775,-0.12041860465116372
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.934263565891474,8.998267441860465,28.63959150666667,81.59302667333333,0.06400387596899115
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.927639534883721,7.746046511627908,28.83350274,81.30618992000001,-0.1815930232558136
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.879523255813952,8.799135658914729,28.504903383333335,81.736847655,-0.08038759689922337
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,8.9215503875969,28.713004148333336,81.51052303666665,-0.05668604651162745
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.474728682170543,8.981872093023256,28.464994585,81.79510614,0.5071434108527129
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.949492248062016,8.371162790697674,28.443650995,81.79998972499999,-0.578329457364342
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.762003875968992,8.519691860465116,28.425245015,81.79800832583334,-0.2423120155038756
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-3,,9.405418604651162,28.44635759,81.81801785,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-4,,8.420848837209304,28.43197913,81.80342308,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.903693798449613,8.932697674418606,28.488450263333334,81.74249328666667,0.029003875968992787
