year,study,dataset_type,district,site,variety_group,comparator_yield_t_ha,treatment_yield_t_ha,latitude,longitude,yield_response_t_ha,relative_yield_pct
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,All maize,8.777121511627907,8.037967441860465,28.04028271115385,82.37346545560285,-0.7391540697674426,91.5786278133644
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,All maize,11.619877325581394,9.082568604651165,27.97847534297034,82.46623198036104,-2.5373087209302287,78.16406619591162
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,All maize,9.917432558139534,8.922040697674419,28.134294912451878,82.12075562216341,-0.9953918604651157,89.96321018943388
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,All maize,8.61302034883721,8.573379651162792,28.16581113031134,82.22751596476883,-0.039640697674418135,99.53975845790531
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,All maize,8.656330813953488,8.875184302325582,28.109675376908854,82.18611690681428,0.21885348837209406,102.52824774232651
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,All maize,9.414713546511628,9.483898523255812,29.080834152409807,80.59049917850643,0.06918497674418411,100.73486013570555
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,All maize,8.507053310077518,10.448058000000001,29.25471378257498,80.93254898674786,1.941004689922483,122.81641620398868
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,All maize,9.174986976744185,9.924419767441861,29.124686582945287,80.58131050877273,0.7494327906976768,108.16821639744299
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,All maize,8.723448191860466,9.97740328488372,27.55699949339032,85.6674649938941,1.2539550930232544,114.37453476474217
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,All maize,7.813370494186046,8.171510046511628,27.650299987290055,85.57620727457106,0.35813955232558214,104.583675541715
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,All maize,6.698701836046512,6.441608812790698,,,-0.2570930232558135,96.16204707198094
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,All maize,6.801547209302324,3.4660465116279076,27.88485218770802,85.15010878443718,-3.3355006976744166,50.959677334702214
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,All maize,8.012322523255815,10.397671360465118,27.88438345072791,85.1504037855193,2.3853488372093032,129.77100372939074
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,All maize,7.849728665302326,8.27769378377907,27.86683786427602,83.54843255365267,0.42796511847674346,105.45197339582515
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,All maize,8.501498065104652,8.413647288348837,27.809353944612667,83.69690124643967,-0.08785077675581476,98.96664357172052
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,All maize,7.471317812616279,3.6326627906976747,27.884715730324388,83.4785320283845,-3.8386550219186044,48.62144646776312
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,All maize,10.973156976744189,9.641860465116277,28.217902353499085,82.3848159564659,-1.3312965116279116,87.86769828911245
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,All maize,,11.046173255813954,28.22917131939903,82.35283970832825,,
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,All maize,12.879354279069767,13.239656156976745,28.805135880829766,81.39992940472439,0.3603018779069771,102.79751507800746
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,All maize,9.480886627906976,9.516918604651163,28.501480284612626,81.74199349014089,0.03603197674418723,100.38004859838875
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,All maize,8.941865697674418,8.930516860465115,28.71434658416547,81.50842800736427,-0.011348837209302687,99.87308199884667
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,All maize,11.779534883720931,10.63513953488372,28.464998627314344,81.79031189298257,-1.144395348837211,90.28488509831791
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,All maize,7.337687209302326,7.765372674418604,28.44784989254549,81.79641769034788,0.42768546511627736,105.8286140157907
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,All maize,11.571568139534884,9.130638837209302,28.48993650544435,81.74421018920839,-2.440929302325582,78.90580366557221
