year,study,dataset_type,district,site,fym_half_n,government_recommendation,latitude,longitude,response_t_ha
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,5.7071046511627905,8.309213178294572,28.033844945,82.37338084833333,-2.602108527131781
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,3.013372093023256,6.752627906976744,28.02149087,82.324647615,-3.7392558139534877
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.223808139534883,5.666720930232557,28.09047024166667,82.42112699,-0.4429127906976742
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.605100775193797,7.132759689922481,27.977782983333334,82.46363663833333,0.47234108527131635
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.119875,8.273944767441861,28.116148223750002,82.16631312125,-0.15406976744186096
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,6.887844961240311,5.785248062015505,28.17045799333333,82.26024947333333,1.1025968992248059
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.46134496124031,7.4239961240310075,28.187598198333333,82.09807584166667,0.03734883720930249
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,6.794961240310077,7.427116279069768,28.165561411666665,82.22549993500002,-0.6321550387596906
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.8889728682170555,6.628709302325581,29.082113816666663,80.59341344166667,0.26026356589147426
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.78910465116279,8.323627906976744,29.144215305000003,80.603448155,0.465476744186045
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,5.892790697674418,6.6202093023255815,27.660618166666666,85.58987324833333,-0.727418604651163
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,7.937209302325582,8.142248062015504,27.557958140000004,85.66632309333333,-0.20503875968992258
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,8.953488372093025,9.312015503875969,27.647598200000004,85.564529605,-0.35852713178294415
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,8.602112403100776,9.468372093023257,28.804863015,81.39953360666667,-0.8662596899224813
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,7.554147286821705,8.934263565891474,28.639591556666666,81.593029415,-1.3801162790697683
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.701325581395349,7.927639534883721,28.833504525000002,81.30619135,-0.22631395348837202
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.388116279069768,8.879523255813952,28.504902190000003,81.73685281166667,-0.49140697674418377
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.541550387596901,8.978236434108528,28.713000811666667,81.51051429166665,-0.43668604651162646
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.98798449612403,8.474728682170543,28.46500147,81.79508155166667,0.5132558139534869
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,7.409697674418605,8.949492248062016,28.4436350875,81.80000724499999,-1.5397945736434115
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.398436046511629,8.762003875968992,28.425242985,81.79800934083335,-0.363567829457363
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-5,8.415813953488373,,28.44626985,81.81794102,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-6,9.230232558139534,,28.43198282,81.803426,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.828368217054264,8.903693798449613,28.488467076666666,81.74247945666667,-0.07532558139534906
