year,study,dataset_type,district,site,government_recommendation,pcu_full_n,latitude,longitude,response_t_ha
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.309213178294572,8.403926356589148,28.03385589,82.37336087,0.09471317829457604
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.752627906976744,6.988145348837209,28.021499065,82.32465625,0.2355174418604653
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.666720930232557,5.208968992248063,28.090455805,82.42113362500001,-0.45775193798449454
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.132759689922481,6.906046511627906,27.977788006666668,82.46362319833332,-0.22671317829457482
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.273944767441861,8.053938953488371,28.11613854875,82.16631888375,-0.22000581395348995
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.785248062015505,5.871961240310078,28.170484744999996,82.26028920499999,0.08671317829457337
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.4239961240310075,7.813441860465116,28.187608633333333,82.09809336166666,0.3894457364341086
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.427116279069768,7.103038759689923,28.16556898333333,82.225554865,-0.32407751937984486
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.628709302325581,6.374038759689921,29.082105343333332,80.59340596500002,-0.2546705426356599
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.323627906976744,7.386802325581395,29.144214570000003,80.60347075333334,-0.9368255813953494
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.6202093023255815,6.2886162790697675,27.660611893333332,85.58991800499999,-0.33159302325581397
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.142248062015504,7.744767441860465,27.55794714666667,85.666303685,-0.39748062015503915
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.312015503875969,10.058139534883722,27.64758156166667,85.56453860833335,0.7461240310077528
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.468372093023257,9.382127906976743,28.804864236666667,81.39956828999999,-0.08624418604651396
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.934263565891474,9.014201550387597,28.639597093333336,81.59302063666667,0.079937984496123
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.927639534883721,9.167127906976745,28.833504995,81.306194415,1.2394883720930236
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.879523255813952,8.969372093023257,28.504918231666668,81.736864615,0.08984883720930448
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,8.978236434108528,28.71300486166667,81.51053810666667,0.0
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.474728682170543,8.664496124031007,28.465001166666667,81.79510801999999,0.18976744186046446
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.949492248062016,8.16460465116279,28.443664845,81.79996907,-0.7848875968992264
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.762003875968992,9.07272480620155,28.428992433333335,81.80152894666668,0.3107209302325593
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-3,,9.248837209302327,28.43198338,81.80342707,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.903693798449613,8.898620155038762,28.488456890000002,81.74249888,-0.0050736434108511475
