year,study,dataset_type,district,site,variety_group,comparator_yield_t_ha,treatment_yield_t_ha,latitude,longitude,yield_response_t_ha,relative_yield_pct
2017,2017 core trial,Trial,Dang,Dhikpur,Hybrid-Rajkumar,8.320666666666666,8.220666666666668,28.048455833333332,82.39327860833333,-0.09999999999999787,98.79817322329944
2017,2017 core trial,Trial,Dang,Dhuruwa,Hybrid-Rajkumar,6.657333333333334,6.417999999999999,28.027349165000004,82.32574916833335,-0.2393333333333345,96.40496695373521
2017,2017 core trial,Trial,Dang,Hapur,Hybrid-Rajkumar,7.8815,4.0685,28.092475417499998,82.42743917,-3.8129999999999997,51.62088434942587
2017,2017 core trial,Trial,Dang,Laxmipur,Hybrid-Rajkumar,7.269333333333333,6.441,27.979780555,82.49197972333333,-0.8283333333333331,88.60509904622158
2017,2017 core trial,Trial,Dang,Panchakule,Hybrid-Rajkumar,8.504,8.494499999999999,28.133782085,82.1132904175,-0.009500000000000952,99.88828786453432
2017,2017 core trial,Trial,Dang,Pawannagar,Hybrid-Rajkumar,6.501333333333332,5.3806666666666665,28.163757500000003,82.25669861,-1.1206666666666658,82.76251025430682
2017,2017 core trial,Trial,Dang,Purandhara,Hybrid-Rajkumar,7.3870000000000005,7.334333333333333,28.191668888333332,82.09888972333333,-0.052666666666667084,99.28703578358378
2017,2017 core trial,Trial,Dang,Shantinagar,Hybrid-Rajkumar,9.0765,8.735000000000001,28.1644816675,82.22881778,-0.34149999999999814,96.23753649534514
2017,2017 core trial,Trial,Dang,Shreegau,Hybrid-Rajkumar,6.155333333333334,6.0553333333333335,28.106398055,82.17909722333334,-0.10000000000000053,98.37539261345174
2017,2017 core trial,Trial,Surkhet,Babiyachaur,Hybrid-Rajkumar,11.13665,11.1822,28.816826658333333,81.40492398333333,0.045550000000000423,100.40900989076609
2017,2017 core trial,Trial,Surkhet,Gadhi,Hybrid-Rajkumar,11.00835,11.0833,28.646154477499998,81.6029079675,0.0749499999999994,100.68084681173835
2017,2017 core trial,Trial,Surkhet,Ghumkhare,Hybrid-Rajkumar,10.114433333333332,10.5811,28.439532633333336,81.89756031666667,0.4666666666666668,104.61386862997762
2017,2017 core trial,Trial,Surkhet,Guthu,Hybrid-Rajkumar,11.455566666666668,11.1111,28.843885,81.30402951666666,-0.34446666666666736,96.9930194054128
2017,2017 core trial,Trial,Surkhet,Kalyan,Hybrid-Rajkumar,9.803333333333333,9.507766666666667,28.502904583333333,81.73770168333334,-0.29556666666666587,96.98503910234615
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,Hybrid-Rajkumar,9.904433333333332,9.303333333333333,28.473884849999997,81.80857823333334,-0.6010999999999989,93.93100059569285
2017,2017 core trial,Trial,Surkhet,Maintada-3,Hybrid-Rajkumar,7.838866666666665,8.340000000000002,28.44478045166667,81.80537796833333,0.5011333333333363,106.3929309509028
2017,2017 core trial,Trial,Surkhet,Maintada-4,Hybrid-Rajkumar,8.033333333333333,8.077766666666667,28.419771336666667,81.79541845666667,0.04443333333333399,100.55311203319503
2017,2017 core trial,Trial,Surkhet,Neta,Hybrid-Rajkumar,12.798900000000001,11.776666666666666,28.545133616666668,81.79169306666667,-1.022233333333336,92.01311571046467
2017,2017 core trial,Trial,Surkhet,Ramghat,Hybrid-Rajkumar,12.3421,13.181133333333335,28.489598266666665,81.74289136666667,0.8390333333333349,106.79814078101242
