year,study,dataset_type,district,site,n_omission,soil_background,latitude,longitude,response_t_ha
2017,2017 core trial,Trial,Dang,Dhikpur,4.394333333333333,5.216,28.04832722333333,82.39328889,-0.8216666666666672
2017,2017 core trial,Trial,Dang,Dhuruwa,5.299,7.4126666666666665,28.027291388333335,82.32576638833334,-2.113666666666666
2017,2017 core trial,Trial,Dang,Hapur,4.099,3.718,28.092535417500002,82.4274558325,0.3810000000000002
2017,2017 core trial,Trial,Dang,Laxmipur,5.8389999999999995,5.128333333333333,27.97980139,82.49198389,0.7106666666666666
2017,2017 core trial,Trial,Dang,Panchakule,8.108,6.879,28.1334054175,82.109412085,1.229000000000001
2017,2017 core trial,Trial,Dang,Pawannagar,5.611999999999999,5.758,28.163747223333335,82.256674445,-0.1460000000000008
2017,2017 core trial,Trial,Dang,Purandhara,6.9205000000000005,7.0045,28.192190834999998,82.0976670825,-0.08399999999999963
2017,2017 core trial,Trial,Dang,Shantinagar,5.816000000000001,2.909,28.1638441675,82.229699585,2.907000000000001
2017,2017 core trial,Trial,Dang,Shreegau,5.164666666666666,4.123666666666667,28.106386665000002,82.17907777666667,1.0409999999999995
2017,2017 core trial,Trial,Surkhet,Babiyachaur,8.68665,7.4583,28.815003675,81.40369145,1.2283499999999998
2017,2017 core trial,Trial,Surkhet,Gadhi,7.11665,4.58,28.64616023,81.6029042575,2.53665
2017,2017 core trial,Trial,Surkhet,Ghumkhare,5.92,7.76,28.439776875,81.897423375,-1.8399999999999999
2017,2017 core trial,Trial,Surkhet,Guthu,6.8667,6.74995,28.847964400000002,81.30248935,0.11674999999999969
2017,2017 core trial,Trial,Surkhet,Kalyan,7.6499,6.695533333333334,28.502921833333332,81.73765958333334,0.9543666666666661
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,7.815533333333334,6.666666666666667,28.47386746666667,81.80856531666667,1.1488666666666667
2017,2017 core trial,Trial,Surkhet,Maintada-3,6.782233333333334,4.3917,28.443311886666667,81.80852307916666,2.390533333333334
