study_key,study_id,source_file,field,column_used,n_rows,n_non_missing,n_missing,pct_missing
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,latitude,latitude,8,8,0,0.0
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,longitude,longitude,8,8,0,0.0
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,soil_ph,,8,0,8,100.0
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,soil_organic,,8,0,8,100.0
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,soil_n,,8,0,8,100.0
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,soil_p,,8,0,8,100.0
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,soil_k,,8,0,8,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,grain_yield,grain_yield_Mg_ha,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,n_rate,N_rate_kg_ha,16,8,8,50.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,p_rate,P2O5_rate_kg_ha,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,k_rate,K2O_rate_kg_ha,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,treatment_group,treatment_group,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,season,season,16,16,0,0.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,district,district,16,16,0,0.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,site,site,16,16,0,0.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,agroecology,agroecology,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,latitude,latitude,16,16,0,0.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,longitude,longitude,16,16,0,0.0
