study_key,study_id,source_file,n_rows,year_min,year_max,season_values,district_values,agroecology_values,site_values,treatment_group_values,has_yield,has_coordinates,has_n_rate,has_treatment_group,has_season,has_district,missing_core_fields,check_status
18.rawal_2023_legume_m_n,18.rawal_2023_legume_m_n,,8,2019.0,2019.0,maize 2018/19 after winter legume/fallow,Dailekh,,"Horticulture Research Station, Dailekh",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
22.adhikari_2021_n-rate-var_m_n,22.adhikari_2021_n-rate-var_m_n,,7,2019.0,2019.0,monsoon,Dang,,"Lamahi Municipality, Dang",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
32.rawal_2024_nrate_m_n,32.rawal_2024_nrate_m_n,,21,2019.0,2020.0,summer maize,Lalitpur,,"Khumaltar, Lalitpur",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
39.rawal_2022_fert_m-w_n,39.rawal_2022_fert_m-w_n,,18,2019.0,2021.0,maize-wheat system; M1; maize-wheat system; M2,Lalitpur,,"Khumaltar, Lalitpur",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
40.adhikari_2022_fert-manure_m_n,40.adhikari_2022_fert-manure_m_n,,24,2019.0,2020.0,winter maize,Chitwan,,"NMRP Rampur, Chitwan",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
49.marahatta_2020_fert-mulch_m_n,49.marahatta_2020_fert-mulch_m_n,,12,2019.0,2019.0,spring maize,Chitwan,,"NMRP Rampur, Chitwan",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
"7.marahatta_2021_nrate-density_m_n | 63-78+Agronomy+Journal+of+Nepal+Vol-5,+2021-68-83.pdf",7.marahatta_2021_nrate-density_m_n,"63-78+Agronomy+Journal+of+Nepal+Vol-5,+2021-68-83.pdf",7,2019.0,2019.0,spring,Chitwan,,NMRP Rampur,fertilizer_rate; plant_density,True,True,False,True,True,True,n_rate,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_demo_2019.xlsx,8.pandit_2025_nrate-ntime-udp_m_n,maize_demo_2019.xlsx,320,2019.0,2019.0,,Dang; Doti; Kavre; Makawanpur; Nuwakot; Palpa; Surkhet,,Babiyachaur; Bhakundebesi; Bidur Municipality; Chhatiwan; Devinagar; Dhikpur; Dipayal; Ghanteshwor; Kalyan; Kunathari; Laxmipur; Lekhpharsa; ... (+7 more),4r_demonstration; not_classified,True,True,False,True,False,True,n_rate; season,review_core_fields
14.gautam_2022_nslowrelease_m_n,14.gautam_2022_nslowrelease_m_n,,21,2020.0,2020.0,spring,Dang,,Bodhipur,,True,True,False,False,True,True,n_rate; treatment_group,review_core_fields
47.bhatt_2020_fert-manure_m_n,47.bhatt_2020_fert-manure_m_n,,8,2020.0,2020.0,maize,,,,,False,True,True,False,True,False,grain_yield; treatment_group; district,review_core_fields
