,count,mean,std,min,25%,50%,75%,max
n_files,11.0,2.0,2.3664319132398464,1.0,1.0,1.0,2.0,9.0
n_raster_files,11.0,1.1818181818181819,0.40451991747794525,1.0,1.0,1.0,1.0,2.0
n_vector_files,11.0,0.09090909090909091,0.3015113445777636,0.0,0.0,0.0,0.0,1.0
n_table_files,11.0,0.09090909090909091,0.3015113445777636,0.0,0.0,0.0,0.0,1.0
