variable,n_missing,pct_missing
category,0,0.0
path,0,0.0
name,0,0.0
expected,0,0.0
exists,0,0.0
is_file,0,0.0
is_dir,0,0.0
size_mb,19,61.29032258064516
n_files_recursive,0,0.0
extensions_detected,0,0.0
notes,0,0.0
