,count,mean,std,min,25%,50%,75%,max
size_mb,12.0,9.545300000000001,16.31347468862362,0.0002,0.00875,0.45665,8.554025,45.5156
n_files_recursive,31.0,396.258064516129,2130.2539906114785,1.0,1.0,1.0,8.0,11873.0
