,count,mean,std,min,25%,50%,75%,max
n_rows,912.0,53.03508771929825,131.0257048091661,1.0,6.0,8.0,16.0,611.0
n_non_missing,912.0,20.55263157894737,85.68363601961225,0.0,0.0,0.0,7.0,611.0
n_missing,912.0,32.48245614035088,105.54747616502243,0.0,0.0,3.0,9.25,611.0
pct_missing,912.0,65.53471003205921,47.13247847608797,0.0,0.0,100.0,100.0,100.0
