year,study,district,site,N0-P0-K0,N120-P60-K0,has_zero,has_omission,has_both
2017,2017 core trial,Dang,Dhikpur,5.216,4.954999999999999,True,True,True
2017,2017 core trial,Dang,Dhuruwa,7.4126666666666665,6.357666666666667,True,True,True
2017,2017 core trial,Dang,Hapur,3.718,4.2325,True,True,True
2017,2017 core trial,Dang,Laxmipur,5.128333333333333,5.822333333333333,True,True,True
2017,2017 core trial,Dang,Panchakule,6.879,7.743,True,True,True
2017,2017 core trial,Dang,Pawannagar,5.758,6.9430000000000005,True,True,True
2017,2017 core trial,Dang,Purandhara,7.0045,6.789666666666666,True,True,True
2017,2017 core trial,Dang,Shantinagar,2.909,8.738,True,True,True
2017,2017 core trial,Dang,Shreegau,4.123666666666667,6.331666666666667,True,True,True
2017,2017 core trial,Surkhet,Babiyachaur,7.4583,11.777733333333332,True,True,True
2017,2017 core trial,Surkhet,Gadhi,4.58,11.44335,True,True,True
2017,2017 core trial,Surkhet,Ghumkhare,7.76,10.49,True,True,True
2017,2017 core trial,Surkhet,Guthu,6.74995,11.177766666666665,True,True,True
2017,2017 core trial,Surkhet,Kalyan,6.695533333333334,9.5,True,True,True
2017,2017 core trial,Surkhet,Lekhpharsa,6.666666666666667,10.286666666666667,True,True,True
2017,2017 core trial,Surkhet,Maintada-3,4.3917,8.0189,True,True,True
2017,2017 core trial,Surkhet,Maintada-4,6.1444333333333345,9.055566666666666,True,True,True
2017,2017 core trial,Surkhet,Neta,6.24165,12.200000000000001,True,True,True
2017,2017 core trial,Surkhet,Ramghat,3.565,11.423333333333332,True,True,True
2018,"2018 N source, timing and FYM trial",Dang,Dhikpur,6.764,,True,False,False
2018,"2018 N source, timing and FYM trial",Dang,Dhuruwa,7.84,,True,False,False
2018,"2018 N source, timing and FYM trial",Dang,Hapur,5.077,,True,False,False
2018,"2018 N source, timing and FYM trial",Dang,Laxmipur,4.576,,True,False,False
2018,"2018 N source, timing and FYM trial",Dang,Panchakaule,5.73725,,True,False,False
2018,"2018 N source, timing and FYM trial",Dang,Pawannagar,5.823666666666667,,True,False,False
2018,"2018 N source, timing and FYM trial",Dang,Purandhara,6.321000000000001,,True,False,False
2018,"2018 N source, timing and FYM trial",Dang,Shantinagar,5.864999999999999,,True,False,False
2018,"2018 N source, timing and FYM trial",Doti,Chattiwan,5.692666666666667,,True,False,False
2018,"2018 N source, timing and FYM trial",Doti,Ghantesori,6.147333333333333,,True,False,False
