year,study,district,site,variety_group,n_omission,soil_background,latitude,longitude,pk_yield_response_t_ha
2017,2017 core trial,Dang,Dhikpur,Hybrid,4.394333333333333,5.216,28.04832722333333,82.39328889,-0.8216666666666672
2017,2017 core trial,Dang,Dhuruwa,Hybrid,5.299,7.4126666666666665,28.027291388333335,82.32576638833334,-2.113666666666666
2017,2017 core trial,Dang,Hapur,Hybrid,4.099,3.718,28.092535417500002,82.4274558325,0.3810000000000002
2017,2017 core trial,Dang,Laxmipur,Hybrid,5.8389999999999995,5.128333333333333,27.97980139,82.49198389,0.7106666666666666
2017,2017 core trial,Dang,Panchakule,Hybrid,8.108,6.879,28.1334054175,82.109412085,1.229000000000001
2017,2017 core trial,Dang,Pawannagar,Hybrid,5.611999999999999,5.758,28.163747223333335,82.256674445,-0.1460000000000008
2017,2017 core trial,Dang,Purandhara,Hybrid,6.9205000000000005,7.0045,28.192190834999998,82.0976670825,-0.08399999999999963
2017,2017 core trial,Dang,Shantinagar,Hybrid,5.816000000000001,2.909,28.1638441675,82.229699585,2.907000000000001
2017,2017 core trial,Dang,Shreegau,Hybrid,5.164666666666666,4.123666666666667,28.106386665000002,82.17907777666667,1.0409999999999995
2017,2017 core trial,Surkhet,Babiyachaur,Hybrid,8.68665,7.4583,28.815003675,81.40369145,1.2283499999999998
2017,2017 core trial,Surkhet,Gadhi,Hybrid,7.11665,4.58,28.64616023,81.6029042575,2.53665
2017,2017 core trial,Surkhet,Ghumkhare,Hybrid,5.92,7.76,28.439776875,81.897423375,-1.8399999999999999
2017,2017 core trial,Surkhet,Guthu,Hybrid,6.8667,6.74995,28.847964400000002,81.30248935,0.11674999999999969
2017,2017 core trial,Surkhet,Kalyan,Hybrid,7.6499,6.695533333333334,28.502921833333332,81.73765958333334,0.9543666666666661
2017,2017 core trial,Surkhet,Lekhpharsa,Hybrid,7.815533333333334,6.666666666666667,28.47386746666667,81.80856531666667,1.1488666666666667
2017,2017 core trial,Surkhet,Maintada-3,Hybrid,6.782233333333334,4.3917,28.443311886666667,81.80852307916666,2.390533333333334
2017,2017 core trial,Surkhet,Maintada-4,Hybrid,6.811133333333334,6.1444333333333345,28.419852138333333,81.79543643833334,0.6666999999999996
2017,2017 core trial,Surkhet,Neta,Hybrid,9.89,6.24165,28.550066425,81.79385384999999,3.6483500000000006
2017,2017 core trial,Surkhet,Ramghat,Hybrid,7.975,3.565,28.48883655,81.7431206,4.41
2018,"2018 N source, timing and FYM trial",Dang,Dhikpur,All maize,7.778666666666666,6.764,28.033888580000003,82.37338285833333,1.014666666666666
2018,"2018 N source, timing and FYM trial",Dang,Dhuruwa,All maize,9.516,7.84,28.0214735425,82.3246647175,1.6760000000000002
2018,"2018 N source, timing and FYM trial",Dang,Hapur,All maize,5.213,5.077,28.090448776666666,82.42108206333333,0.13600000000000012
2018,"2018 N source, timing and FYM trial",Dang,Laxmipur,All maize,6.291,4.576,27.977827443333332,82.46365233666667,1.7150000000000007
2018,"2018 N source, timing and FYM trial",Dang,Panchakaule,All maize,7.408499999999999,5.73725,28.1161729075,82.166335365,1.6712499999999988
2018,"2018 N source, timing and FYM trial",Dang,Pawannagar,All maize,5.853000000000001,5.823666666666667,28.170453620000004,82.26027281999998,0.029333333333333655
2018,"2018 N source, timing and FYM trial",Dang,Purandhara,All maize,7.886333333333333,6.321000000000001,28.187574058333333,82.09802281,1.5653333333333324
2018,"2018 N source, timing and FYM trial",Dang,Shantinagar,All maize,6.428999999999999,5.864999999999999,28.165573853333335,82.22549202833333,0.5640000000000001
2018,"2018 N source, timing and FYM trial",Doti,Chattiwan,All maize,5.561333333333333,5.692666666666667,29.082115948333332,80.59343874666666,-0.13133333333333397
2018,"2018 N source, timing and FYM trial",Doti,Ghantesori,All maize,7.978666666666666,6.147333333333333,29.144260101666667,80.60340461666667,1.8313333333333333
2018,"2018 N source, timing and FYM trial",Kavre,Anekot,All maize,4.996333333333333,4.339666666666667,27.660351469166667,85.58859310083332,0.6566666666666663
2018,"2018 N source, timing and FYM trial",Kavre,Bhakundebesi,All maize,7.976333333333334,6.609999999999999,27.558005653333332,85.66621676833333,1.3663333333333343
2018,"2018 N source, timing and FYM trial",Kavre,Rabiopi,All maize,8.972333333333333,6.636,27.647592539999998,85.56456278166667,2.336333333333333
2018,"2018 N source, timing and FYM trial",Palpa,Chidipani,All maize,5.2705,4.1345,,,1.1360000000000001
2018,"2018 N source, timing and FYM trial",Palpa,Devinagar,All maize,5.6706666666666665,4.800333333333334,,,0.870333333333333
2018,"2018 N source, timing and FYM trial",Palpa,Khasyauli,All maize,5.349666666666667,4.608666666666667,,,0.7409999999999997
2018,"2018 N source, timing and FYM trial",Palpa,Madanpokhara,All maize,4.7523333333333335,4.177333333333333,,,0.5750000000000002
2018,"2018 N source, timing and FYM trial",Surkhet,Babiyachaur,All maize,8.804,7.1049999999999995,28.804873569999998,81.39947721,1.6990000000000007
2018,"2018 N source, timing and FYM trial",Surkhet,Gadhi,All maize,7.068333333333334,5.639666666666667,28.639586246666667,81.59303495500001,1.4286666666666674
2018,"2018 N source, timing and FYM trial",Surkhet,Guthu,All maize,7.191,5.606,28.833551575,81.30625107,1.585
2018,"2018 N source, timing and FYM trial",Surkhet,Kalyan,All maize,7.539000000000001,6.9993333333333325,28.50486518333333,81.73679539,0.5396666666666681
2018,"2018 N source, timing and FYM trial",Surkhet,Kunathari,All maize,7.904,6.386,28.71292778,81.51044930333333,1.5179999999999998
2018,"2018 N source, timing and FYM trial",Surkhet,Lekhpharsa,All maize,8.210333333333333,6.067333333333333,28.464976398333334,81.79503254166667,2.143
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-1,All maize,7.1899999999999995,7.2225,28.4430835225,81.7964786775,-0.03250000000000064
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-2,All maize,5.986,5.8614999999999995,28.4239202375,81.79688430750001,0.12450000000000028
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-8,All maize,8.593,6.202,28.439116159999998,81.810719465,2.391
2018,"2018 N source, timing and FYM trial",Surkhet,Ramghat,All maize,7.943666666666666,6.749333333333333,28.48846730833333,81.74245886666667,1.1943333333333328
2019,2019 T1-T10 core trial,Dang,Dhikpur,All maize,7.065,5.545,28.040362873580307,82.3734474554658,1.5200000000000005
2019,2019 T1-T10 core trial,Dang,Laxmipur,All maize,8.4195,5.8759999999999994,27.97847970155999,82.46624847175553,2.5435
2019,2019 T1-T10 core trial,Dang,Panchakule,All maize,8.639,6.28,28.13411995070055,82.11969273397699,2.358999999999999
2019,2019 T1-T10 core trial,Dang,Shantinagar,All maize,7.3795,5.739,28.165754531510174,82.22757103387266,1.6405000000000003
2019,2019 T1-T10 core trial,Dang,Shreegau,All maize,6.268000000000001,4.588,28.109673773869872,82.18611426651478,1.6800000000000006
2019,2019 T1-T10 core trial,Doti,Chhatiwan,All maize,8.194165,6.86934,29.080739772180095,80.59061547741294,1.3248249999999997
2019,2019 T1-T10 core trial,Doti,Dipayal,All maize,8.738366666666666,7.31943,29.25470156944357,80.93250743346289,1.4189366666666663
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,All maize,8.432599999999999,7.226999999999999,29.12430316954851,80.58115516696125,1.2055999999999996
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,All maize,4.507761500000001,2.926757,27.556928058620542,85.66751964390278,1.581004500000001
2019,2019 T1-T10 core trial,Kavre,Rabiopi,All maize,3.7852705,3.3426345,27.650316499639302,85.57624184992164,0.44263600000000025
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,All maize,4.57054,2.7423200000000003,,,1.82822
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,All maize,8.418527,6.008915,27.884923266246915,85.15010325238109,2.409611999999999
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,All maize,1.773721,1.620814,27.884346486534923,85.15048190485686,0.15290700000000013
2019,2019 T1-T10 core trial,Palpa,Chidi pani,All maize,4.5995,8.049409091000001,27.86681341007352,83.54837232967839,-3.449909091000001
2019,2019 T1-T10 core trial,Palpa,Devinagar,All maize,7.692537879,5.6600776515,27.809342356631532,83.69690019870177,2.0324602274999997
2019,2019 T1-T10 core trial,Palpa,Khasyauli,All maize,5.0151515075,5.869181818,27.884640879929066,83.47849565092474,-0.8540303105000007
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,All maize,9.213,6.973,28.217880476731807,82.38473758567125,2.2399999999999993
2019,2019 T1-T10 core trial,Surkhet,Kalyan,All maize,7.865,6.977,28.501447626622394,81.74197743879631,0.8879999999999999
2019,2019 T1-T10 core trial,Surkhet,Kunathari,All maize,7.3705,6.712999999999999,28.714248400647193,81.50840313406661,0.6575000000000006
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,All maize,7.2765,5.964499999999999,28.465095773572102,81.79056592751294,1.3120000000000012
2019,2019 T1-T10 core trial,Surkhet,Maintada-2,All maize,5.1370000000000005,4.5675,28.44778362312354,81.79641574155539,0.5695000000000006
2019,2019 T1-T10 core trial,Surkhet,Ramghat,All maize,8.2078,5.5158000000000005,28.489946932531893,81.74422927480191,2.692
