year,count,mean,median,std,min,max
2017,44,5.6661613636363635,5.86615,1.593634199399527,2.1433,7.76
2018,75,5.8875866666666665,6.091,1.2473679000993245,3.18,8.305
2019,47,5.660382513212766,6.06,1.6906448224026056,1.620814,8.285
